Date,Open,High,Low,Close,Volume
2017-01-03,119.54,119.65,117.8,118.72,1525797
2017-01-04,119.23,119.81,118.58,119.07,2135449
2017-01-05,119.78,119.78,117.75,119.0,1538818
2017-01-06,118.41,119.13,118.01,118.65,2202542
2017-01-09,119.12,119.51,118.1,118.35,1515828
2017-01-10,118.13,118.71,117.33,118.58,1593244
2017-01-11,118.24,119.61,118.24,119.41,1400045
2017-01-12,119.59,119.93,118.86,119.5,1633481
2017-01-13,119.3,119.42,117.88,119.05,1443785
2017-01-17,119.4,120.29,119.18,120.22,1740471
2017-01-18,120.22,120.97,119.84,120.03,1446591
2017-01-19,119.37,120.24,118.85,119.28,1181426
2017-01-20,119.48,119.63,118.35,119.26,1276496
2017-01-23,119.53,119.92,118.66,118.78,2278678
2017-01-24,118.74,119.26,118.37,118.81,1212635
2017-01-25,118.24,119.09,118.11,119.02,1720120
2017-01-26,118.7,119.29,117.91,118.75,1377399
2017-01-27,119.96,121.84,119.32,121.37,3135102
2017-01-30,121.67,123.62,121.54,122.45,2820032
2017-01-31,122.44,124.31,122.16,123.72,2195310
2017-02-01,122.72,123.63,122.09,122.62,2055215
2017-02-02,122.96,123.52,122.12,123.46,1251242
2017-02-03,123.9,124.88,123.55,124.21,2056808
2017-02-06,124.4,124.82,123.53,123.86,1048152
2017-02-07,124.07,124.64,123.74,124.33,1564723
2017-02-08,124.24,126.42,124.24,126.3,2148605
2017-02-09,125.7,126.16,124.18,124.65,1606450
2017-02-10,124.5,125.55,124.25,125.47,1205957
2017-02-13,125.5,126.12,125.14,126.0,886113
2017-02-14,125.02,126.09,124.52,126.0,1612753
2017-02-15,125.05,125.95,124.56,125.29,1765539
2017-02-16,125.5,126.21,125.24,126.19,1247494
2017-02-17,126.69,126.97,125.96,126.86,2338604
2017-02-21,126.42,128.49,126.0,128.26,1576658
2017-02-22,127.98,128.68,127.44,128.44,2136064
2017-02-23,128.75,129.65,128.2,129.17,1901591
2017-02-24,128.85,130.96,128.5,130.96,2567943
2017-02-27,131.07,131.07,129.18,129.87,1833239
2017-02-28,129.96,131.48,129.55,131.0,2248580
2017-03-01,129.56,130.26,128.61,129.41,2268000
2017-03-02,129.31,131.64,129.0,130.94,1530144
2017-03-03,130.7,131.0,129.81,130.8,1322085
