Date,Open,High,Low,Close,Volume
2017-01-03,34.12,35.0,33.95,34.63,8000925
2017-01-04,34.9,35.0,34.19,34.96,7552979
2017-01-05,35.6,37.25,35.59,36.57,10485114
2017-01-06,36.0,36.49,34.99,35.42,7380014
2017-01-09,36.08,36.16,35.21,35.36,9028755
2017-01-10,35.65,36.17,34.85,35.08,7583382
2017-01-11,34.78,34.79,33.52,34.37,10796695
2017-01-12,35.22,35.35,34.14,34.47,7438978
2017-01-13,34.0,34.65,33.75,34.53,5209574
2017-01-17,35.64,35.84,34.92,35.14,6762671
2017-01-18,35.2,35.95,34.9,35.26,7530282
2017-01-19,34.78,35.44,34.68,34.93,6274068
2017-01-20,34.91,35.39,34.74,35.04,6387590
2017-01-23,35.39,36.0,35.03,35.88,5879543
2017-01-24,35.89,36.92,35.83,36.04,8576829
2017-01-25,35.35,35.58,34.47,34.95,9617704
2017-01-26,34.2,34.26,33.63,34.19,7629256
2017-01-27,34.26,34.67,34.26,34.38,4465332
2017-01-30,34.71,35.49,34.59,34.97,5456959
2017-01-31,35.83,36.35,35.81,36.28,7725598
2017-02-01,35.74,36.03,35.17,35.87,5211234
2017-02-02,36.77,36.88,36.16,36.68,6435359
2017-02-03,36.48,37.2,36.31,36.76,4651749
2017-02-06,37.27,37.94,36.88,37.94,7001992
2017-02-07,37.73,37.79,37.12,37.32,5430997
2017-02-08,37.59,37.87,37.21,37.85,6187731
2017-02-09,37.99,38.01,37.07,37.2,5051106
2017-02-10,36.96,37.72,36.75,37.65,5166439
2017-02-13,37.42,37.57,37.14,37.38,5312389
2017-02-14,37.6,37.68,36.76,37.09,5607481
2017-02-15,36.73,37.16,36.41,37.03,4339803
2017-02-16,37.37,37.69,37.26,37.57,5791343
2017-02-17,37.64,37.65,36.81,37.01,5687859
2017-02-21,36.51,37.49,36.18,37.44,5838615
2017-02-22,36.5,37.09,35.15,36.0,10081934
2017-02-23,36.5,36.99,35.83,35.86,6375965
2017-02-24,36.31,36.9,35.95,36.08,6940489
2017-02-27,35.88,36.24,33.78,33.97,9436225
2017-02-28,34.45,35.01,34.01,34.24,9201402
2017-03-01,33.74,34.71,33.35,34.42,7990391
2017-03-02,33.9,34.15,33.45,33.6,7459037
2017-03-03,33.5,34.3,33.33,34.07,7793012
2017-03-06,33.73,33.82,32.75,33.01,6954520
2017-03-07,32.69,33.35,32.56,32.98,6985485
2017-03-08,32.53,33.53,32.48,32.89,6441961
2017-03-09,32.81,33.13,32.54,32.6,6002571
2017-03-10,32.83,33.17,32.57,32.94,5165446
2017-03-13,33.2,33.23,32.69,33.02,5140182
2017-03-14,32.95,33.27,32.15,32.4,5640019
2017-03-15,32.62,34.22,32.25,34.1,7677220
2017-03-16,34.24,34.49,32.69,32.81,9823178
2017-03-17,32.98,33.5,32.78,32.84,12153981
2017-03-20,32.91,33.56,32.73,33.56,4462366
2017-03-21,33.52,34.35,33.52,34.03,7806761
2017-03-22,34.23,34.56,33.63,33.84,5400324
2017-03-23,33.94,34.17,33.02,33.62,6515675
2017-03-24,33.49,33.78,33.28,33.48,3729019
2017-03-27,34.05,34.27,33.74,33.91,8041100
2017-03-28,34.0,34.21,32.64,33.0,7314405
2017-03-29,32.9,33.32,32.8,33.19,3646732
2017-03-30,32.92,33.16,32.79,32.93,3199027
2017-03-31,32.87,33.4,32.61,32.96,4907407
2017-04-03,33.05,33.92,32.95,33.89,4680115
2017-04-04,34.03,34.19,33.84,34.19,4432347
2017-04-05,33.74,34.58,33.69,34.31,4764791
2017-04-06,34.28,34.29,33.84,34.17,3456204
2017-04-07,34.97,34.97,34.08,34.31,5300205
2017-04-10,34.05,34.69,33.84,34.61,3640173
2017-04-11,35.0,35.53,34.54,35.13,6272235
2017-04-12,35.15,35.42,34.48,35.08,4701151
2017-04-13,35.2,35.21,34.25,34.5,4889442
2017-04-17,34.45,34.88,34.38,34.59,4234999
2017-04-18,34.55,34.58,34.0,34.32,5122561
2017-04-19,34.21,34.29,33.35,33.52,7183680
2017-04-20,33.58,34.13,33.36,33.67,6496153
2017-04-21,33.59,34.44,33.5,34.13,7208182
2017-04-24,33.57,34.18,33.5,33.71,8432485
2017-04-25,33.75,33.75,32.03,32.89,16650394
2017-04-26,32.85,33.02,32.28,32.98,8771489
2017-04-27,32.8,33.13,32.42,32.91,11899009
2017-04-28,32.97,33.96,32.89,33.81,9441575
2017-05-01,33.65,33.86,32.61,32.68,6654147
2017-05-02,32.7,33.09,32.5,33.01,5627758
2017-05-03,32.92,33.36,32.65,32.69,5597777
2017-05-04,32.28,32.5,32.12,32.28,6790345
2017-05-05,32.42,33.07,32.35,32.73,4002392
2017-05-08,32.88,32.88,32.29,32.68,3308465
2017-05-09,32.41,32.83,32.32,32.76,3121902
2017-05-10,33.1,33.16,32.6,32.95,4374488
2017-05-11,33.06,33.64,32.8,33.48,5236074
2017-05-12,33.78,34.03,33.56,33.75,4576718
2017-05-15,34.16,34.16,33.6,33.87,3962301
2017-05-16,33.88,33.96,33.64,33.75,3944443
2017-05-17,34.27,34.81,34.16,34.26,6451523
2017-05-18,34.02,34.12,33.25,33.31,5725363
2017-05-19,33.46,33.68,33.32,33.63,5041869
2017-05-22,33.87,34.03,33.64,33.68,3866514
2017-05-23,33.76,33.97,32.96,33.05,4713280
2017-05-24,32.96,33.7,32.72,33.66,5904127
2017-05-25,33.51,33.69,33.13,33.43,3689173
2017-05-26,33.72,34.28,33.6,34.11,4565392
2017-05-30,33.77,34.1,33.75,33.97,3911398
2017-05-31,33.95,34.38,33.9,34.15,7332523
2017-06-01,33.58,34.22,33.58,34.02,3676262
2017-06-02,34.3,34.66,33.69,34.03,4532906
2017-06-05,34.05,34.13,33.55,33.84,3103303
2017-06-06,34.29,35.42,34.06,35.4,8028681
2017-06-07,35.27,35.56,34.8,35.51,4634063
2017-06-08,35.28,35.29,34.84,35.02,5668904
2017-06-09,34.53,34.83,34.18,34.3,4610778
2017-06-12,34.0,34.63,33.96,34.38,4358345
2017-06-13,34.3,34.83,34.24,34.48,3930452
2017-06-14,35.07,35.11,33.5,33.72,6680856
2017-06-15,33.45,33.8,32.92,33.04,6799857
2017-06-16,33.15,33.25,32.71,32.84,7180921
2017-06-19,32.77,33.12,32.56,32.88,4365355
2017-06-20,32.83,33.0,32.55,32.84,3273581
2017-06-21,32.88,33.22,32.68,33.15,2643786
2017-06-22,33.38,33.67,33.15,33.5,3545833
2017-06-23,33.84,33.94,33.64,33.81,4271428
2017-06-26,33.49,34.08,33.43,33.77,3289184
2017-06-27,34.02,34.02,32.99,33.07,5678891
2017-06-28,33.18,33.43,32.66,33.04,3801730
2017-06-29,32.82,32.82,32.2,32.23,5850830
2017-06-30,32.23,32.53,32.12,32.39,4588491
2017-07-03,31.78,31.97,31.42,31.89,4024563
2017-07-05,32.13,32.99,32.0,32.68,8030808
2017-07-06,32.56,32.72,32.21,32.28,3853384
2017-07-07,32.15,32.35,31.86,32.03,4185450
2017-07-10,31.94,32.66,31.7,32.53,4399604
2017-07-11,32.53,33.01,32.18,32.95,3962313
2017-07-12,33.35,33.48,33.07,33.17,3979512
2017-07-13,33.15,33.45,32.9,32.94,3917331
