Date,Open,High,Low,Close,Volume
2017-01-03,41.45,42.25,41.04,42.16,3974706
2017-01-04,41.96,43.1,41.76,42.49,3092206
2017-01-05,42.75,43.09,41.89,42.98,2563015
2017-01-06,43.07,43.64,42.87,42.97,2070422
2017-01-09,42.49,42.74,41.79,42.32,2141831
2017-01-10,42.4,42.45,41.45,41.61,2203369
2017-01-11,41.87,42.3,41.46,42.15,1748583
2017-01-12,42.65,43.1,42.19,42.5,1596809
2017-01-13,42.24,42.24,41.64,41.9,1570744
2017-01-17,42.57,43.0,42.02,42.11,1651026
2017-01-18,41.63,42.11,41.32,41.67,1688365
2017-01-19,41.77,42.09,41.31,41.62,1379523
2017-01-20,42.12,42.77,41.64,41.82,1430835
2017-01-23,41.35,41.54,40.87,41.16,1609234
2017-01-24,41.61,42.63,41.11,42.42,2054590
2017-01-25,42.45,42.9,42.26,42.5,1613530
2017-01-26,42.69,43.01,42.0,42.16,1889119
2017-01-27,41.89,42.14,41.44,41.78,1078320
2017-01-30,41.63,41.63,39.78,40.12,2100961
2017-01-31,40.07,40.2,39.48,40.08,1867212
2017-02-01,40.44,40.5,39.31,39.89,1770275
2017-02-02,39.9,40.67,39.26,40.51,1775580
2017-02-03,40.46,41.84,40.46,41.63,2926772
2017-02-06,41.68,41.77,40.5,40.71,2964035
2017-02-07,40.19,40.26,38.88,39.02,2541701
2017-02-08,38.56,39.8,37.95,39.56,2160115
2017-02-09,40.08,40.98,40.05,40.91,2034776
2017-02-10,41.52,42.22,41.5,41.77,1954515
2017-02-13,41.62,42.14,41.42,42.0,2009178
2017-02-14,42.33,43.74,41.87,43.67,3397366
2017-02-15,43.31,43.56,42.81,43.17,1963409
2017-02-16,43.31,43.31,42.1,42.14,1684660
2017-02-17,41.95,42.64,41.76,41.82,1966959
2017-02-21,42.35,42.93,42.18,42.49,2874036
2017-02-22,39.11,40.82,38.01,39.07,12555337
2017-02-23,39.76,39.96,37.4,37.84,5961583
2017-02-24,37.41,37.89,36.47,36.74,4269860
2017-02-27,37.09,37.35,36.72,36.79,3353863
2017-02-28,36.45,36.91,36.18,36.46,3560338
2017-03-01,36.97,37.16,36.18,36.74,5567418
2017-03-02,36.53,37.17,36.41,36.77,3843165
2017-03-03,36.92,37.2,36.51,36.57,1710345
2017-03-06,36.55,36.55,36.09,36.19,2998707
2017-03-07,36.44,36.75,35.7,35.86,4318126
2017-03-08,35.59,35.95,33.89,33.92,5523308
2017-03-09,33.72,34.67,33.48,34.57,3411216
2017-03-10,34.92,35.01,33.98,34.31,2629956
2017-03-13,34.32,34.78,34.14,34.51,3001391
2017-03-14,33.87,34.44,33.07,34.39,5009040
2017-03-15,34.97,35.27,34.25,35.12,2855120
2017-03-16,35.32,35.6,34.61,34.88,2386549
2017-03-17,34.97,35.26,34.34,34.48,4201087
2017-03-20,34.11,34.6,33.65,34.51,3267198
2017-03-21,34.67,34.79,33.7,34.05,2602214
2017-03-22,33.86,34.04,33.27,33.36,2601621
2017-03-23,33.26,33.75,33.12,33.5,3314474
2017-03-24,33.72,33.76,33.16,33.5,2238858
2017-03-27,33.12,34.72,33.0,34.45,4546032
2017-03-28,34.62,35.85,34.62,35.74,3366181
2017-03-29,35.58,37.24,35.52,36.3,3331745
2017-03-30,36.57,37.11,36.17,36.71,5335053
2017-03-31,36.29,37.22,36.2,36.91,2990475
2017-04-03,36.88,36.93,36.07,36.66,2334788
2017-04-04,36.83,37.15,36.32,37.14,2129898
2017-04-05,37.61,37.61,36.11,36.17,2764351
2017-04-06,36.53,37.03,36.4,36.79,1779439
2017-04-07,36.91,37.02,36.31,36.35,2294655
2017-04-10,36.58,36.92,36.48,36.74,1519846
2017-04-11,36.68,37.15,36.31,37.01,1554226
2017-04-12,36.94,37.43,36.0,36.2,2179422
2017-04-13,36.33,36.6,35.27,35.39,2433158
2017-04-17,35.39,36.01,35.13,35.95,2332298
2017-04-18,35.66,36.51,35.45,35.79,2265120
2017-04-19,35.76,35.99,34.41,34.55,3837739
2017-04-20,34.68,35.34,34.59,34.9,2054469
2017-04-21,34.76,35.13,34.4,34.87,1842042
2017-04-24,35.44,35.54,34.81,35.12,2041707
2017-04-25,35.17,35.92,34.93,35.88,2039389
2017-04-26,35.53,36.51,35.42,35.65,1741785
2017-04-27,35.26,35.35,34.09,35.04,2151698
2017-04-28,35.46,35.46,34.56,34.62,2289653
2017-05-01,34.57,35.06,34.44,34.61,1732415
2017-05-02,34.85,35.14,33.85,34.02,4037813
2017-05-03,36.54,37.0,34.11,35.53,4802335
2017-05-04,34.81,34.81,33.31,33.65,5634011
2017-05-05,33.86,34.86,33.41,34.59,3445004
2017-05-08,34.82,35.17,34.36,34.89,2879639
2017-05-09,35.04,35.07,33.87,34.05,3328024
2017-05-10,34.84,35.61,34.4,35.28,3444624
2017-05-11,35.3,35.46,34.6,34.65,2863413
2017-05-12,34.49,34.84,34.07,34.76,2320521
2017-05-15,35.74,35.99,34.96,35.14,2044184
2017-05-16,35.28,35.45,34.42,34.59,2486789
2017-05-17,34.12,35.02,33.59,33.82,4218251
2017-05-18,33.4,34.12,33.32,33.66,2126740
2017-05-19,33.91,34.63,33.76,34.53,2685343
2017-05-22,34.66,34.7,33.81,33.84,1510448
2017-05-23,33.83,34.03,33.48,33.78,2322469
2017-05-24,33.78,34.41,33.51,33.71,2260945
2017-05-25,33.35,34.39,32.39,32.64,2082865
2017-05-26,32.8,33.15,32.4,33.08,1795617
2017-05-30,33.12,33.12,32.4,32.64,3031866
2017-05-31,32.17,32.93,31.86,32.48,3465936
2017-06-01,32.66,33.04,32.21,32.46,1982211
2017-06-02,32.12,32.14,30.76,30.83,3132687
2017-06-05,30.5,30.85,30.11,30.49,2938930
2017-06-06,30.4,31.12,30.07,31.06,3268266
2017-06-07,30.74,30.96,28.75,28.9,4014981
2017-06-08,28.69,29.35,28.69,28.86,4009810
2017-06-09,28.95,30.28,28.91,30.06,4810624
2017-06-12,30.55,30.96,30.01,30.37,3689410
2017-06-13,30.36,31.12,30.13,31.11,2801212
2017-06-14,30.91,30.93,29.58,30.06,4252755
2017-06-15,29.89,30.65,29.18,29.41,2965360
2017-06-16,29.68,29.68,28.86,29.33,3462791
2017-06-19,29.33,29.56,29.16,29.24,2293064
2017-06-20,28.69,29.54,28.15,29.12,3601635
2017-06-21,28.83,29.18,27.46,27.83,4129618
2017-06-22,27.82,28.23,27.38,27.56,4308390
2017-06-23,27.65,27.94,27.25,27.54,6876701
2017-06-26,27.7,28.22,27.38,27.66,2024607
2017-06-27,27.83,28.04,27.34,27.4,3314165
2017-06-28,27.46,28.04,27.22,27.56,2920665
2017-06-29,27.72,29.04,27.69,28.6,6937273
2017-06-30,28.77,28.92,27.95,28.46,4172111
2017-07-03,28.5,29.61,28.42,29.39,2043406
2017-07-05,29.21,29.21,27.44,27.53,4211736
