Date,Open,High,Low,Close,Volume
2017-01-03,51.99,52.5,51.77,51.98,13295607
2017-01-04,52.23,53.34,52.09,53.07,13759473
2017-01-05,52.92,53.1,52.44,53.06,8682193
2017-01-06,53.09,54.09,52.98,53.91,12532449
2017-01-09,53.96,53.99,53.22,53.38,8835265
2017-01-10,53.55,53.73,53.11,53.11,8041852
2017-01-11,53.12,53.29,52.66,52.69,8208307
2017-01-12,52.51,52.69,52.16,52.4,7368654
2017-01-13,52.59,52.93,52.23,52.92,6694367
2017-01-17,53.4,53.95,53.01,53.65,9888451
2017-01-18,53.86,53.89,52.86,53.27,6743094
2017-01-19,53.84,53.94,52.89,52.93,8320612
2017-01-20,53.22,53.35,52.9,53.2,7861047
2017-01-23,53.02,53.26,52.72,53.24,7025715
2017-01-24,53.02,53.57,52.99,53.45,6321310
2017-01-25,53.73,54.12,53.69,53.86,6675011
2017-01-26,54.11,54.12,53.36,53.65,6202005
2017-01-27,53.68,54.08,53.03,53.19,7362028
2017-01-30,52.78,53.22,52.41,53.08,9770763
2017-01-31,51.68,52.9,51.63,52.9,12342873
2017-02-01,52.98,53.26,52.61,53.02,8810937
2017-02-02,53.0,53.01,52.48,52.8,7874179
2017-02-03,52.62,52.8,52.25,52.36,8850416
2017-02-06,52.09,52.8,52.05,52.8,7355182
2017-02-07,53.07,53.28,52.67,52.81,6446876
2017-02-08,52.74,53.94,52.7,53.88,9281071
2017-02-09,53.93,55.7,53.93,55.31,14345385
2017-02-10,55.63,56.47,55.63,56.22,14973383
2017-02-13,56.17,56.34,55.75,56.09,7679800
2017-02-14,55.92,56.69,55.83,56.45,8891430
2017-02-15,56.29,56.76,56.21,56.64,6651971
2017-02-16,56.88,56.92,56.1,56.29,8374192
2017-02-17,56.12,56.8,55.86,56.75,12637964
2017-02-21,56.38,57.45,56.2,57.36,10955030
2017-02-22,57.48,58.38,57.36,58.24,10914088
2017-02-23,58.11,58.4,57.27,57.39,12316307
2017-02-24,57.39,58.42,57.07,57.86,9684469
2017-02-27,57.65,57.83,57.35,57.69,4375653
2017-02-28,57.37,57.55,56.86,57.16,7951315
2017-03-01,57.86,58.03,57.33,57.95,8558904
2017-03-02,57.9,58.25,57.65,57.8,6438361
2017-03-03,57.63,57.65,56.51,56.7,9192475
2017-03-06,56.7,56.93,56.53,56.77,6896754
2017-03-07,56.71,56.99,56.02,56.55,7124445
2017-03-08,56.94,56.94,56.31,56.51,7604792
2017-03-09,56.61,56.66,56.09,56.36,6165660
2017-03-10,56.49,56.99,56.26,56.43,8882395
