Date,Open,High,Low,Close,Volume
2017-01-03,42.2,42.68,41.99,42.27,1611265
2017-01-04,42.28,42.68,42.07,42.5,1566397
2017-01-05,42.48,42.73,42.38,42.52,1567547
2017-01-06,42.33,42.9,42.29,42.51,2420998
2017-01-09,42.61,42.7,42.33,42.36,2035980
2017-01-10,41.94,42.13,41.48,41.75,3943728
2017-01-11,41.93,41.95,41.3,41.59,3224617
2017-01-12,41.42,42.06,40.96,42.01,6284378
2017-01-13,42.1,42.62,42.1,42.36,1811516
2017-01-17,42.06,42.68,42.06,42.37,1663904
2017-01-18,42.25,42.71,41.89,41.89,1830044
2017-01-19,41.85,42.04,41.39,41.45,3476041
2017-01-20,41.47,41.79,40.88,40.95,3236655
2017-01-23,40.88,40.96,40.43,40.54,4065943
2017-01-24,40.68,40.88,40.5,40.7,3551521
2017-01-25,40.97,41.48,40.81,41.0,8174276
2017-01-26,41.01,41.3,40.62,40.71,2538554
2017-01-27,40.82,41.02,40.57,40.89,2000063
2017-01-30,40.89,41.12,40.28,41.07,3263684
2017-01-31,41.15,41.18,40.68,40.91,3227659
2017-02-01,40.93,41.34,40.67,41.32,2968800
2017-02-02,41.17,41.81,40.88,41.65,2613188
2017-02-03,41.84,42.56,41.82,42.46,2369793
2017-02-06,42.46,42.61,41.95,41.99,2168504
2017-02-07,42.0,42.12,41.79,41.86,2317489
2017-02-08,41.72,42.26,41.37,42.06,2949545
2017-02-09,42.19,43.51,41.5,43.18,3809286
2017-02-10,43.27,44.61,43.26,44.31,5052777
2017-02-13,44.51,45.16,44.45,44.98,5224256
2017-02-14,44.91,45.06,44.7,44.77,3477890
2017-02-15,44.56,45.05,44.45,44.81,2785566
2017-02-16,44.82,44.95,44.52,44.85,2334366
2017-02-17,44.57,45.11,44.57,45.08,2867902
2017-02-21,44.95,45.73,44.67,45.5,2854091
2017-02-22,45.52,45.63,44.83,44.88,1806341
2017-02-23,45.02,45.59,44.91,45.21,2223027
2017-02-24,45.12,45.21,44.84,45.16,1777519
2017-02-27,45.1,45.41,44.62,44.72,2706073
2017-02-28,44.41,45.17,44.16,44.36,3421930
2017-03-01,44.48,45.3,44.29,45.07,3682437
2017-03-02,45.04,45.26,44.71,45.1,1952070
2017-03-03,45.01,45.08,44.61,44.77,1272366
2017-03-06,44.49,44.68,44.26,44.4,947777
2017-03-07,44.34,44.63,44.26,44.5,1437194
2017-03-08,44.48,44.69,44.34,44.39,1432914
2017-03-09,44.38,44.51,44.17,44.32,1776266
2017-03-10,44.5,44.55,43.42,43.7,2588340
2017-03-13,43.84,43.87,43.34,43.44,1728620
2017-03-14,43.23,43.66,43.12,43.64,1776591
2017-03-15,43.74,44.17,43.61,44.06,2496187
2017-03-16,42.05,44.24,42.05,44.02,2471911
2017-03-17,44.16,44.16,42.61,42.64,4843496
2017-03-20,42.71,42.82,42.19,42.66,3102193
2017-03-21,42.82,42.86,41.57,41.65,3342263
2017-03-22,41.82,41.82,41.22,41.29,2187029
2017-03-23,41.25,41.5,41.14,41.26,2882316
2017-03-24,41.35,41.57,41.11,41.28,1997377
2017-03-27,40.99,41.3,40.64,41.03,2068901
2017-03-28,41.0,41.4,40.72,41.34,2768418
2017-03-29,41.25,41.46,40.96,41.12,2594666
2017-03-30,40.99,41.19,40.73,41.08,2568578
2017-03-31,41.1,41.43,41.0,41.31,2366295
2017-04-03,41.27,42.0,41.21,41.87,4181632
2017-04-04,41.93,42.01,41.46,41.72,2670535
2017-04-05,41.86,42.25,41.75,41.84,1506472
2017-04-06,41.81,42.16,41.57,42.0,1624795
2017-04-07,41.74,41.95,41.62,41.68,1841879
2017-04-10,41.7,41.86,41.45,41.48,1347927
2017-04-11,41.39,41.46,40.88,41.37,2162793
2017-04-12,41.14,41.32,40.55,41.0,3761274
2017-04-13,41.01,41.14,40.73,41.03,2465560
2017-04-17,41.16,41.43,41.01,41.24,1933748
2017-04-18,41.01,41.23,40.92,41.22,2400178
2017-04-19,41.36,42.0,41.29,41.76,2896159
2017-04-20,41.76,41.93,41.12,41.13,3346015
2017-04-21,41.1,41.3,40.87,41.0,3482673
2017-04-24,41.59,41.94,41.29,41.59,3475065
2017-04-25,40.09,40.22,38.31,39.98,9370825
2017-04-26,39.55,40.04,39.3,39.41,5239443
2017-04-27,39.36,40.25,39.25,40.2,4950438
2017-04-28,40.27,41.45,40.06,41.13,6448237
2017-05-01,41.14,41.33,40.53,40.53,3620730
2017-05-02,40.64,40.75,40.02,40.24,3852221
2017-05-03,40.28,40.34,40.0,40.19,3386869
2017-05-04,40.23,40.25,39.87,39.89,3048687
2017-05-05,40.06,40.31,39.91,40.2,2219006
2017-05-08,40.27,40.66,39.98,40.48,2448380
2017-05-09,40.45,41.02,40.33,40.79,1887774
2017-05-10,40.7,40.86,40.1,40.22,2125386
2017-05-11,40.14,40.7,39.84,40.66,3078951
2017-05-12,40.72,40.72,40.08,40.4,2977047
2017-05-15,40.53,41.19,40.46,41.12,3041579
2017-05-16,41.2,41.2,40.36,40.53,3682619
2017-05-17,40.27,40.5,39.76,40.21,2704635
2017-05-18,40.29,40.37,39.02,39.04,4658182
2017-05-19,39.09,39.71,38.96,39.56,2482029
2017-05-22,39.52,39.84,39.44,39.61,1272242
2017-05-23,39.58,39.64,39.11,39.11,1684059
2017-05-24,39.17,39.21,38.57,38.81,3107827
2017-05-25,38.9,38.95,38.01,38.4,2655432
2017-05-26,38.24,38.6,37.95,38.54,3597366
2017-05-30,38.55,39.13,38.49,38.93,3547316
2017-05-31,38.71,39.08,38.2,38.48,3421947
2017-06-01,38.5,39.44,38.34,38.98,3419823
2017-06-02,39.0,39.17,38.63,39.05,2324081
2017-06-05,38.8,39.25,38.46,38.53,5151840
2017-06-06,38.45,38.89,38.27,38.71,3571052
2017-06-07,38.7,38.74,37.83,37.86,4068440
2017-06-08,37.81,37.82,36.99,37.22,6592801
2017-06-09,37.21,37.71,37.07,37.67,3694172
