Date,Open,High,Low,Close,Volume
2016-01-04,11.57,11.88,11.24,11.53,6276195
2016-01-05,11.57,12.04,11.12,11.97,6550344
2016-01-06,11.72,11.79,10.94,11.03,8211445
2016-01-07,10.83,11.66,10.73,11.26,6546403
2016-01-08,11.36,11.74,11.06,11.34,6938022
2016-01-11,11.33,11.37,10.18,10.23,10061259
2016-01-12,10.31,10.66,9.79,9.9,9426843
2016-01-13,10.04,10.27,9.58,9.82,8269494
2016-01-14,9.87,10.6,9.64,10.48,8482269
2016-01-15,10.14,10.24,9.52,10.11,6967609
2016-01-19,10.22,10.4,9.86,10.03,6856319
2016-01-20,9.71,9.79,8.92,9.58,9377226
2016-01-21,9.6,10.48,9.57,9.89,9008119
2016-01-22,10.04,10.24,9.73,9.93,8052562
2016-01-25,9.63,9.76,8.93,8.98,7446874
2016-01-26,9.18,9.73,8.96,9.67,5084060
2016-01-27,9.68,10.29,9.46,9.89,7388537
2016-01-28,9.82,10.15,9.64,10.1,6482554
2016-01-29,10.3,10.79,10.3,10.64,7798143
2016-02-01,10.63,10.76,10.11,10.67,6126056
2016-02-02,10.57,10.75,10.2,10.71,5151427
2016-02-03,10.84,11.68,10.82,11.38,8688900
2016-02-04,11.24,12.14,11.19,11.68,11616845
2016-02-05,11.6,11.81,11.16,11.57,11185158
2016-02-08,11.42,11.92,10.95,11.14,8487526
2016-02-09,10.9,11.01,10.6,10.84,4920642
2016-02-10,10.77,10.97,10.17,10.7,5083921
2016-02-11,10.44,10.57,9.53,9.59,5981166
2016-02-12,9.7,9.73,9.03,9.58,6316793
2016-02-16,9.57,9.8,9.5,9.7,4091466
2016-02-17,9.81,10.75,9.78,10.2,6841901
2016-02-18,10.2,10.53,10.06,10.43,7247194
2016-02-19,10.28,10.29,9.76,10.01,5761641
2016-02-22,10.15,10.58,10.12,10.57,6487847
2016-02-23,10.45,10.55,10.14,10.32,4030299
2016-02-24,10.18,10.95,9.97,10.83,6341446
2016-02-25,10.86,11.37,10.66,10.9,3836775
2016-02-26,10.96,11.32,10.93,11.08,5192372
2016-02-29,10.35,10.98,10.11,10.78,10346537
2016-03-01,10.87,11.28,10.66,11.26,6735546
2016-03-02,11.13,12.19,11.05,12.16,5908268
2016-03-03,12.11,12.77,12.07,12.52,7250596
2016-03-04,12.49,13.3,12.44,13.07,8033967
2016-03-07,13.06,14.16,13.03,13.64,9335432
2016-03-08,13.59,13.65,12.45,12.51,9356690
2016-03-09,12.57,12.84,12.0,12.36,15573285
2016-03-10,12.44,13.01,12.25,12.89,7738824
2016-03-11,13.13,13.87,13.12,13.74,8262630
2016-03-14,13.73,13.94,13.51,13.67,6334870
2016-03-15,13.54,13.57,12.84,13.3,5352160
2016-03-16,13.35,13.9,13.24,13.85,5215403
2016-03-17,14.06,14.37,13.59,13.96,5091839
2016-03-18,13.97,14.47,13.64,13.7,8064864
2016-03-21,13.67,14.0,13.49,13.56,4555895
2016-03-22,13.5,13.92,13.38,13.77,3813699
2016-03-23,13.69,13.72,12.98,12.99,4166737
