Date,Open,High,Low,Close,Volume
2017-01-03,11.95,12.25,11.9,12.05,913020
2017-01-04,12.05,12.3,12.05,12.25,736554
2017-01-05,12.2,12.35,12.18,12.25,812078
2017-01-06,12.25,12.4,12.1,12.25,367920
2017-01-09,12.25,12.45,12.25,12.4,471092
2017-01-10,12.35,12.5,12.28,12.5,638893
2017-01-11,12.45,12.55,12.32,12.55,800314
2017-01-12,12.5,12.6,12.3,12.45,1156985
2017-01-13,12.45,12.58,12.4,12.45,381690
2017-01-17,12.4,12.72,12.3,12.7,530072
2017-01-18,12.7,12.7,12.4,12.55,867626
2017-01-19,12.55,12.6,12.4,12.45,439784
2017-01-20,12.45,12.55,12.35,12.35,644177
2017-01-23,12.35,12.45,12.3,12.4,471367
2017-01-24,12.35,12.63,12.3,12.6,359058
2017-01-25,12.6,12.8,12.55,12.7,791996
2017-01-26,12.75,12.8,12.5,12.55,424234
2017-01-27,12.55,12.7,12.5,12.65,613250
2017-01-30,12.7,12.7,12.45,12.7,445588
2017-01-31,12.7,12.7,12.4,12.65,457659
2017-02-01,12.65,12.75,12.5,12.7,379529
2017-02-02,12.7,12.7,12.5,12.6,414060
2017-02-03,12.6,12.65,12.5,12.6,280066
2017-02-06,12.6,12.7,12.55,12.55,185795
2017-02-07,12.55,12.6,12.4,12.55,386514
2017-02-08,12.55,12.55,12.35,12.45,283591
2017-02-09,12.4,12.75,12.4,12.75,494645
2017-02-10,12.5,13.75,12.5,13.6,749174
2017-02-13,13.7,13.8,13.35,13.35,658726
2017-02-14,13.4,13.5,13.25,13.35,561356
2017-02-15,13.2,13.52,13.2,13.45,1495515
2017-02-16,13.45,13.5,13.28,13.4,557255
2017-02-17,13.4,13.55,13.2,13.5,634187
2017-02-21,13.5,13.8,13.4,13.65,850299
2017-02-22,13.65,13.65,13.4,13.6,421981
2017-02-23,13.65,13.65,13.38,13.5,441741
2017-02-24,13.5,13.5,13.22,13.4,277347
2017-02-27,13.4,13.5,13.3,13.4,596660
2017-02-28,13.35,13.4,13.1,13.2,515750
2017-03-01,13.3,13.5,13.25,13.4,353815
2017-03-02,13.4,13.45,13.15,13.25,455784
2017-03-03,13.25,13.25,13.1,13.25,417255
2017-03-06,13.15,13.3,13.1,13.25,328753
2017-03-07,13.2,13.4,12.9,13.0,499694
2017-03-08,12.9,13.05,12.78,12.8,458465
2017-03-09,12.9,12.9,12.66,12.8,406123
2017-03-10,12.85,12.9,12.55,12.8,322801
2017-03-13,12.7,12.75,12.52,12.55,441392
2017-03-14,12.55,12.7,12.5,12.7,294926
2017-03-15,12.75,12.95,12.6,12.9,386535
2017-03-16,12.8,12.98,12.8,12.9,274475
2017-03-17,12.95,13.05,12.85,12.95,559092
2017-03-20,13.0,13.0,12.82,12.9,210688
2017-03-21,13.0,13.05,12.8,12.85,610908
2017-03-22,12.95,12.95,12.75,12.95,593350
2017-03-23,12.95,13.02,12.85,12.95,804044
2017-03-24,13.0,13.08,12.88,12.95,512857
2017-03-27,12.9,13.05,12.85,12.95,553414
2017-03-28,12.95,13.3,12.95,13.25,548858
2017-03-29,13.25,13.5,13.2,13.45,790627
2017-03-30,13.5,13.8,13.4,13.7,2143179
2017-03-31,13.7,13.7,13.32,13.5,511279
2017-04-03,13.55,13.55,13.2,13.25,446278
