Date,Open,High,Low,Close,Volume
2017-01-03,38.45,38.69,38.3,38.55,11051341
2017-01-04,38.55,38.92,38.55,38.74,9545541
2017-01-05,38.67,38.95,38.4,38.64,12064718
2017-01-06,38.75,38.75,38.38,38.45,14829725
2017-01-09,38.53,39.45,38.47,39.03,15587888
2017-01-10,39.0,39.07,38.66,38.66,11316576
2017-01-11,38.64,39.13,38.64,39.11,10403082
2017-01-12,39.03,39.32,38.59,39.2,11527296
2017-01-13,39.16,39.33,39.03,39.26,9455308
2017-01-17,39.07,39.28,38.88,39.1,11081367
2017-01-18,39.28,39.34,39.03,39.19,10394029
2017-01-19,39.12,39.38,39.1,39.21,12232380
2017-01-20,39.46,40.04,39.45,39.87,25439091
2017-01-23,39.76,40.09,39.43,39.68,13251221
2017-01-24,39.85,40.2,39.75,40.1,12216458
2017-01-25,40.32,40.38,39.95,40.15,13164793
2017-01-26,40.21,40.25,39.95,40.13,10556466
2017-01-27,40.2,40.39,40.13,40.23,9232665
2017-01-30,40.11,40.25,39.81,40.23,10589562
2017-01-31,40.21,40.25,39.68,40.11,10766745
2017-02-01,40.22,40.22,39.71,39.84,11836961
2017-02-02,39.77,40.0,39.68,39.98,10120343
2017-02-03,40.07,40.43,39.95,40.43,12941164
2017-02-06,40.44,40.44,40.08,40.1,7871322
2017-02-07,40.16,40.3,40.04,40.07,8848671
2017-02-08,40.06,40.35,40.01,40.02,8883343
2017-02-09,40.09,40.45,40.05,40.23,10977185
2017-02-10,40.33,40.92,40.21,40.79,13168666
2017-02-13,40.89,41.19,40.8,41.09,12779834
2017-02-14,40.92,41.17,40.75,41.1,9622961
2017-02-15,40.96,41.48,40.89,41.41,9243647
2017-02-16,41.46,41.74,41.36,41.59,10132672
2017-02-17,41.54,42.06,41.5,42.06,18545336
2017-02-21,41.99,42.38,41.93,42.27,12394709
2017-02-22,42.26,42.52,42.13,42.51,11602769
2017-02-23,42.56,42.99,42.5,42.96,15483953
2017-02-24,42.74,43.19,42.68,43.17,11426697
2017-02-27,43.26,43.26,42.52,42.7,13876507
2017-02-28,42.62,42.74,42.42,42.59,14450263
2017-03-01,42.75,43.0,42.69,42.92,11402152
2017-03-02,42.83,42.93,42.63,42.89,9431593
2017-03-03,42.77,42.88,42.59,42.69,8928505
2017-03-06,42.46,42.74,42.3,42.57,9196010
2017-03-07,42.58,42.75,42.52,42.6,9492905
2017-03-08,42.68,42.79,42.51,42.61,9217090
2017-03-09,42.63,42.63,42.25,42.44,10308443
2017-03-10,42.62,42.69,42.35,42.68,12244538
2017-03-13,42.75,42.78,42.52,42.58,12440837
2017-03-14,42.58,42.84,42.4,42.79,10290999
2017-03-15,42.9,43.2,42.64,43.05,18393223
2017-03-16,46.39,46.99,45.65,45.73,67535437
2017-03-17,45.25,45.98,45.11,45.66,31688720
2017-03-20,45.67,45.95,45.16,45.23,21452575
2017-03-21,45.31,45.4,44.71,44.84,21974454
2017-03-22,45.13,45.45,44.63,44.79,14339677
2017-03-23,44.68,45.06,44.67,44.95,16190536
2017-03-24,44.92,45.09,44.58,44.65,13110178
2017-03-27,44.51,44.93,44.36,44.84,8933400
2017-03-28,44.83,45.03,44.66,44.69,14008754
2017-03-29,44.52,44.73,44.47,44.52,10636243
2017-03-30,44.45,44.74,44.37,44.68,7792510
2017-03-31,44.5,44.85,44.46,44.61,10652754
2017-04-03,44.68,45.05,44.4,44.61,16044276
2017-04-04,44.61,44.74,44.38,44.59,9161341
2017-04-05,44.74,44.97,44.41,44.49,9445119
2017-04-06,44.53,44.53,44.14,44.18,11557755
2017-04-07,44.09,44.38,43.99,44.29,13446605
2017-04-10,44.21,44.44,43.96,44.0,11668629
2017-04-11,43.89,44.45,43.76,44.17,15422353
2017-04-12,44.33,44.41,44.03,44.18,8457041
2017-04-13,44.19,44.45,43.98,44.0,11838300
2017-04-17,44.12,44.36,44.0,44.29,10999992
2017-04-18,44.21,44.58,44.14,44.52,10446944
2017-04-19,44.44,44.54,44.08,44.19,10711956
2017-04-20,44.26,44.63,44.17,44.53,10880924
2017-04-21,44.59,44.74,44.4,44.43,11556016
2017-04-24,44.97,44.99,44.62,44.84,10848901
2017-04-25,44.98,44.98,44.6,44.72,12436821
2017-04-26,44.75,45.04,44.64,44.69,10122447
2017-04-27,44.88,44.94,44.65,44.77,8221029
2017-04-28,44.74,44.96,44.52,44.96,12962658
2017-05-01,45.01,45.18,44.87,45.05,9118316
2017-05-02,45.0,45.35,44.97,45.13,11649568
2017-05-03,45.05,45.16,44.77,44.89,10695874
2017-05-04,44.96,45.78,44.95,45.47,15505168
2017-05-05,45.71,45.78,45.36,45.58,8443421
2017-05-08,45.48,45.7,45.42,45.56,7559917
2017-05-09,45.5,45.68,45.38,45.48,6530558
2017-05-10,45.52,45.56,45.29,45.53,6906121
2017-05-11,45.41,45.41,44.97,45.16,8996359
2017-05-12,45.01,45.15,44.92,45.08,7965112
2017-05-15,45.24,45.36,45.09,45.32,9694029
2017-05-16,45.36,45.37,45.15,45.29,7944498
2017-05-17,44.99,45.09,44.2,44.23,18489195
2017-05-18,44.06,44.41,43.6,44.17,12777557
2017-05-19,44.21,44.52,44.17,44.31,11519180
2017-05-22,44.33,44.65,44.28,44.63,9805760
2017-05-23,44.68,44.84,44.52,44.56,6873723
2017-05-24,44.65,44.88,44.5,44.83,7712277
2017-05-25,44.99,45.3,44.83,45.2,7597616
2017-05-26,45.21,45.44,45.06,45.26,6899725
2017-05-30,45.11,45.46,45.11,45.42,10769777
2017-05-31,45.42,45.55,45.26,45.39,14757634
2017-06-01,45.52,45.8,45.36,45.79,8138901
2017-06-02,45.88,46.07,45.48,45.66,11794562
2017-06-05,45.69,46.0,45.67,45.92,8617321
2017-06-06,45.73,45.84,45.6,45.61,7449507
2017-06-07,45.62,45.65,45.14,45.4,7688665
2017-06-08,45.73,45.86,45.31,45.42,12889520
2017-06-09,45.4,45.67,44.68,45.03,12188360
2017-06-12,44.65,44.85,43.74,44.85,16189867
2017-06-13,45.07,45.24,44.62,44.98,10705755
2017-06-14,45.16,45.28,44.48,44.81,12024581
2017-06-15,44.55,44.82,44.37,44.68,10394642
