Date,Open,High,Low,Close,Volume
2017-01-03,64.62,65.93,64.61,65.32,2115795
2017-01-04,65.7,66.39,65.65,66.22,2448430
2017-01-05,65.9,66.23,64.97,65.14,1658250
2017-01-06,65.55,66.35,64.95,65.88,1741057
2017-01-09,65.75,65.99,64.76,65.07,1483803
2017-01-10,65.27,66.31,65.11,66.25,2035508
2017-01-11,66.25,66.82,66.02,66.8,1602024
2017-01-12,66.8,66.8,65.69,66.33,1480635
2017-01-13,67.07,67.65,66.78,67.52,1512772
2017-01-17,67.0,67.46,66.61,66.92,1238555
2017-01-18,66.9,66.91,66.18,66.31,2454089
2017-01-19,66.54,66.7,65.48,65.74,2068205
2017-01-20,66.0,66.31,65.42,66.0,1880617
2017-01-23,65.99,66.0,65.23,65.47,2356529
2017-01-24,65.65,66.91,65.65,66.7,1639076
2017-01-25,67.0,68.69,66.82,68.4,2295294
2017-01-26,68.28,68.44,67.72,68.08,1614351
2017-01-27,68.17,68.19,67.13,67.59,1601188
2017-01-30,67.36,67.75,66.4,67.62,3627583
2017-01-31,65.92,68.64,64.96,67.31,6319054
2017-02-01,67.64,69.8,67.37,68.63,3058770
2017-02-02,68.24,68.97,67.38,67.59,1875749
2017-02-03,67.32,68.87,67.32,68.49,1981162
2017-02-06,68.05,68.57,67.57,68.07,1623691
2017-02-07,68.07,68.59,67.53,67.63,1237192
2017-02-08,67.58,67.58,66.67,66.84,1911572
2017-02-09,67.0,68.32,66.7,68.19,2137244
2017-02-10,68.21,68.87,67.88,68.73,1899608
2017-02-13,69.0,69.89,68.94,69.87,1835160
2017-02-14,69.74,70.12,69.53,70.07,2006624
2017-02-15,69.68,70.07,69.27,69.8,1416240
2017-02-16,69.88,69.92,68.44,68.72,1492971
2017-02-17,68.5,68.88,67.65,68.85,1455370
2017-02-21,68.93,69.18,68.38,68.77,1870661
2017-02-22,68.4,68.54,67.71,68.04,1420377
2017-02-23,68.34,68.49,67.11,67.44,1362297
2017-02-24,67.4,67.58,66.66,67.42,1646585
2017-02-27,67.31,67.69,67.01,67.61,1747506
2017-02-28,67.53,67.65,66.65,66.81,1827122
2017-03-01,67.91,69.51,67.49,69.19,2703574
2017-03-02,68.94,68.98,67.28,67.38,2739201
2017-03-03,67.58,68.72,67.41,68.63,2127145
2017-03-06,68.23,68.76,67.51,68.27,1761044
2017-03-07,67.91,68.63,67.52,67.57,1688532
2017-03-08,67.73,67.97,67.11,67.31,1490635
2017-03-09,67.02,67.47,66.23,66.72,2287329
2017-03-10,67.37,67.85,67.03,67.71,1621530
2017-03-13,67.76,68.16,67.71,67.87,1295407
2017-03-14,67.67,67.67,66.64,67.35,1160471
2017-03-15,67.81,69.13,67.75,68.87,1859469
2017-03-16,68.95,69.2,68.69,68.89,1679351
2017-03-17,69.18,69.61,68.8,69.52,5316568
2017-03-20,69.44,69.6,68.79,69.11,2038010
2017-03-21,69.24,69.43,67.35,67.65,2888546
2017-03-22,67.52,67.9,67.06,67.53,1412631
2017-03-23,67.55,67.86,67.04,67.59,1584289
2017-03-24,67.74,68.06,67.29,67.62,1432881
2017-03-27,66.99,67.25,65.76,66.49,1662284
2017-03-28,66.37,67.37,66.25,67.09,1167219
2017-03-29,66.9,67.94,66.89,67.65,1347731
2017-03-30,67.36,67.83,67.2,67.64,884630
2017-03-31,67.29,67.79,67.03,67.2,1336709
2017-04-03,67.31,67.34,65.84,66.84,1522179
2017-04-04,66.62,66.96,66.28,66.62,1653448
2017-04-05,66.95,68.12,66.67,66.75,2326769
2017-04-06,66.92,67.38,66.7,67.16,1243846
2017-04-07,67.08,67.79,66.83,67.16,1603917
2017-04-10,66.98,68.03,66.58,67.65,1441319
2017-04-11,67.33,67.67,66.65,67.53,1531612
2017-04-12,67.46,67.52,65.55,65.65,1844177
2017-04-13,65.62,65.96,64.59,64.63,1891263
2017-04-17,64.98,65.39,64.43,65.34,1678277
2017-04-18,64.26,64.98,64.01,64.2,2442489
2017-04-19,64.55,65.0,64.3,64.56,1948555
2017-04-20,65.0,66.08,64.49,65.88,1401067
2017-04-21,66.09,66.4,65.44,65.76,2285595
2017-04-24,67.26,68.11,67.1,67.73,2878458
2017-04-25,66.35,67.21,65.0,65.76,3950676
2017-04-26,65.71,66.59,65.14,65.34,3118685
2017-04-27,65.4,66.44,64.99,66.41,2247255
2017-04-28,66.5,66.94,65.78,66.73,1895201
2017-05-01,66.97,66.97,65.92,66.18,1671293
2017-05-02,67.33,68.16,67.07,68.06,2411387
2017-05-03,69.17,69.17,67.08,67.36,1378956
2017-05-04,67.46,67.88,66.4,66.9,1509080
2017-05-05,67.0,67.42,66.6,67.04,1112147
2017-05-08,67.05,67.08,65.82,66.32,2136830
2017-05-09,66.25,66.59,66.03,66.29,1251544
2017-05-10,66.08,66.41,65.69,65.97,1468427
2017-05-11,64.35,64.89,63.51,64.37,4377985
2017-05-12,64.14,64.23,63.12,63.37,2344448
2017-05-15,63.39,63.9,63.36,63.78,1905900
2017-05-16,64.02,64.46,63.57,64.44,2541523
2017-05-17,63.67,63.96,63.25,63.38,1981370
2017-05-18,63.04,63.26,62.09,62.33,2235700
2017-05-19,62.42,63.28,62.33,62.83,2348368
2017-05-22,63.06,63.38,62.72,62.88,2025674
2017-05-23,63.07,63.1,62.28,62.81,1122444
2017-05-24,62.95,63.01,62.23,62.69,1462160
2017-05-25,62.77,63.12,62.15,62.69,1288379
2017-05-26,62.69,63.0,62.44,62.63,988061
2017-05-30,62.52,62.91,62.39,62.64,942750
2017-05-31,62.81,62.98,62.01,62.96,1730361
2017-06-01,63.16,64.04,62.65,63.69,1330456
2017-06-02,63.66,64.43,62.97,63.15,3535149
2017-06-05,62.92,63.0,61.93,62.32,2570168
2017-06-06,64.35,65.14,63.58,64.12,3692271
2017-06-07,64.21,64.51,62.87,63.45,1872095
2017-06-08,63.6,64.27,63.41,63.97,1646360
2017-06-09,64.01,64.47,63.82,64.01,1076510
2017-06-12,63.72,64.93,63.72,64.57,1624723
2017-06-13,64.73,64.94,64.2,64.33,1327244
2017-06-14,64.13,64.76,63.47,63.89,1418007
2017-06-15,64.49,65.25,64.15,65.11,1744607
2017-06-16,65.03,65.23,64.45,65.21,2251988
2017-06-19,65.45,65.45,64.8,65.19,1617961
2017-06-20,64.98,65.01,63.97,63.99,1040674
2017-06-21,63.92,63.94,62.58,62.75,1470696
2017-06-22,62.56,63.09,62.32,62.75,1090231
2017-06-23,62.77,63.17,62.49,62.51,1724475
2017-06-26,62.77,63.32,62.58,63.19,1218390
2017-06-27,63.11,63.77,62.78,62.8,1349775
2017-06-28,63.05,65.5,62.97,65.36,2020652
2017-06-29,65.35,65.97,64.69,65.31,2655954
2017-06-30,66.13,66.4,65.38,66.04,2112369
2017-07-03,66.41,67.43,66.18,67.0,1418298
2017-07-05,67.17,67.35,65.84,66.39,2532872
2017-07-06,66.42,68.0,66.32,67.2,3234539
2017-07-07,67.43,68.11,66.84,67.62,1485082
2017-07-10,67.46,68.94,67.4,68.48,2194331
