Date,Open,High,Low,Close,Volume
2017-01-03,34.05,34.21,33.78,34.03,3366963
2017-01-04,34.05,34.51,34.0,34.1,3187421
2017-01-05,34.17,34.32,33.79,34.3,3497125
2017-01-06,34.17,34.59,34.08,34.56,3542674
2017-01-09,34.54,34.67,34.16,34.22,5474746
2017-01-10,34.15,34.2,33.72,33.94,3255388
2017-01-11,33.96,34.32,33.93,34.24,2423149
2017-01-12,34.23,34.62,34.19,34.5,3872535
2017-01-13,34.41,34.51,34.18,34.36,2692933
2017-01-17,34.22,34.78,34.22,34.69,6164678
2017-01-18,34.63,34.74,34.48,34.54,2218783
2017-01-19,34.31,34.56,34.13,34.23,2360227
2017-01-20,34.29,34.41,34.09,34.4,2596527
2017-01-23,34.47,34.63,34.28,34.36,2403104
2017-01-24,34.36,34.67,34.26,34.61,2801331
2017-01-25,34.49,34.66,34.39,34.52,2582737
2017-01-26,34.5,34.74,34.26,34.41,2140389
2017-01-27,34.5,34.54,34.14,34.27,2556072
2017-01-30,34.34,34.39,34.08,34.38,3147583
2017-01-31,34.4,34.92,34.34,34.84,5204272
2017-02-01,34.66,35.39,34.58,34.95,4932307
2017-02-02,35.09,35.36,34.89,35.28,3231888
2017-02-03,35.33,35.58,35.3,35.46,3200182
2017-02-06,35.56,35.63,35.22,35.24,4001895
2017-02-07,35.34,35.49,35.23,35.4,2205968
2017-02-08,35.31,35.68,35.3,35.65,2601361
2017-02-09,35.6,35.7,35.31,35.42,3444333
2017-02-10,35.35,35.62,35.34,35.5,3706985
2017-02-13,35.54,35.73,35.36,35.73,2262020
2017-02-14,35.63,35.68,35.31,35.47,2664037
2017-02-15,35.23,35.56,35.08,35.48,2317208
2017-02-16,35.38,35.72,35.35,35.72,2694712
2017-02-17,35.75,35.79,35.34,35.63,3438736
2017-02-21,35.61,36.11,35.48,36.03,2632458
2017-02-22,36.06,36.27,35.95,36.2,2367832
2017-02-23,36.35,36.65,36.23,36.52,2609592
2017-02-24,36.59,36.83,36.43,36.83,3255850
2017-02-27,36.83,36.86,36.54,36.57,3024457
2017-02-28,36.57,37.01,36.57,36.88,4154334
2017-03-01,36.5,36.95,36.33,36.73,3614903
2017-03-02,36.57,37.03,36.55,36.84,2655749
2017-03-03,36.86,36.87,36.4,36.68,3151787
2017-03-06,36.66,36.8,36.44,36.78,2999395
2017-03-07,36.76,36.89,36.59,36.79,3334600
2017-03-08,36.08,36.14,35.82,36.04,4177443
2017-03-09,36.01,36.24,35.95,36.03,3192904
2017-03-10,36.22,36.37,36.06,36.32,2789171
2017-03-13,36.27,36.46,36.19,36.45,3234187
2017-03-14,36.38,36.45,36.24,36.43,1976348
2017-03-15,36.49,37.08,36.48,36.9,3548362
2017-03-16,36.84,36.85,36.59,36.74,2841519
2017-03-17,36.84,37.2,36.77,36.99,5653693
2017-03-20,37.02,37.13,36.66,36.8,2548891
2017-03-21,36.79,37.62,36.79,37.47,3871361
2017-03-22,37.62,37.89,37.48,37.64,3597502
2017-03-23,37.6,37.95,37.52,37.64,2901908
2017-03-24,37.63,37.83,37.49,37.6,2269041
2017-03-27,37.79,37.91,37.38,37.56,3220173
2017-03-28,37.4,37.74,37.35,37.7,4009712
2017-03-29,37.61,37.61,37.15,37.44,4513179
2017-03-30,37.32,37.37,37.09,37.24,2968991
2017-03-31,37.29,37.6,37.21,37.39,3518711
2017-04-03,37.38,37.38,36.91,37.11,6326907
2017-04-04,37.17,37.48,37.08,37.37,3121149
2017-04-05,37.3,37.56,37.21,37.51,3362528
2017-04-06,37.48,37.5,37.26,37.41,3097144
2017-04-07,37.48,37.6,37.25,37.27,2586916
2017-04-10,37.25,37.34,37.01,37.28,2472921
