Date,Open,High,Low,Close,Volume
2017-01-03,90.96,91.73,90.35,90.98,964562
2017-01-04,91.54,93.84,91.54,91.97,1432459
2017-01-05,90.6,93.08,89.96,92.96,2209705
2017-01-06,92.69,93.22,91.53,92.86,1174031
2017-01-09,93.07,93.07,91.83,92.26,917909
2017-01-10,92.76,94.46,92.19,93.85,1417866
2017-01-11,93.38,93.98,91.32,92.39,1023489
2017-01-12,91.87,93.24,91.6,93.13,834932
2017-01-13,93.14,93.8,88.71,89.31,2137985
2017-01-17,90.41,96.5,90.34,94.83,2998257
2017-01-18,94.53,94.98,91.65,93.36,1361152
2017-01-19,93.03,93.69,90.94,91.57,945865
2017-01-20,91.92,93.21,91.42,92.82,988495
2017-01-23,92.35,93.27,91.42,92.2,864520
2017-01-24,92.56,94.03,92.16,93.19,733303
2017-01-25,94.07,94.97,93.58,94.81,742418
2017-01-26,95.11,95.5,93.23,93.3,650072
2017-01-27,93.55,93.97,90.1,90.3,1052226
2017-01-30,90.1,92.32,89.19,92.28,924167
2017-01-31,90.62,93.97,90.1,93.81,1283818
2017-02-01,93.25,93.31,89.65,89.87,1592275
2017-02-02,88.6,90.76,88.1,89.4,1075373
2017-02-03,88.96,88.96,86.17,87.57,1727553
2017-02-06,87.65,89.35,87.13,88.43,770255
2017-02-07,88.04,88.35,85.18,85.48,1850088
2017-02-08,85.68,87.21,84.53,87.19,2845774
2017-02-09,87.66,89.19,87.16,87.19,1368807
2017-02-10,88.08,90.33,87.71,90.12,1527722
2017-02-13,90.17,90.64,88.87,88.93,959552
2017-02-14,88.91,91.53,88.91,90.26,1123915
2017-02-15,89.99,90.44,89.33,89.86,957899
2017-02-16,90.25,90.29,88.06,88.37,909385
2017-02-17,88.19,90.65,88.19,90.32,1239062
2017-02-21,90.25,91.52,90.01,90.25,737656
2017-02-22,90.26,91.48,90.02,91.39,694122
2017-02-23,91.46,93.0,90.48,90.76,1585582
2017-02-24,90.63,93.32,89.99,91.57,2207987
2017-02-27,91.44,92.93,91.44,92.33,730295
2017-02-28,91.94,92.43,90.92,91.6,963219
2017-03-01,92.48,92.82,90.97,92.24,1134341
2017-03-02,92.06,92.37,90.96,91.92,1264082
2017-03-03,92.29,92.86,89.76,90.09,954656
2017-03-06,89.91,90.8,89.54,90.2,1334603
2017-03-07,89.57,90.32,88.89,89.75,685779
2017-03-08,90.17,91.73,89.83,91.39,654034
2017-03-09,91.19,91.83,90.5,91.14,653621
2017-03-10,91.58,92.37,90.93,91.12,824298
2017-03-13,91.52,91.98,90.06,90.93,788075
2017-03-14,91.2,92.33,91.11,91.52,753841
2017-03-15,92.12,92.8,90.72,92.39,1152128
2017-03-16,92.28,95.19,91.52,93.83,1365916
2017-03-17,94.36,95.0,93.0,94.65,1249482
2017-03-20,94.45,94.94,92.87,93.58,923774
2017-03-21,93.57,93.93,91.34,92.68,1373472
2017-03-22,92.39,92.6,89.52,90.85,2385843
2017-03-23,99.4,100.0,97.45,98.55,4915302
2017-03-24,100.17,102.11,98.88,100.94,2520501
2017-03-27,100.34,102.51,100.15,101.5,1705933
2017-03-28,101.63,103.12,101.52,102.69,1057520
2017-03-29,101.82,104.28,101.15,103.84,1049469
2017-03-30,103.42,104.28,102.11,103.62,755890
2017-03-31,103.53,103.91,102.97,103.47,774454
2017-04-03,103.48,104.25,102.67,103.18,793719
2017-04-04,103.54,104.01,101.36,101.78,956526
2017-04-05,101.96,103.6,101.48,101.98,822289
2017-04-06,102.38,103.84,101.67,101.97,853896
2017-04-07,101.92,102.87,101.7,101.9,1326911
2017-04-10,102.03,103.71,101.55,101.64,781523
2017-04-11,101.7,101.84,100.66,101.36,852227
2017-04-12,101.27,101.85,100.82,101.21,974004
2017-04-13,101.42,101.96,99.47,99.81,1329956
2017-04-17,100.03,100.54,99.57,99.94,1117732
2017-04-18,99.52,100.57,99.0,99.52,886530
2017-04-19,99.94,100.49,99.33,99.45,811937
2017-04-20,100.02,101.56,99.82,101.41,1497033
2017-04-21,100.71,101.09,98.04,98.26,1521492
2017-04-24,100.02,102.94,99.95,102.31,1954910
2017-04-25,102.42,103.17,101.44,102.87,1098127
2017-04-26,103.1,104.72,102.8,103.45,868509
2017-04-27,103.41,103.9,102.39,103.02,702845
2017-04-28,102.79,102.79,100.22,101.03,826447
2017-05-01,101.02,101.61,99.84,100.08,506371
2017-05-02,100.71,101.62,100.23,101.6,754286
2017-05-03,101.42,101.86,99.85,100.91,714344
2017-05-04,101.51,101.8,100.23,101.16,789935
2017-05-05,101.16,103.0,101.11,102.6,734482
2017-05-08,103.31,103.4,102.22,102.39,527218
2017-05-09,102.82,103.44,102.31,102.76,957252
2017-05-10,102.28,103.44,101.32,103.31,750452
2017-05-11,101.98,102.66,99.95,100.93,1064950
2017-05-12,100.19,100.72,98.56,100.19,886137
2017-05-15,100.24,101.0,100.23,100.49,796066
2017-05-16,99.97,100.52,98.78,99.09,1188802
2017-05-17,98.8,99.15,97.38,97.47,1159487
2017-05-18,97.87,100.37,97.11,99.09,1498511
2017-05-19,99.12,101.06,96.85,100.41,1583004
2017-05-22,101.37,102.72,100.98,102.12,1455978
2017-05-23,103.0,104.5,102.09,102.38,1667341
2017-05-24,102.23,102.4,100.37,102.04,2436554
2017-05-25,107.59,109.01,105.95,106.98,3913384
2017-05-26,106.56,107.05,105.28,105.29,1337756
2017-05-30,106.25,107.0,105.03,105.59,1420599
2017-05-31,105.89,106.06,104.35,105.95,1278626
2017-06-01,106.04,107.57,105.74,106.21,984387
2017-06-02,106.43,106.69,105.06,105.96,673147
2017-06-05,105.74,105.98,104.56,105.21,1174242
2017-06-06,104.52,105.07,103.48,103.65,963106
2017-06-07,103.53,103.83,102.05,103.18,988489
2017-06-08,103.59,104.14,102.89,103.16,638964
2017-06-09,103.3,105.98,102.81,105.59,751960
2017-06-12,105.37,107.25,105.3,106.2,1115002
2017-06-13,106.27,106.27,105.12,105.61,752530
2017-06-14,106.05,106.58,105.26,106.43,694931
2017-06-15,104.92,105.92,104.76,105.66,711046
2017-06-16,105.48,105.74,104.68,105.13,980834
2017-06-19,105.26,105.81,104.34,105.72,611602
2017-06-20,105.6,105.6,104.51,104.89,769648
2017-06-21,104.53,105.52,104.45,105.07,826800
2017-06-22,105.6,110.12,105.58,109.07,1628947
2017-06-23,108.71,110.59,108.06,110.48,1386908
2017-06-26,111.06,112.8,111.06,112.33,1243577
2017-06-27,112.44,112.96,111.93,112.48,901583
2017-06-28,113.05,115.86,112.78,113.37,1227037
2017-06-29,113.6,114.52,112.74,113.78,1086520
2017-06-30,114.96,115.42,114.09,114.5,995439
2017-07-03,114.45,115.17,114.23,114.84,561475
2017-07-05,114.64,114.82,112.91,113.45,801623
2017-07-06,113.04,113.24,110.59,110.88,850480
2017-07-07,111.34,112.58,111.3,112.17,431258
2017-07-10,112.0,113.13,111.48,112.0,685072
2017-07-11,111.89,112.51,110.76,111.76,704569
2017-07-12,112.27,112.99,111.68,111.83,686001
2017-07-13,112.28,113.7,111.52,113.29,1037572
