Date,Open,High,Low,Close,Volume
2017-01-03,40.29,40.98,40.0,40.25,8247354
2017-01-04,40.35,41.03,40.04,41.0,6806386
2017-01-05,41.43,41.72,41.04,41.06,6431957
2017-01-06,41.24,41.64,40.79,41.45,5586404
2017-01-09,41.49,41.51,41.11,41.4,3943868
2017-01-10,41.4,41.55,41.07,41.08,4174906
2017-01-11,41.23,41.38,40.84,41.28,4425295
2017-01-12,41.28,41.61,40.92,41.56,3840529
2017-01-13,41.65,41.84,41.53,41.6,3917699
2017-01-17,41.6,41.71,41.2,41.27,5932904
2017-01-18,41.41,41.49,41.11,41.35,4706020
2017-01-19,41.25,41.68,41.03,41.27,4718177
2017-01-20,41.39,41.72,41.3,41.69,6868514
2017-01-23,41.86,42.11,41.25,41.62,8497050
2017-01-24,41.95,42.04,41.53,41.96,6107190
2017-01-25,42.36,42.44,41.66,41.71,9253596
2017-01-26,42.36,42.5,41.28,41.5,11838127
2017-01-27,41.0,41.2,39.92,40.27,22749197
2017-01-30,40.17,40.27,39.42,39.86,11486023
2017-01-31,39.7,40.01,39.45,39.78,9100057
2017-02-01,39.96,40.0,39.11,39.31,8860416
2017-02-02,39.4,39.84,39.02,39.58,8736786
2017-02-03,39.79,39.93,39.55,39.59,7131059
2017-02-06,39.64,39.83,39.34,39.74,8206410
2017-02-07,40.01,40.34,39.7,40.02,7956319
2017-02-08,40.18,40.99,39.92,40.88,7398987
2017-02-09,40.44,41.0,40.3,40.83,6467576
2017-02-10,40.82,40.86,40.56,40.58,6248231
2017-02-13,40.83,41.3,40.74,41.17,6260907
2017-02-14,41.18,41.63,40.94,41.62,6496404
2017-02-15,41.69,41.93,41.27,41.87,7124617
2017-02-16,41.87,42.31,41.7,42.15,5730802
2017-02-17,41.92,42.3,41.8,41.96,5106063
2017-02-21,41.93,42.56,41.9,42.43,5874724
2017-02-22,42.3,42.53,42.12,42.42,4316768
2017-02-23,42.37,42.67,42.16,42.53,5456296
2017-02-24,42.11,43.07,41.83,43.07,6769528
2017-02-27,42.89,42.89,42.35,42.64,5026742
2017-02-28,42.49,42.49,41.99,42.0,6956821
2017-03-01,42.31,42.52,41.99,42.43,6003750
2017-03-02,42.4,42.86,42.2,42.77,4572587
2017-03-03,42.7,43.04,42.58,43.03,4214435
2017-03-06,42.98,43.03,42.63,42.87,6032844
2017-03-07,42.8,43.2,42.71,42.89,4404707
2017-03-08,42.84,43.18,42.72,42.79,4573934
2017-03-09,42.66,43.0,42.45,42.92,3487918
2017-03-10,43.19,43.28,42.76,42.99,4636199
2017-03-13,42.87,42.96,42.45,42.59,5527468
2017-03-14,42.51,42.64,41.74,42.1,5888061
2017-03-15,42.29,42.57,41.89,42.39,4291806
2017-03-16,42.5,42.58,42.14,42.4,3998562
2017-03-17,42.57,43.3,42.37,43.08,12309652
2017-03-20,43.1,43.32,42.81,43.16,6686901
2017-03-21,43.33,43.4,42.46,42.64,7838436
2017-03-22,42.6,43.24,42.45,43.19,6513341
2017-03-23,43.13,43.61,43.0,43.14,7176360
2017-03-24,43.48,43.5,42.94,43.13,5739538
2017-03-27,42.69,43.2,42.58,43.08,3850321
2017-03-28,42.87,43.25,42.84,43.15,4396544
2017-03-29,43.15,43.3,42.96,43.24,3951121
2017-03-30,43.15,43.8,43.0,43.54,5691682
2017-03-31,43.44,43.48,43.01,43.02,5177925
2017-04-03,43.2,43.3,42.51,42.63,7772986
2017-04-04,42.74,42.74,42.26,42.72,4681835
2017-04-05,42.83,43.34,42.74,42.89,5292287
2017-04-06,42.9,43.0,42.72,42.9,5395420
2017-04-07,42.89,43.18,42.71,43.04,4861189
2017-04-10,43.07,43.55,43.01,43.05,4579501
2017-04-11,42.99,43.09,42.61,42.69,4856260
2017-04-12,42.1,42.81,42.06,42.49,5800144
2017-04-13,42.5,42.89,42.32,42.55,3631442
2017-04-17,42.6,43.14,42.6,43.1,3151602
2017-04-18,43.2,43.2,42.86,43.09,3711648
2017-04-19,43.03,43.47,42.9,43.3,4913855
2017-04-20,43.32,43.8,43.26,43.69,4811155
2017-04-21,43.86,44.0,43.6,43.81,8015796
2017-04-24,44.09,44.28,43.95,44.27,4643797
2017-04-25,44.49,45.01,44.35,44.71,7827949
2017-04-26,45.04,45.04,44.25,44.41,9846931
2017-04-27,47.25,48.1,46.75,47.15,34420209
2017-04-28,47.03,47.76,46.87,47.72,11642778
2017-05-01,47.39,47.71,47.32,47.54,14537516
2017-05-02,47.41,49.07,47.4,49.05,16820809
2017-05-03,49.16,49.29,48.62,49.02,11613055
