Date,Open,High,Low,Close,Volume
2017-01-03,65.86,66.14,64.6,65.4,9519838
2017-01-04,65.67,65.95,65.26,65.47,6221655
2017-01-05,65.22,65.98,65.05,65.55,5998898
2017-01-06,65.48,65.87,64.86,65.53,6749352
2017-01-09,65.53,66.26,65.49,65.65,4769160
2017-01-10,65.95,66.16,65.57,65.63,6076032
2017-01-11,65.75,66.11,65.42,66.1,8349761
2017-01-12,65.35,66.18,65.05,66.12,6113613
2017-01-13,66.25,67.08,66.16,66.88,6177365
2017-01-17,66.71,66.97,63.15,64.19,22426310
2017-01-18,64.67,66.09,63.81,65.13,15883201
2017-01-19,64.97,65.4,64.36,64.44,9429206
2017-01-20,65.19,65.74,62.62,62.88,20936881
2017-01-23,58.67,58.67,53.77,54.88,94436001
2017-01-24,55.02,55.77,54.7,55.0,41751760
2017-01-25,56.1,56.98,55.5,56.9,27969706
2017-01-26,55.35,55.49,53.5,54.05,37888156
2017-01-27,54.65,54.76,54.0,54.24,23474353
2017-01-30,54.39,54.4,53.55,53.61,14853856
2017-01-31,53.61,53.64,52.83,53.43,13995448
2017-02-01,53.64,53.82,52.86,53.15,16102109
2017-02-02,52.95,53.1,52.37,52.66,14481242
2017-02-03,52.95,53.22,52.75,52.98,10965265
2017-02-06,53.31,53.41,52.82,52.88,8215133
2017-02-07,53.22,53.28,52.76,53.27,10374100
2017-02-08,53.39,53.39,52.72,52.89,9229045
2017-02-09,52.91,53.1,52.76,52.88,7615138
2017-02-10,53.1,54.28,52.93,54.0,14042202
2017-02-13,54.58,55.13,54.26,54.93,14516176
2017-02-14,55.43,55.52,54.82,55.48,13071979
2017-02-15,55.63,56.5,55.49,56.49,14149193
2017-02-16,56.58,56.9,56.44,56.88,11622895
2017-02-17,56.85,56.94,56.05,56.46,12456638
2017-02-21,56.83,57.19,56.58,56.75,9878152
2017-02-22,56.78,57.1,56.48,57.1,8711537
2017-02-23,57.01,57.3,56.77,57.14,10152814
2017-02-24,57.02,57.23,56.5,57.22,10644787
2017-02-27,56.56,56.98,56.31,56.73,7127599
2017-02-28,56.49,56.52,55.89,56.48,10388173
2017-03-01,56.93,57.08,56.27,57.01,11082396
2017-03-02,56.95,57.15,56.24,56.37,8451735
2017-03-03,56.52,56.57,56.0,56.44,6984526
2017-03-06,56.27,56.56,56.07,56.45,7241631
2017-03-07,56.6,56.82,56.19,56.73,7131737
2017-03-08,56.92,58.08,56.8,57.77,13201652
2017-03-09,57.65,58.1,57.4,57.97,9875608
2017-03-10,58.36,58.79,58.3,58.64,9751987
2017-03-13,59.03,59.04,58.2,58.46,7737879
2017-03-14,58.38,58.38,57.72,58.22,6276935
2017-03-15,58.42,58.75,58.18,58.52,9029458
2017-03-16,58.3,58.73,58.16,58.35,7206192
2017-03-17,58.57,58.61,57.51,57.55,20057782
2017-03-20,57.79,58.07,57.59,57.81,7498218
2017-03-21,57.93,58.1,56.74,56.8,10092647
2017-03-22,56.73,57.12,56.1,57.04,9129711
2017-03-23,57.16,57.27,56.59,56.81,7718655
2017-03-24,57.47,57.47,56.64,56.92,5621440
2017-03-27,56.72,56.94,56.48,56.66,4726309
2017-03-28,56.67,57.61,56.67,57.38,5953489
2017-03-29,57.09,57.37,56.86,57.36,4042648
2017-03-30,57.36,57.65,57.19,57.2,6358995
2017-03-31,57.46,57.69,56.97,57.34,10064955
2017-04-03,57.26,57.34,56.04,56.5,11343523
2017-04-04,56.3,56.91,56.25,56.68,7124105
2017-04-05,56.8,57.53,56.42,56.47,7857728
2017-04-06,56.44,56.73,56.14,56.53,5757837
2017-04-07,56.58,56.6,56.19,56.32,5229759
2017-04-10,56.43,56.81,56.27,56.52,6039764
2017-04-11,56.32,56.36,54.72,55.35,17301754
2017-04-12,54.64,54.65,53.12,53.39,24822200
2017-04-13,53.13,53.68,52.78,52.79,17014422
2017-04-17,52.99,53.13,52.75,52.89,10471714
2017-04-18,52.6,52.98,52.39,52.67,11262770
2017-04-19,53.0,53.1,52.3,52.61,15441526
2017-04-20,53.22,53.4,51.4,52.66,24664581
2017-04-21,52.77,52.8,52.21,52.5,10951539
2017-04-24,53.01,53.25,52.75,52.81,10784366
2017-04-25,53.17,53.49,52.96,53.0,11688660
2017-04-26,53.2,53.3,52.91,53.04,7373776
2017-04-27,53.24,53.34,52.91,53.21,6956210
2017-04-28,51.8,53.95,51.05,53.74,34374139
2017-05-01,53.65,53.7,53.1,53.6,12987659
2017-05-02,53.65,53.72,52.9,53.29,10445444
2017-05-03,53.41,54.77,53.25,54.49,18428284
2017-05-04,54.73,55.0,54.5,54.91,11993428
2017-05-05,54.93,55.0,54.7,54.93,9108818
2017-05-08,54.99,55.0,54.56,54.62,7033362
2017-05-09,54.69,55.19,54.63,55.15,8332919
2017-05-10,55.22,55.43,54.86,55.33,8517699
2017-05-11,55.25,55.3,54.41,54.68,13514708
2017-05-12,54.5,55.35,54.4,55.32,9107629
2017-05-15,55.08,55.49,55.08,55.4,10686064
2017-05-16,55.39,55.98,55.1,55.95,9599290
2017-05-17,55.64,56.08,55.3,55.36,14811304
2017-05-18,55.58,56.31,55.02,56.12,13125299
2017-05-19,56.49,57.79,56.2,57.67,16643755
2017-05-22,58.39,59.54,58.38,59.28,20771548
2017-05-23,59.38,59.89,59.13,59.22,14223368
2017-05-24,59.28,59.62,58.57,58.64,8625623
2017-05-25,58.65,58.95,58.26,58.45,9556506
2017-05-26,57.66,57.98,57.37,57.52,8261886
2017-05-30,57.28,57.74,57.17,57.34,11553716
2017-05-31,57.26,57.73,57.0,57.27,14082627
2017-06-01,57.45,58.65,57.35,58.62,11560120
2017-06-02,58.89,58.96,58.35,58.58,9538011
2017-06-05,58.5,59.05,58.48,58.86,7960848
2017-06-06,58.6,58.91,58.18,58.2,7871534
2017-06-07,58.3,58.49,57.13,57.53,10126509
2017-06-08,57.77,58.15,57.61,58.12,10322232
2017-06-09,58.37,58.49,56.74,57.05,13624828
2017-06-12,56.52,57.68,56.48,57.49,9985065
2017-06-13,57.95,58.06,57.5,57.54,7111499
2017-06-14,57.7,57.97,56.67,57.01,6740008
2017-06-15,56.42,57.17,56.4,56.93,5416623
2017-06-16,56.98,57.01,56.35,56.82,14555633
2017-06-19,56.96,57.66,56.91,57.61,7166237
2017-06-20,57.46,57.61,56.51,56.79,8181643
2017-06-21,56.79,56.84,56.12,56.33,8324937
2017-06-22,56.24,56.74,56.06,56.47,5560135
2017-06-23,56.64,57.44,56.57,56.91,11847870
2017-06-26,57.09,57.69,56.21,56.56,7339073
2017-06-27,56.29,56.33,55.41,55.43,6814393
2017-06-28,55.4,56.32,55.18,56.16,7542428
2017-06-29,55.93,55.93,54.55,55.08,8456872
2017-06-30,55.6,55.63,55.03,55.22,8781900
2017-07-03,55.53,56.02,54.92,54.95,4379566
