Date,Open,High,Low,Close,Volume
2017-01-03,56.26,56.47,56.0,56.17,3161967
2017-01-04,56.24,56.35,54.56,55.43,12554597
2017-01-05,55.46,55.75,55.19,55.19,9878616
2017-01-06,55.26,55.66,55.21,55.36,4898568
2017-01-09,55.25,55.85,55.25,55.71,4150624
2017-01-10,55.81,55.93,55.44,55.81,2848094
2017-01-11,55.82,56.31,55.75,55.8,4756702
2017-01-12,55.9,56.11,55.55,55.74,4915702
2017-01-13,55.75,56.03,55.65,55.97,4628586
2017-01-17,58.15,58.15,57.63,57.68,49863038
2017-01-18,58.0,58.08,57.84,58.0,25967483
2017-01-19,58.34,58.63,58.29,58.58,21015630
2017-01-20,58.69,58.77,58.49,58.71,12931453
2017-01-23,58.9,59.01,58.85,58.88,12157092
2017-01-24,59.1,59.26,59.02,59.15,11011094
2017-01-25,59.5,60.1,59.37,60.05,9536628
2017-01-26,60.05,60.26,60.05,60.17,6710730
2017-01-27,60.23,60.47,60.17,60.34,6323657
2017-01-30,60.1,60.1,59.82,59.87,4983859
2017-01-31,59.87,60.33,59.87,60.13,8595766
2017-02-01,60.05,60.28,59.93,59.95,7016171
2017-02-02,60.08,60.23,59.86,59.92,10696158
2017-02-03,60.07,60.49,60.05,60.39,6720185
2017-02-06,60.31,60.39,60.19,60.36,7857184
2017-02-07,60.41,60.71,60.31,60.59,4648517
2017-02-08,60.62,60.91,60.5,60.5,7176036
2017-02-09,60.72,60.83,60.5,60.54,9638784
2017-02-10,60.5,60.67,60.4,60.57,4928666
2017-02-13,60.63,60.81,60.01,60.31,13309424
2017-02-14,60.15,60.26,59.89,60.02,6828246
2017-02-15,59.8,60.49,59.76,60.43,3717883
2017-02-16,60.3,60.83,60.27,60.71,6554380
2017-02-17,60.74,60.82,60.44,60.73,3819105
2017-02-21,60.58,60.97,60.53,60.94,4294690
2017-02-22,60.89,60.95,60.69,60.95,3093013
2017-02-23,60.99,61.75,60.87,61.55,9044364
2017-02-24,61.44,61.55,61.21,61.5,3850525
2017-02-27,61.3,61.68,61.2,61.61,4338690
2017-02-28,61.41,61.66,61.37,61.57,4798142
2017-03-01,61.7,61.96,61.57,61.93,7787963
2017-03-02,61.77,61.88,61.56,61.59,14515521
2017-03-03,61.3,61.48,61.21,61.39,4427307
2017-03-06,61.11,61.32,60.97,61.3,5254688
2017-03-07,61.2,61.32,61.05,61.18,4877735
2017-03-08,60.52,60.77,60.4,60.44,6793646
2017-03-09,60.48,60.73,60.43,60.45,10034906
2017-03-10,60.5,60.75,60.43,60.58,5502619
2017-03-13,60.59,60.83,60.56,60.69,6499308
2017-03-14,60.62,60.77,60.45,60.55,6377063
2017-03-15,60.72,61.08,60.7,60.9,8462302
2017-03-16,61.57,61.77,61.0,61.33,10388105
2017-03-17,61.71,62.05,61.64,61.74,14143925
2017-03-20,61.82,62.11,61.81,62.01,4794720
2017-03-21,62.1,62.28,61.96,62.0,7344963
2017-03-22,62.13,62.2,61.89,62.03,6346834
2017-03-23,61.91,62.44,61.86,62.28,4044258
2017-03-24,62.29,62.85,62.18,62.64,3854507
2017-03-27,62.85,62.95,62.68,62.75,4462030
2017-03-28,62.59,62.78,62.52,62.72,4827079
2017-03-29,62.68,63.01,62.52,62.94,5135214
2017-03-30,63.1,63.17,62.82,62.82,6939461
2017-03-31,62.86,63.18,62.78,63.02,5545131
2017-04-03,62.98,63.1,62.8,62.91,4202855
2017-04-04,63.0,63.17,62.89,63.16,3127178
2017-04-05,63.19,63.7,63.1,63.57,6707284
2017-04-06,63.55,63.63,63.33,63.33,5703164
2017-04-07,63.44,63.67,63.44,63.55,3564713
2017-04-10,63.49,63.62,63.45,63.52,4725794
2017-04-11,63.8,64.06,63.8,63.97,3302801
2017-04-12,63.92,64.23,63.9,64.2,4310220
2017-04-13,64.12,64.2,63.94,63.97,2301411
2017-04-17,64.07,64.25,64.05,64.21,2987135
2017-04-18,64.15,64.22,63.87,64.04,4204541
2017-04-19,63.81,63.83,63.5,63.59,3737940
2017-04-20,63.68,63.95,63.67,63.79,3550830
2017-04-21,63.75,63.81,63.54,63.67,3546790
2017-04-24,64.12,64.81,64.11,64.8,3803237
2017-04-25,64.72,64.85,64.56,64.82,2988746
2017-04-26,64.75,64.84,64.5,64.53,4061354
2017-04-27,64.5,64.61,64.23,64.32,3137515
2017-04-28,64.3,64.51,64.29,64.5,2321723
2017-05-01,64.34,64.62,64.3,64.38,2516175
2017-05-02,64.54,64.87,64.53,64.87,4610702
2017-05-03,64.62,64.77,64.38,64.47,2573431
2017-05-04,64.6,64.7,64.47,64.5,3099762
2017-05-05,64.83,64.92,64.73,64.77,7349243
2017-05-08,64.93,65.0,64.69,64.9,3491196
2017-05-09,65.1,65.18,64.75,64.82,4561927
2017-05-10,64.87,65.08,64.86,65.05,3653418
2017-05-11,64.93,65.2,64.85,65.2,4358897
2017-05-12,65.06,65.57,65.05,65.54,3755081
2017-05-15,65.5,65.6,65.39,65.55,3135732
2017-05-16,66.01,66.31,66.01,66.27,2403863
2017-05-17,66.17,66.34,66.1,66.17,2879656
2017-05-18,66.01,66.09,65.57,65.58,4054319
2017-05-19,65.78,66.35,65.78,66.35,3979157
2017-05-22,66.42,66.77,66.3,66.68,3621858
2017-05-23,66.54,66.66,66.08,66.13,4524562
2017-05-24,66.19,66.48,66.17,66.42,2575798
2017-05-25,66.57,66.83,66.5,66.76,4372792
2017-05-26,66.69,66.99,66.64,66.98,2863486
2017-05-30,66.7,66.79,66.44,66.67,5718218
2017-05-31,66.76,67.25,66.66,67.25,10270641
2017-06-01,66.96,67.37,66.7,67.37,11620819
2017-06-02,67.23,67.73,67.12,67.73,6781482
2017-06-05,67.66,67.68,67.41,67.63,4174492
2017-06-06,67.6,67.8,67.49,67.72,3379795
2017-06-07,67.63,67.72,67.41,67.69,4781399
2017-06-08,67.05,67.05,66.44,66.5,6998139
2017-06-09,66.3,66.3,64.64,65.31,11689778
2017-06-12,65.4,65.5,64.89,64.92,8945999
2017-06-13,65.08,65.12,64.75,64.89,7165946
2017-06-14,65.47,66.14,65.47,65.79,10527801
2017-06-15,65.48,65.83,65.24,65.69,3741167
2017-06-16,65.92,66.52,65.83,66.5,4797046
2017-06-19,66.4,66.7,66.33,66.65,4404845
2017-06-20,66.33,66.42,66.05,66.11,3132908
2017-06-21,66.07,66.29,65.99,66.0,4598584
2017-06-22,65.97,65.99,65.45,65.45,5595361
2017-06-23,65.75,65.98,65.65,65.65,4288709
2017-06-26,65.85,66.02,65.69,65.75,4099101
2017-06-27,65.62,65.77,65.35,65.37,4540337
2017-06-28,65.63,65.85,65.44,65.58,4018609
2017-06-29,65.27,65.27,64.65,65.01,6264616
2017-06-30,65.0,65.22,64.88,65.04,3727467
2017-07-03,65.04,65.04,64.76,64.8,1551778
2017-07-05,64.8,65.04,64.71,64.87,4025318
2017-07-06,64.6,64.73,64.41,64.5,4984926
2017-07-07,64.7,64.76,64.53,64.58,4665740
2017-07-10,64.46,64.58,63.94,63.94,9034970
2017-07-11,64.1,64.34,63.91,64.0,6194625
2017-07-12,64.75,64.97,64.67,64.84,10573467
2017-07-13,65.08,65.15,64.78,64.79,9660903
