Date,Open,High,Low,Close,Volume
2017-01-03,370.84,384.94,368.44,379.7,1064460
2017-01-04,374.87,389.22,373.85,383.11,781487
2017-01-05,381.15,385.72,380.22,380.92,628243
2017-01-06,360.48,361.93,354.0,358.68,3255348
2017-01-09,359.21,360.39,349.24,355.06,1885574
2017-01-10,356.0,375.94,355.2,373.0,1787463
2017-01-11,371.84,379.95,361.66,364.47,1655955
2017-01-12,362.0,367.37,358.5,364.44,663695
2017-01-13,364.76,373.48,364.44,368.16,943787
2017-01-17,367.65,369.97,359.73,363.24,879176
2017-01-18,363.7,365.95,358.93,362.95,473967
2017-01-19,363.2,366.3,359.97,363.41,586322
2017-01-20,365.67,369.75,362.07,362.56,781954
2017-01-23,361.97,363.59,354.17,354.36,899779
2017-01-24,355.04,356.44,347.0,347.96,905424
2017-01-25,350.0,350.75,344.81,348.93,936665
2017-01-26,348.74,352.88,340.09,340.75,1312632
2017-01-27,342.34,349.97,340.96,346.5,620605
2017-01-30,344.89,347.04,342.16,344.5,668429
2017-01-31,344.05,360.0,343.5,359.29,1052803
2017-02-01,358.74,364.8,355.01,364.17,1033030
2017-02-02,361.14,364.81,357.89,360.56,579389
2017-02-03,362.43,363.25,352.08,358.26,733356
2017-02-06,357.86,362.45,353.59,362.0,750326
2017-02-07,360.61,363.1,355.89,357.69,689902
2017-02-08,355.88,359.0,351.03,353.25,876853
2017-02-09,347.07,366.95,347.0,360.0,1723515
2017-02-10,360.95,364.39,357.38,359.87,713596
2017-02-13,364.22,378.47,363.2,375.66,1539710
2017-02-14,375.95,378.32,371.6,376.52,991873
2017-02-15,375.43,384.58,374.0,384.0,926277
2017-02-16,379.0,382.08,369.2,373.02,1277299
2017-02-17,372.42,375.0,369.3,371.18,775547
2017-02-21,372.18,375.76,370.0,371.61,722557
2017-02-22,371.61,373.16,369.12,370.22,569426
2017-02-23,370.99,371.22,357.22,360.96,1119121
2017-02-24,359.88,361.08,355.0,361.01,782594
2017-02-27,361.15,373.36,359.94,373.05,538564
2017-02-28,373.3,374.97,368.42,373.5,759164
2017-03-01,378.0,381.92,372.52,379.05,757505
2017-03-02,379.05,381.99,375.0,375.86,512279
2017-03-03,375.98,379.46,371.0,378.66,513995
2017-03-06,378.13,383.99,376.45,381.93,1020846
2017-03-07,378.76,382.22,370.63,372.52,891109
2017-03-08,373.59,382.69,373.5,381.37,832830
2017-03-09,383.18,392.24,381.43,390.14,1101669
2017-03-10,392.95,392.95,384.21,388.23,743795
2017-03-13,389.2,389.98,384.28,388.88,572707
2017-03-14,386.87,393.59,386.87,391.1,548963
2017-03-15,393.64,399.72,391.83,397.8,808206
2017-03-16,397.46,399.0,389.29,392.59,770860
2017-03-17,380.05,386.69,370.68,380.29,2839916
2017-03-20,380.83,385.71,377.72,382.02,576945
2017-03-21,382.89,383.08,370.24,370.98,1224616
2017-03-22,373.12,374.74,366.12,369.14,684628
2017-03-23,369.19,370.73,364.44,365.02,677088
2017-03-24,367.92,374.85,366.72,373.0,881363
2017-03-27,371.69,384.96,371.04,383.68,1386403
2017-03-28,383.47,388.82,376.22,382.55,1651254
2017-03-29,382.46,401.21,382.06,394.14,1945473
2017-03-30,394.89,397.21,385.82,386.18,967019
2017-03-31,385.75,390.0,382.6,387.51,570333
2017-04-03,388.0,392.75,382.26,383.19,994847
2017-04-04,383.94,386.06,379.28,382.92,681157
2017-04-05,382.93,384.51,375.72,377.36,772871
2017-04-06,379.0,381.98,376.36,379.48,1120083
2017-04-07,379.6,381.36,375.61,380.55,741730
2017-04-10,380.01,382.89,372.83,373.26,896536
2017-04-11,372.5,373.89,363.99,367.07,851473
2017-04-12,367.0,372.6,364.23,366.33,660995
2017-04-13,367.61,373.87,366.5,370.37,699818
2017-04-17,373.0,374.36,369.1,373.45,574429
2017-04-18,371.04,374.72,363.39,366.06,520307
2017-04-19,368.12,371.31,366.52,370.96,501250
2017-04-20,371.92,377.48,368.05,376.4,767957
2017-04-21,376.4,379.2,368.81,370.12,640254
2017-04-24,373.83,374.94,369.04,371.93,714988
2017-04-25,373.09,376.24,370.0,372.32,711724
2017-04-26,372.12,375.4,369.47,371.39,516438
2017-04-27,370.9,371.71,360.0,366.62,1981461
2017-04-28,368.51,393.5,368.3,388.49,2180107
2017-05-01,388.8,399.98,388.22,396.17,1246852
2017-05-02,396.65,402.98,392.7,402.04,884408
2017-05-03,402.0,408.12,400.39,407.03,1265473
2017-05-04,410.19,437.32,410.19,434.31,2320333
2017-05-05,434.79,438.47,426.4,429.0,1060607
2017-05-08,427.76,436.47,421.88,423.38,864606
2017-05-09,422.83,428.72,421.55,427.18,567081
2017-05-10,427.13,431.74,422.95,431.57,518969
2017-05-11,429.79,441.71,428.85,440.43,895992
2017-05-12,441.54,452.88,438.59,442.05,1213708
2017-05-15,440.38,450.78,439.61,450.41,772102
2017-05-16,451.79,456.74,445.8,454.75,943112
2017-05-17,451.29,458.58,445.3,446.72,750078
2017-05-18,448.0,462.96,446.05,457.33,1107622
2017-05-19,456.06,458.49,448.0,450.01,996846
