Date,Open,High,Low,Close,Volume
2017-01-03,15.15,15.87,15.0,15.33,19408488
2017-01-04,15.35,15.6,15.14,15.45,8865715
2017-01-05,15.57,15.86,15.34,15.62,14172137
2017-01-06,15.67,15.84,15.4,15.77,8713757
2017-01-09,15.4,15.47,15.02,15.29,10885350
2017-01-10,15.34,15.42,15.1,15.14,11795002
2017-01-11,15.27,15.97,15.24,15.75,13370295
2017-01-12,16.0,16.16,15.41,15.84,14645666
2017-01-13,15.79,15.94,15.46,15.48,8264458
2017-01-17,15.49,15.74,15.48,15.59,7605535
2017-01-18,15.36,15.51,15.18,15.3,10009806
2017-01-19,15.34,15.43,15.01,15.09,11016193
2017-01-20,15.3,15.52,15.17,15.31,19222426
2017-01-23,15.26,15.28,14.61,14.76,14886255
2017-01-24,14.83,15.05,14.63,14.92,12077873
2017-01-25,15.04,15.43,15.04,15.3,16703466
2017-01-26,15.32,15.65,15.12,15.18,12213600
2017-01-27,15.09,15.12,14.67,14.9,9728806
2017-01-30,14.88,14.88,13.64,13.85,20576862
2017-01-31,13.96,13.98,13.38,13.97,16128700
2017-02-01,14.08,14.25,13.73,13.99,12275565
2017-02-02,13.98,14.03,13.55,13.74,11614059
2017-02-03,13.88,14.23,13.84,13.97,11654100
2017-02-06,13.99,14.02,13.51,13.54,9090329
2017-02-07,13.43,13.7,13.2,13.47,14165951
2017-02-08,13.26,13.38,12.88,13.36,11831751
2017-02-09,13.6,13.67,13.19,13.19,11310562
2017-02-10,13.47,13.55,13.26,13.35,12439266
2017-02-13,13.22,13.55,13.22,13.4,6204232
2017-02-14,13.44,13.63,13.32,13.61,6415913
2017-02-15,13.46,13.61,13.16,13.37,9460708
2017-02-16,13.39,13.45,13.11,13.17,11174490
2017-02-17,13.03,13.23,12.9,13.16,9205803
2017-02-21,13.27,13.6,13.22,13.47,14311032
2017-02-22,13.32,13.5,13.06,13.28,11126316
2017-02-23,13.76,14.33,13.55,14.31,21918442
2017-02-24,13.99,14.18,13.67,13.75,13777878
2017-02-27,13.82,14.33,13.56,14.16,15288826
2017-02-28,14.07,14.17,13.73,13.82,15269337
2017-03-01,14.02,14.3,14.02,14.05,10232479
2017-03-02,13.57,14.15,13.57,13.9,14290786
2017-03-03,13.89,14.05,13.51,13.53,13787149
2017-03-06,13.43,13.44,12.76,13.05,15581080
2017-03-07,12.98,13.16,12.72,12.78,18418202
2017-03-08,12.63,12.79,12.25,12.4,15046003
2017-03-09,12.16,12.23,11.68,11.99,19266029
2017-03-10,12.15,12.26,11.8,12.26,20945298
