Date,Open,High,Low,Close,Volume
2017-01-03,33.61,34.42,31.54,32.6,10678281
2017-01-04,32.44,33.64,32.44,33.55,4448638
2017-01-05,33.79,34.43,33.44,34.2,5195842
2017-01-06,34.28,34.52,33.73,34.23,2500387
2017-01-09,33.8,33.88,32.61,32.76,4131107
2017-01-10,33.28,33.5,32.71,33.36,3359930
2017-01-11,33.55,33.82,33.05,33.53,2583077
2017-01-12,33.88,34.59,33.56,33.99,3769608
2017-01-13,33.82,34.17,33.42,33.64,2922309
2017-01-17,33.93,33.93,33.06,33.76,4122022
2017-01-18,33.1,34.75,33.05,34.35,3135857
2017-01-19,34.33,34.86,34.1,34.47,3719582
2017-01-20,34.89,34.91,34.3,34.54,3334429
2017-01-23,34.5,34.8,34.01,34.14,2566585
2017-01-24,34.35,34.79,34.01,34.06,5581068
2017-01-25,34.31,34.32,33.72,33.83,3511471
2017-01-26,34.12,34.45,33.68,34.44,4387731
2017-01-27,34.95,36.4,34.95,35.71,6948302
2017-01-30,35.64,35.64,32.89,33.34,5939385
2017-01-31,33.02,33.18,31.8,32.34,5044632
2017-02-01,32.66,32.74,31.65,31.81,4763024
2017-02-02,31.73,32.92,31.12,32.78,4969442
2017-02-03,32.59,33.5,32.37,33.47,4602078
2017-02-06,34.01,34.93,33.8,33.91,3961754
2017-02-07,33.97,34.17,32.78,33.15,3213457
2017-02-08,32.88,33.35,32.11,32.89,2414349
2017-02-09,33.32,33.94,33.09,33.81,2343292
2017-02-10,33.82,34.09,33.08,33.14,3026181
2017-02-13,33.08,33.14,32.5,32.53,2905974
2017-02-14,32.61,32.84,32.32,32.81,3763608
2017-02-15,32.7,33.57,32.63,33.0,2831219
2017-02-16,32.98,33.07,31.0,31.24,6373353
2017-02-17,31.0,31.63,30.78,31.27,6475164
2017-02-21,30.79,31.21,30.3,30.42,6028278
2017-02-22,30.18,30.62,29.87,29.93,4833895
2017-02-23,30.65,30.65,27.92,28.94,9226936
2017-02-24,28.74,28.8,27.25,27.64,6974621
2017-02-27,27.58,28.21,27.26,27.72,4424170
2017-02-28,27.65,27.75,27.07,27.62,3751626
2017-03-01,27.84,28.24,27.54,27.93,3850113
2017-03-02,27.72,27.93,27.24,27.47,3830470
2017-03-03,27.66,27.9,27.26,27.34,2986354
2017-03-06,28.96,28.96,27.79,28.47,5742579
2017-03-07,28.38,28.48,27.65,27.91,5950477
2017-03-08,27.93,28.36,27.5,27.54,6630372
2017-03-09,27.5,27.96,26.7,27.8,7608473
2017-03-10,28.12,28.39,27.42,27.53,5972290
2017-03-13,27.61,28.19,27.33,28.08,5311837
2017-03-14,27.73,27.76,27.08,27.45,3953047
2017-03-15,27.71,28.25,27.28,28.1,3707443
2017-03-16,28.04,28.18,27.5,27.69,4205069
2017-03-17,27.86,27.96,27.38,27.51,4841089
2017-03-20,27.39,27.8,27.08,27.72,4970925
2017-03-21,27.86,28.1,27.33,27.42,4646698
2017-03-22,27.2,27.38,26.61,26.8,4102892
2017-03-23,26.95,27.41,26.71,27.23,3771347
2017-03-24,27.23,27.85,27.0,27.68,4379818
2017-03-27,27.3,27.9,27.21,27.82,3410540
2017-03-28,27.94,28.24,27.44,27.79,5676355
2017-03-29,28.0,28.96,27.92,28.95,6163344
2017-03-30,29.24,29.48,28.6,28.61,8423111
2017-03-31,28.88,29.7,28.65,29.1,5958891
2017-04-03,29.07,29.22,28.2,28.57,4863452
2017-04-04,28.97,29.79,28.7,29.76,5869636
2017-04-05,30.15,30.3,29.15,29.4,6734969
2017-04-06,29.58,29.92,29.43,29.9,4323863
2017-04-07,29.87,30.0,29.44,29.47,3442809
2017-04-10,29.55,29.95,29.4,29.88,2659226
2017-04-11,29.86,29.95,29.0,29.4,3311988
2017-04-12,29.35,29.75,28.5,28.54,5038793
2017-04-13,28.62,28.68,27.66,27.77,5942097
2017-04-17,27.74,28.04,27.42,27.87,5868319
2017-04-18,27.57,27.97,27.29,27.42,4301979
2017-04-19,27.73,28.14,27.22,27.34,5306959
2017-04-20,27.41,27.92,27.2,27.61,3418484
2017-04-21,27.5,27.78,27.24,27.47,3772655
2017-04-24,27.6,27.69,27.19,27.23,5516243
2017-04-25,27.15,27.68,26.24,27.56,12785671
2017-04-26,27.61,28.76,27.42,27.61,6799009
2017-04-27,27.28,27.65,26.86,27.35,6693354
2017-04-28,27.78,27.93,26.43,26.49,7576207
2017-05-01,26.44,26.7,26.2,26.53,3829525
2017-05-02,26.5,26.98,26.31,26.53,4085248
2017-05-03,26.46,26.48,25.9,26.02,4610339
2017-05-04,25.74,25.78,24.67,25.47,8411555
2017-05-05,25.58,26.28,25.32,26.22,6311430
2017-05-08,26.07,26.22,25.46,25.82,3433011
2017-05-09,25.92,25.97,25.1,25.13,5905204
2017-05-10,25.45,26.0,25.23,25.49,4722868
2017-05-11,25.89,25.89,25.08,25.44,4831187
2017-05-12,25.39,25.68,25.28,25.61,3379643
2017-05-15,26.1,26.19,25.25,25.32,4359892
2017-05-16,25.32,25.51,25.02,25.16,4136508
2017-05-17,25.0,25.31,24.77,25.01,4067212
2017-05-18,24.86,25.27,24.73,24.74,4480874
