Date,Open,High,Low,Close,Volume
2017-01-03,40.05,40.65,39.72,40.2,6951679
2017-01-04,40.4,41.34,40.34,41.22,8892852
2017-01-05,40.97,41.48,40.5,40.97,6336234
2017-01-06,41.3,41.52,40.66,41.23,5639831
2017-01-09,41.0,41.25,40.64,41.12,4413636
2017-01-10,41.19,41.49,40.99,41.19,5197946
2017-01-11,41.14,41.42,40.82,41.32,4778287
2017-01-12,41.06,41.33,40.42,41.26,6946398
2017-01-13,41.55,41.84,41.3,41.41,7671798
2017-01-17,41.07,41.33,40.26,40.33,11114861
2017-01-18,40.07,41.26,39.14,41.1,13651664
2017-01-19,41.38,41.6,40.95,41.44,10399267
2017-01-20,41.52,41.74,40.94,41.31,7369284
2017-01-23,41.11,41.32,40.75,41.19,4866162
2017-01-24,41.43,42.11,41.23,41.8,5451697
2017-01-25,42.28,42.45,41.93,42.29,7747738
2017-01-26,42.48,42.61,42.19,42.45,5146653
2017-01-27,42.5,42.54,42.11,42.31,4052153
2017-01-30,42.04,42.04,41.4,41.83,6281585
2017-01-31,41.62,41.82,41.09,41.24,8055306
2017-02-01,41.67,41.98,41.12,41.34,10398102
2017-02-02,39.87,40.55,39.03,39.17,20291322
2017-02-03,39.87,40.68,39.69,40.17,12348670
2017-02-06,39.75,40.08,39.51,39.74,7212652
2017-02-07,39.93,40.13,39.62,39.68,5612343
2017-02-08,39.42,39.64,39.19,39.44,8493222
2017-02-09,39.74,40.3,39.55,40.08,7484857
2017-02-10,40.3,40.37,39.9,39.94,6789913
2017-02-13,40.23,40.99,40.2,40.72,7576310
2017-02-14,40.69,41.49,40.44,41.26,7895938
2017-02-15,41.63,42.46,41.31,42.16,11623374
2017-02-16,42.08,42.15,41.24,41.55,4987197
2017-02-17,41.17,41.59,41.0,41.55,4713579
2017-02-21,41.82,42.12,41.66,41.78,4933286
2017-02-22,41.33,41.94,41.32,41.62,5368760
2017-02-23,41.61,41.61,40.84,41.24,4494640
2017-02-24,40.75,41.11,40.54,41.11,5223556
2017-02-27,41.09,41.9,41.09,41.73,5547192
2017-02-28,40.13,40.91,39.78,40.41,22639196
2017-03-01,41.5,43.36,41.4,42.99,15066494
2017-03-02,42.98,42.99,42.03,42.23,8817492
2017-03-03,42.17,42.75,42.09,42.45,7623231
2017-03-06,42.08,42.29,41.8,42.11,6600294
2017-03-07,42.07,42.21,41.6,41.66,6561273
2017-03-08,42.27,42.65,41.82,41.86,6715928
2017-03-09,42.07,42.38,41.96,42.25,5263415
2017-03-10,42.54,42.82,42.1,42.48,5615705
2017-03-13,42.63,43.21,42.51,42.98,5034377
2017-03-14,42.88,42.98,42.13,42.67,6257070
2017-03-15,42.92,43.3,42.39,42.72,8169826
2017-03-16,42.88,43.64,42.78,43.53,7391634
2017-03-17,43.62,43.65,42.81,42.86,8913912
2017-03-20,42.74,42.88,42.22,42.25,6191388
2017-03-21,42.56,42.6,40.32,40.44,10427916
2017-03-22,40.22,40.54,39.54,40.16,8935033
2017-03-23,40.03,40.69,39.98,40.17,7387849
2017-03-24,40.35,40.42,39.72,40.02,7528339
2017-03-27,38.34,39.46,37.62,39.42,13739537
2017-03-28,39.39,40.87,39.26,40.49,8934358
2017-03-29,40.33,40.58,40.07,40.45,5261278
2017-03-30,40.42,41.34,40.38,41.14,5817230
2017-03-31,40.95,41.24,40.79,40.81,5280797
2017-04-03,40.83,40.96,39.83,40.57,8765644
2017-04-04,40.45,40.64,40.02,40.23,6447475
2017-04-05,40.5,40.78,39.43,39.48,8835393
2017-04-06,39.47,40.29,39.21,40.06,6634645
2017-04-07,39.66,40.24,39.38,39.9,9337372
2017-04-10,39.82,40.13,39.12,39.3,6916406
2017-04-11,39.04,39.1,38.18,38.93,9730044
2017-04-12,38.9,38.9,38.14,38.4,10462356
2017-04-13,38.19,38.56,37.51,37.53,10215720
2017-04-17,37.64,38.22,37.47,38.14,7836348
2017-04-18,38.1,38.55,37.16,37.91,15029082
2017-04-19,38.33,38.76,38.05,38.28,10364582
2017-04-20,38.65,38.94,38.38,38.68,8466428
2017-04-21,38.68,38.74,38.01,38.33,7074491
2017-04-24,39.46,39.66,39.06,39.19,10924540
2017-04-25,39.64,39.91,39.43,39.62,8126554
2017-04-26,39.51,40.58,39.48,40.06,12762076
2017-04-27,40.06,40.12,39.22,39.25,7836877
2017-04-28,39.23,39.23,38.78,38.85,7001596
2017-05-01,39.1,39.87,39.09,39.73,9400625
2017-05-02,39.79,40.05,39.62,40.03,7735227
2017-05-03,39.82,40.47,39.68,40.4,8754769
2017-05-04,40.64,40.82,39.87,40.16,5618939
2017-05-05,40.25,40.3,39.82,40.13,5266167
2017-05-08,40.16,40.42,39.9,40.41,5508804
2017-05-09,40.44,40.81,40.35,40.5,5813652
2017-05-10,40.24,40.33,39.88,40.15,6334313
2017-05-11,39.89,40.14,39.59,40.02,7988889
2017-05-12,39.78,39.89,39.25,39.61,5451791
2017-05-15,39.72,40.57,39.72,40.54,6196556
2017-05-16,40.69,40.74,40.18,40.67,5698291
2017-05-17,39.79,39.83,37.72,38.12,13063868
2017-05-18,38.49,38.64,37.86,38.33,8607677
2017-05-19,38.46,38.71,38.21,38.26,8656148
2017-05-22,38.7,38.7,38.13,38.52,5755238
2017-05-23,38.5,39.12,38.18,38.87,4586519
2017-05-24,39.03,39.22,38.81,39.01,5538890
2017-05-25,39.27,39.51,39.07,39.41,4565924
2017-05-26,39.3,39.63,39.12,39.52,4325951
2017-05-30,39.3,39.34,38.62,38.66,7104195
2017-05-31,38.65,38.9,37.63,38.75,12278005
2017-06-01,39.09,39.71,38.65,39.7,8087533
2017-06-02,39.19,39.39,38.69,38.95,8772579
2017-06-05,39.0,39.4,38.97,39.1,5954892
2017-06-06,38.7,38.89,38.33,38.72,7387464
2017-06-07,38.75,39.27,38.64,38.87,5800878
2017-06-08,38.95,40.01,38.78,39.76,8588698
2017-06-09,40.18,41.32,39.96,41.29,11592615
2017-06-12,41.37,41.92,41.3,41.88,8076875
2017-06-13,41.99,42.35,41.88,42.05,6808344
2017-06-14,41.5,42.33,41.11,42.3,9060235
2017-06-15,41.99,42.6,41.75,42.12,6692028
2017-06-16,42.24,42.35,41.84,41.92,8880631
2017-06-19,42.22,42.61,42.14,42.46,4860198
2017-06-20,42.33,42.42,42.0,42.14,6913674
2017-06-21,42.2,42.2,41.6,41.75,6362161
2017-06-22,41.62,41.84,41.43,41.63,5804232
2017-06-23,41.93,41.93,41.36,41.62,8464325
2017-06-26,41.75,42.1,41.35,41.85,5263239
2017-06-27,42.28,43.29,42.08,42.62,8519622
2017-06-28,43.03,43.25,42.77,42.85,8843285
2017-06-29,43.88,44.1,42.68,43.01,8844034
2017-06-30,43.38,43.52,42.82,42.96,7231212
2017-07-03,43.21,43.64,43.09,43.48,5259418
2017-07-05,43.65,44.1,43.53,43.68,7350607
2017-07-06,43.61,43.95,43.36,43.48,7903069
2017-07-07,43.67,43.69,43.19,43.32,4718030
2017-07-10,43.21,43.77,43.12,43.63,3780214
2017-07-11,43.28,43.34,42.77,43.1,6077156
2017-07-12,43.0,43.22,42.74,43.05,6126584
2017-07-13,43.11,43.42,42.98,43.18,4526280
