Date,Open,High,Low,Close,Volume
2017-01-03,45.67,46.51,45.54,46.5,1837921
2017-01-04,46.75,47.23,46.64,47.21,1606708
2017-01-05,47.2,47.59,47.01,47.38,1873024
2017-01-06,47.38,47.5,47.1,47.18,664858
2017-01-09,47.3,47.3,46.88,47.07,986191
2017-01-10,47.21,47.91,46.89,47.8,2043894
2017-01-11,47.97,48.33,47.72,48.31,1808093
2017-01-12,48.07,48.35,47.78,48.28,825156
2017-01-13,48.2,48.54,47.49,48.03,1188777
2017-01-17,47.66,48.38,47.32,48.25,1147633
2017-01-18,48.33,48.7,48.09,48.6,1120995
2017-01-19,48.45,48.73,47.88,48.12,1363524
2017-01-20,48.38,48.55,48.06,48.27,1275040
2017-01-23,48.3,48.55,48.07,48.51,1035305
2017-01-24,48.74,49.3,48.63,49.25,918310
2017-01-25,49.37,49.6,48.97,49.18,1942254
2017-01-26,49.08,49.24,48.79,49.23,1564300
2017-01-27,49.23,49.39,48.96,49.2,1140139
2017-01-30,49.61,49.61,48.24,48.58,828541
2017-01-31,48.46,48.71,47.88,48.5,1152917
2017-02-01,48.66,49.18,48.54,48.9,1094970
2017-02-02,48.81,49.89,48.27,49.78,2573178
2017-02-03,49.97,50.18,49.12,49.67,2417678
2017-02-06,49.47,49.91,49.29,49.57,1368906
2017-02-07,49.58,49.79,49.3,49.5,1193022
2017-02-08,49.45,50.62,49.31,50.22,3091649
2017-02-09,46.27,47.52,45.44,47.14,8807292
2017-02-10,47.13,48.39,46.27,47.83,3937195
2017-02-13,47.98,48.13,46.98,46.99,2703265
2017-02-14,46.88,47.18,46.77,47.12,1551226
2017-02-15,47.02,47.75,47.0,47.62,1192064
2017-02-16,47.74,48.2,47.7,47.91,1112867
2017-02-17,47.91,48.12,47.6,47.76,1642917
2017-02-21,47.44,48.02,47.44,47.94,2200846
2017-02-22,47.85,48.06,47.39,47.72,994504
2017-02-23,47.9,48.32,47.84,47.89,1478647
2017-02-24,47.75,47.75,47.1,47.26,1686367
2017-02-27,47.1,47.3,46.55,46.69,2212003
2017-02-28,46.42,46.84,46.26,46.48,2390831
2017-03-01,46.86,47.5,46.72,47.12,2232683
2017-03-02,47.23,47.3,46.69,46.71,1102390
2017-03-03,46.68,46.72,46.04,46.3,2488881
2017-03-06,45.94,46.17,45.07,45.29,3426991
2017-03-07,45.2,45.24,44.2,44.41,3319745
2017-03-08,44.49,44.6,44.03,44.08,3946634
2017-03-09,44.24,44.86,44.0,44.85,4340958
2017-03-10,45.14,45.55,45.06,45.21,1591100
2017-03-13,45.31,45.4,44.61,45.04,1287783
2017-03-14,45.04,45.76,44.98,45.5,1616914
2017-03-15,45.85,46.05,45.69,45.9,1539776
2017-03-16,46.09,46.09,45.73,45.88,2572331
2017-03-17,46.06,46.16,45.68,46.06,1293558
2017-03-20,46.14,46.43,45.9,46.2,1497388
2017-03-21,46.25,46.48,45.3,45.36,1267491
2017-03-22,45.44,45.63,44.99,45.41,1177510
2017-03-23,45.37,45.74,45.22,45.46,932593
2017-03-24,45.46,45.46,44.33,44.67,2110208
2017-03-27,44.25,44.25,42.54,43.55,6906198
2017-03-28,43.44,44.2,43.35,43.83,2554636
2017-03-29,43.69,43.8,43.26,43.49,2477321
2017-03-30,43.54,43.64,43.27,43.3,1050515
2017-03-31,43.15,43.81,42.91,43.58,2222632
2017-04-03,43.65,43.95,43.24,43.59,2085564
2017-04-04,43.0,43.4,42.98,43.04,1505200
2017-04-05,43.15,43.53,42.96,43.07,2714629
2017-04-06,43.07,43.4,42.98,43.06,2904501
2017-04-07,42.95,43.26,42.75,42.9,2050271
2017-04-10,42.9,43.32,42.81,42.89,1300265
2017-04-11,42.75,43.07,42.62,43.0,1652480
2017-04-12,42.97,42.99,42.56,42.69,1220229
2017-04-13,42.46,42.69,42.29,42.51,1511714
2017-04-17,42.75,42.95,42.58,42.81,1564457
2017-04-18,42.51,43.0,42.41,42.96,1205079
2017-04-19,43.18,43.7,43.12,43.54,2706219
2017-04-20,43.66,44.15,43.54,43.99,2167107
2017-04-21,43.93,44.2,43.71,43.75,1590353
2017-04-24,44.1,44.32,43.94,44.16,1215991
2017-04-25,44.33,44.96,44.3,44.87,1531545
2017-04-26,44.9,45.08,44.71,44.73,1287609
2017-04-27,44.67,44.69,43.93,44.21,1487312
2017-04-28,44.16,44.22,43.71,44.02,1511147
2017-05-01,44.08,44.24,43.75,44.09,762336
2017-05-02,44.14,44.53,44.02,44.46,1568111
2017-05-03,44.37,44.51,44.06,44.26,1037205
2017-05-04,44.31,45.18,44.31,45.18,1599534
2017-05-05,45.4,46.27,45.14,45.79,2253456
2017-05-08,45.65,46.51,45.65,46.41,3530453
2017-05-09,45.48,45.59,42.16,42.3,11341075
2017-05-10,42.14,43.52,41.74,43.4,4976027
2017-05-11,43.07,43.6,42.91,43.13,4204841
2017-05-12,43.0,43.3,42.49,42.53,2218773
2017-05-15,42.73,43.21,42.63,42.99,3685163
2017-05-16,43.06,43.75,42.98,43.71,2535716
2017-05-17,43.24,43.96,43.09,43.64,2740898
2017-05-18,42.92,43.35,42.42,42.94,2227609
2017-05-19,43.14,43.48,42.91,43.45,1858731
2017-05-22,43.47,44.06,43.47,43.9,1558219
2017-05-23,43.88,44.35,43.77,43.9,2251642
2017-05-24,43.85,44.3,43.84,44.07,3083488
2017-05-25,44.02,44.7,44.02,44.22,2844520
2017-05-26,44.2,44.68,44.2,44.55,1339531
2017-05-30,44.38,44.95,44.32,44.68,2486467
2017-05-31,44.64,44.65,44.16,44.42,1688562
2017-06-01,44.52,44.92,44.31,44.7,1265477
2017-06-02,44.74,45.18,44.49,44.53,7192080
2017-06-05,44.46,44.87,44.46,44.59,2306047
2017-06-06,44.53,44.57,44.1,44.22,1635127
2017-06-07,44.26,44.62,44.19,44.32,2609871
2017-06-08,44.36,44.66,44.13,44.33,1861248
2017-06-09,44.34,44.45,43.72,44.14,2603837
2017-06-12,44.06,44.6,44.05,44.19,1614186
2017-06-13,44.51,45.03,44.23,44.98,1903241
2017-06-14,44.96,45.29,44.96,45.15,1784463
2017-06-15,45.0,45.29,44.79,44.84,1695826
2017-06-16,44.96,45.09,44.69,45.03,2227429
2017-06-19,45.05,45.34,44.79,45.3,1447116
2017-06-20,45.27,45.35,44.98,45.07,2332874
2017-06-21,45.14,45.33,44.98,45.27,1759632
2017-06-22,45.24,45.39,44.87,44.92,1961993
2017-06-23,44.82,45.19,44.72,44.83,4115227
2017-06-26,44.87,45.46,44.87,45.34,1307312
2017-06-27,45.4,45.5,45.06,45.06,1571301
2017-06-28,45.4,45.7,45.24,45.47,1288280
2017-06-29,45.47,45.6,44.58,44.87,2069646
2017-06-30,44.91,45.01,44.62,44.76,2025113
2017-07-03,45.04,45.16,44.79,45.01,982425
2017-07-05,44.99,45.25,44.66,45.03,1426385
2017-07-06,44.82,44.96,44.56,44.72,1283967
2017-07-07,44.95,45.59,44.84,45.32,1352233
2017-07-10,45.29,45.89,45.14,45.84,1816440
2017-07-11,45.82,45.91,45.25,45.4,1935495
2017-07-12,45.66,45.93,45.48,45.88,1162142
2017-07-13,45.86,46.23,45.82,45.86,1067493
