Date,Open,High,Low,Close,Volume
2017-01-03,108.71,108.92,107.14,108.53,643905
2017-01-04,108.58,110.85,107.06,110.68,1115365
2017-01-05,109.76,110.25,107.97,109.32,571410
2017-01-06,109.13,111.0,108.57,110.49,589128
2017-01-09,110.31,111.02,106.88,107.44,930164
2017-01-10,107.08,107.19,105.63,106.05,666119
2017-01-11,106.12,106.58,104.94,105.05,623965
2017-01-12,105.08,106.27,104.27,106.17,527277
2017-01-13,106.07,106.87,106.05,106.46,532652
2017-01-17,106.31,108.23,105.78,108.01,951385
2017-01-18,108.07,109.56,107.41,108.87,702205
2017-01-19,108.52,108.97,106.9,107.33,665950
2017-01-20,107.41,108.13,106.64,108.1,452141
2017-01-23,107.85,109.75,107.84,109.61,383999
2017-01-24,109.9,110.33,109.02,109.38,528067
2017-01-25,109.66,110.49,108.16,108.73,695315
2017-01-26,109.5,111.01,109.34,110.02,661882
2017-01-27,110.25,110.62,107.82,109.6,725587
2017-01-30,109.15,109.97,108.31,109.04,549456
2017-01-31,108.85,110.29,108.82,108.97,739628
2017-02-01,109.04,110.78,106.76,106.9,674273
2017-02-02,107.04,109.01,106.65,108.49,569293
2017-02-03,109.62,110.54,108.68,108.88,556851
2017-02-06,108.71,109.0,107.74,108.51,506791
2017-02-07,108.81,109.93,107.13,107.39,594886
2017-02-08,107.68,109.02,107.2,108.47,336212
2017-02-09,108.64,109.21,108.23,108.99,449323
2017-02-10,108.96,109.87,108.67,109.79,425636
2017-02-13,110.09,110.66,108.86,110.31,389344
2017-02-14,110.28,111.46,109.01,111.04,568132
2017-02-15,110.65,111.54,109.55,111.16,524981
2017-02-16,111.53,112.94,110.4,110.71,574052
2017-02-17,110.64,111.34,109.7,111.28,383801
2017-02-21,111.2,112.63,110.81,112.32,533359
2017-02-22,112.43,112.78,111.1,112.42,530141
2017-02-23,112.81,113.74,111.48,112.03,451429
2017-02-24,111.92,112.18,110.57,111.74,605163
2017-02-27,112.05,113.21,111.64,112.72,362508
2017-02-28,112.59,112.93,111.59,112.68,601383
2017-03-01,112.72,115.34,111.39,113.75,1087074
2017-03-02,113.38,113.73,111.07,111.5,842909
