Date,Open,High,Low,Close,Volume
2017-01-03,49.15,49.25,48.67,49.04,3974441
2017-01-04,49.02,49.3,48.84,48.99,3864044
2017-01-05,49.05,49.2,48.61,49.14,4844396
2017-01-06,48.96,49.2,48.76,49.01,4800227
2017-01-09,48.9,49.16,48.48,48.53,4271417
2017-01-10,48.6,48.6,48.19,48.38,3569389
2017-01-11,48.28,48.82,48.25,48.74,2636435
2017-01-12,48.8,49.1,48.54,49.0,3500530
2017-01-13,48.83,48.92,48.4,48.8,3590684
2017-01-17,48.95,49.73,48.89,49.69,4882311
2017-01-18,49.55,49.84,49.5,49.62,3444536
2017-01-19,49.28,49.5,48.9,49.05,3738473
2017-01-20,49.09,49.25,48.82,49.06,3598528
2017-01-23,49.21,49.3,48.82,48.83,3170480
2017-01-24,48.83,49.14,48.5,48.57,5507298
2017-01-25,48.47,48.52,48.23,48.49,4373417
2017-01-26,48.45,48.74,48.34,48.63,3485689
2017-01-27,48.74,48.86,48.36,48.48,4255227
2017-01-30,48.62,48.67,48.25,48.66,4040938
2017-01-31,48.74,49.6,48.68,49.43,5862999
2017-02-01,49.12,49.12,48.1,48.55,7546863
2017-02-02,48.58,49.02,48.46,48.98,4380451
2017-02-03,49.02,49.14,48.74,48.83,3389331
2017-02-06,48.97,49.09,48.72,48.76,3145729
2017-02-07,48.86,48.91,48.61,48.77,3710450
2017-02-08,48.85,49.34,48.82,49.22,3931995
2017-02-09,49.15,49.41,48.71,48.86,4827948
2017-02-10,48.81,49.16,48.74,49.05,3502558
2017-02-13,49.06,49.29,48.86,49.22,3348804
2017-02-14,49.01,49.02,48.25,48.59,5319251
2017-02-15,48.35,48.4,47.95,48.35,6017601
2017-02-16,47.85,48.27,47.76,48.24,5632724
2017-02-17,48.29,48.36,47.68,47.8,7118347
2017-02-21,47.74,48.34,47.57,48.28,8673399
2017-02-22,48.26,49.08,48.01,48.99,7522593
2017-02-23,49.0,49.86,48.94,49.67,8940869
2017-02-24,49.8,50.58,49.78,50.5,8351152
2017-02-27,50.45,50.45,50.2,50.27,4650336
2017-02-28,50.14,50.89,50.12,50.82,6668445
2017-03-01,50.27,50.57,49.97,50.06,7153782
2017-03-02,49.78,50.57,49.64,50.32,5343920
2017-03-03,50.34,50.61,49.94,50.37,5752613
2017-03-06,50.6,50.61,50.16,50.24,4245231
2017-03-07,50.1,50.5,50.06,50.4,4507339
2017-03-08,50.04,50.04,49.65,49.77,4324849
2017-03-09,49.9,49.99,49.45,49.5,4246931
2017-03-10,49.77,49.77,49.3,49.63,5128083
2017-03-13,49.59,49.79,49.53,49.73,4403033
2017-03-14,49.69,50.03,49.6,49.88,3294214
2017-03-15,49.94,50.85,49.8,50.63,4398583
2017-03-16,50.45,50.5,50.03,50.19,3785871
2017-03-17,50.42,50.95,50.2,50.67,9719955
2017-03-20,50.7,50.88,50.26,50.38,3839257
2017-03-21,50.31,51.16,50.2,51.01,5945243
2017-03-22,51.07,51.47,50.71,50.73,6175472
2017-03-23,50.63,51.05,50.18,50.37,8531009
2017-03-24,50.37,50.62,50.16,50.42,5248844
2017-03-27,50.55,50.8,50.12,50.3,3680539
2017-03-28,50.18,50.32,49.97,50.09,5733605
2017-03-29,49.82,50.14,49.54,49.95,7637041
