Date,Open,High,Low,Close,Volume
2017-01-03,9.09,9.18,8.82,8.89,9881906
2017-01-04,8.86,9.28,8.86,9.15,6779602
2017-01-05,9.09,9.17,8.92,9.03,7404137
2017-01-06,9.04,9.2,8.98,9.15,6335210
2017-01-09,9.11,9.2,9.06,9.14,4436859
2017-01-10,9.13,9.38,9.13,9.34,5076057
2017-01-11,9.32,9.33,9.08,9.25,4917808
2017-01-12,9.24,9.31,9.16,9.25,4053037
2017-01-13,9.27,9.38,9.12,9.17,3188755
2017-01-17,9.18,9.42,9.15,9.33,8077179
2017-01-18,9.33,9.4,9.22,9.29,5533267
2017-01-19,9.26,9.3,9.0,9.05,3921284
2017-01-20,9.08,9.19,9.03,9.16,4384690
2017-01-23,9.13,9.15,8.97,9.06,4166132
2017-01-24,9.09,9.29,9.03,9.27,5411279
2017-01-25,9.31,9.48,9.3,9.41,6100357
2017-01-26,9.38,9.46,9.26,9.3,4748874
2017-01-27,9.34,9.34,9.1,9.16,2996440
2017-01-30,9.11,9.23,9.04,9.21,4612545
2017-01-31,9.21,9.22,8.92,9.2,5257289
2017-02-01,9.26,9.28,8.98,9.03,5346186
2017-02-02,9.02,9.12,8.93,9.02,4563958
2017-02-03,9.05,9.15,9.0,9.03,4388161
2017-02-06,9.0,9.08,8.92,8.95,4076797
2017-02-07,8.95,9.0,8.87,8.92,4357003
2017-02-08,8.86,9.06,8.86,8.92,7337266
2017-02-09,8.9,9.2,8.87,9.03,5925059
2017-02-10,9.02,9.18,9.0,9.15,3569677
2017-02-13,9.2,9.31,9.16,9.2,4538460
2017-02-14,9.2,9.56,9.2,9.46,7669546
2017-02-15,9.46,9.47,9.35,9.46,4871621
2017-02-16,9.47,9.53,9.22,9.27,4665873
2017-02-17,9.25,9.32,9.15,9.31,6881706
2017-02-21,9.35,9.39,9.28,9.34,4413918
2017-02-22,9.34,9.61,9.3,9.48,8006227
2017-02-23,9.55,9.56,9.06,9.08,6701654
2017-02-24,9.11,9.35,9.02,9.28,5471002
2017-02-27,9.26,9.34,9.2,9.31,4254270
2017-02-28,9.27,9.27,8.82,8.99,9641394
2017-03-01,9.12,9.35,9.02,9.17,9123508
2017-03-02,9.12,9.29,9.1,9.25,5336748
2017-03-03,9.27,9.37,8.91,8.99,5297171
2017-03-06,8.94,8.96,8.75,8.87,6171426
2017-03-07,8.83,8.87,8.74,8.78,4620945
2017-03-08,8.77,9.06,8.76,8.96,7033614
2017-03-09,8.38,9.17,8.35,8.49,17048624
2017-03-10,8.53,9.11,8.53,8.68,16698721
2017-03-13,8.65,8.76,8.5,8.57,6841393
2017-03-14,8.56,8.7,8.44,8.67,5162339
2017-03-15,8.46,8.81,8.46,8.78,5984031
2017-03-16,8.8,8.88,8.66,8.76,6288807
2017-03-17,8.84,9.01,8.75,9.0,12925546
2017-03-20,8.98,9.0,8.76,8.83,5438544
2017-03-21,8.85,8.89,8.6,8.64,7240046
2017-03-22,8.53,8.56,8.42,8.51,4850330
2017-03-23,8.54,8.68,8.48,8.52,4345509
2017-03-24,8.5,8.55,8.41,8.47,5546316
2017-03-27,8.37,8.48,8.3,8.36,5853746
2017-03-28,8.3,8.5,8.3,8.49,4258217
2017-03-29,8.49,8.61,8.48,8.57,4270387
2017-03-30,8.58,8.76,8.52,8.74,6184733
2017-03-31,8.73,8.9,8.71,8.77,5150843
2017-04-03,8.76,8.83,8.59,8.66,3920240
2017-04-04,8.63,10.0,8.62,9.51,31296655
2017-04-05,9.71,10.06,9.61,9.76,21342799
2017-04-06,9.86,10.18,9.76,9.82,13663805
2017-04-07,9.81,9.87,9.66,9.75,8770977
2017-04-10,9.9,9.93,9.69,9.7,10487050
2017-04-11,9.71,9.74,9.61,9.68,4597778
2017-04-12,9.64,9.65,9.42,9.51,8480602
2017-04-13,9.5,9.62,9.5,9.52,5778668
2017-04-17,9.55,9.64,9.51,9.6,5239213
2017-04-18,9.58,9.68,9.52,9.6,4964974
2017-04-19,9.66,9.75,9.6,9.62,4576432
2017-04-20,9.65,9.84,9.62,9.74,3530857
2017-04-21,9.71,9.8,9.59,9.72,4386391
2017-04-24,9.81,9.93,9.72,9.88,4496324
2017-04-25,9.9,9.92,9.73,9.83,4458239
2017-04-26,9.83,9.95,9.82,9.83,3001533
2017-04-27,9.79,9.89,9.65,9.83,3364182
2017-04-28,9.86,9.86,9.68,9.77,3289702
2017-05-01,9.8,9.81,9.63,9.65,3300647
2017-05-02,9.69,10.25,9.61,9.78,7938795
2017-05-03,9.77,9.81,9.58,9.66,4751293
2017-05-04,9.68,9.69,9.54,9.61,5249988
2017-05-05,9.62,9.68,9.56,9.59,4881633
2017-05-08,9.65,9.73,9.62,9.65,3671630
2017-05-09,9.69,9.7,9.57,9.62,3443786
2017-05-10,9.63,9.72,9.51,9.72,3754458
2017-05-11,9.68,9.74,9.4,9.43,4204646
2017-05-12,9.42,9.42,9.23,9.25,3682126
2017-05-15,9.29,9.41,9.18,9.32,6823823
2017-05-16,9.17,9.3,8.81,8.99,9262086
2017-05-17,8.9,9.04,8.78,8.85,6114958
2017-05-18,8.83,8.91,8.73,8.75,4850961
2017-05-19,8.81,8.87,8.69,8.72,8343582
2017-05-22,8.73,8.8,8.71,8.78,5179154
2017-05-23,8.8,8.84,8.61,8.68,4115881
2017-05-24,8.71,8.85,8.67,8.78,5438050
2017-05-25,8.84,9.35,8.78,9.06,9778273
2017-05-26,9.03,9.1,8.96,8.98,4192050
2017-05-30,8.98,9.03,8.91,8.96,2583170
2017-05-31,8.99,9.14,8.82,9.08,8078355
2017-06-01,9.09,9.25,9.03,9.15,4794789
2017-06-02,9.08,9.14,9.0,9.1,4844063
2017-06-05,9.1,9.18,8.99,9.1,3196221
2017-06-06,9.09,9.17,9.01,9.09,3914832
2017-06-07,9.29,9.59,9.0,9.16,7821673
2017-06-08,9.23,9.31,9.19,9.22,3992641
2017-06-09,9.27,9.27,9.11,9.25,4305402
2017-06-12,9.24,9.39,9.2,9.25,5360656
2017-06-13,9.23,9.26,9.11,9.15,3722970
2017-06-14,9.12,9.16,8.92,8.98,5297838
2017-06-15,8.96,9.04,8.95,8.99,5059197
2017-06-16,8.95,8.99,8.75,8.8,8898807
2017-06-19,8.82,8.92,8.72,8.84,6162313
2017-06-20,8.83,8.86,8.72,8.75,5679883
2017-06-21,8.67,8.73,8.55,8.66,6763643
2017-06-22,9.15,9.36,9.05,9.2,15247494
2017-06-23,9.19,9.3,9.08,9.29,7579965
2017-06-26,9.27,9.3,9.15,9.26,5190122
2017-06-27,9.23,9.27,9.15,9.16,3976025
2017-06-28,9.2,9.97,9.16,9.93,19811282
2017-06-29,10.13,10.14,10.08,10.08,141710540
2017-06-30,10.08,10.09,10.06,10.07,45822875
2017-07-03,10.07,10.15,10.07,10.15,13408340
2017-07-05,10.1,10.11,10.07,10.09,16317997
2017-07-06,10.08,10.1,10.07,10.08,24250623
2017-07-07,10.08,10.08,10.07,10.08,16715839
2017-07-10,10.08,10.1,10.07,10.09,12145054
2017-07-11,10.08,10.1,10.07,10.08,15233497
2017-07-12,10.1,10.1,10.08,10.1,10466766
2017-07-13,10.09,10.13,10.09,10.11,9082108
