Date,Open,High,Low,Close,Volume
2017-01-03,75.22,76.24,74.4,75.15,2609426
2017-01-04,75.46,75.66,74.5,74.99,1683879
2017-01-05,74.66,75.38,73.94,74.57,1832555
2017-01-06,74.82,75.48,74.32,74.96,1609218
2017-01-09,75.96,76.96,75.23,75.65,2331287
2017-01-10,75.69,77.52,75.66,77.31,1768561
2017-01-11,77.33,78.72,76.51,78.41,2119898
2017-01-12,76.2,76.91,74.67,76.75,4265199
2017-01-13,76.91,78.49,76.69,78.33,1963387
2017-01-17,77.64,78.43,76.48,76.89,2392146
2017-01-18,77.39,79.27,77.16,79.27,3106093
2017-01-19,78.87,79.45,78.18,78.46,4062382
2017-01-20,85.0,88.9,84.69,88.67,15776664
2017-01-23,88.87,91.07,87.72,90.17,6523246
2017-01-24,90.31,92.74,90.31,92.27,4553330
2017-01-25,93.0,93.78,91.32,91.87,3223492
2017-01-26,92.0,92.64,90.94,91.01,2344718
2017-01-27,91.55,92.44,91.25,92.01,1706221
2017-01-30,91.43,93.08,90.22,92.99,2482193
2017-01-31,92.32,92.48,90.28,91.74,2486505
2017-02-01,93.54,94.49,91.31,91.74,3804797
2017-02-02,90.8,91.54,90.06,91.11,2524583
2017-02-03,91.32,91.91,90.88,91.56,1272523
2017-02-06,91.45,91.58,90.71,91.39,1458764
2017-02-07,91.4,92.2,91.17,91.78,1305566
2017-02-08,91.61,92.34,90.94,91.69,1861650
2017-02-09,92.07,93.13,91.24,92.47,2753403
2017-02-10,92.73,92.75,91.41,92.21,1947332
2017-02-13,92.69,93.3,92.27,92.63,1290117
2017-02-14,92.32,92.48,90.53,91.8,1610538
2017-02-15,92.02,92.61,91.25,92.13,1562561
2017-02-16,92.34,92.56,91.6,92.43,1287095
2017-02-17,92.24,96.67,91.92,96.35,5406554
2017-02-21,96.63,97.51,95.7,96.57,2578203
2017-02-22,96.49,97.17,96.04,96.71,1397948
2017-02-23,96.86,96.94,94.3,95.31,1640306
2017-02-24,94.24,95.0,93.02,94.7,1448447
2017-02-27,94.54,95.68,93.85,95.63,1243010
2017-02-28,95.61,95.85,94.0,94.81,1722652
2017-03-01,95.97,97.15,94.37,96.74,2322497
2017-03-02,96.98,97.57,94.71,94.76,2348763
2017-03-03,95.03,95.32,94.16,94.92,1505851
2017-03-06,94.21,95.71,93.42,95.45,3186353
2017-03-07,95.22,95.49,94.21,95.05,1545443
2017-03-08,96.36,96.91,95.39,96.69,4069504
2017-03-09,96.21,97.67,95.06,97.14,2826163
2017-03-10,97.74,98.7,97.5,98.18,2259550
2017-03-13,98.48,99.34,98.06,99.04,2399531
2017-03-14,98.74,98.94,97.95,98.79,1214414
2017-03-15,98.71,99.38,98.12,99.11,1528958
2017-03-16,99.22,99.22,98.0,98.11,1796943
2017-03-17,98.51,98.61,97.51,97.93,2423569
2017-03-20,97.95,98.81,97.15,98.19,1290754
2017-03-21,98.37,98.64,95.34,95.52,1804767
