Date,Open,High,Low,Close,Volume
2017-01-03,36.75,37.17,36.59,37.06,6058653
2017-01-04,37.3,38.06,37.14,37.93,6040128
2017-01-05,37.66,37.74,36.4,36.91,6850843
2017-01-06,37.09,37.48,36.88,37.13,5110239
2017-01-09,36.91,37.08,36.52,36.9,3955523
2017-01-10,37.03,37.49,36.72,36.96,5033296
2017-01-11,36.81,36.81,35.66,36.36,11639127
2017-01-12,36.16,36.2,35.6,36.13,6484263
2017-01-13,36.34,36.83,36.06,36.32,4401247
2017-01-17,36.1,36.23,35.37,35.51,4701335
2017-01-18,35.79,35.92,35.17,35.9,3943596
2017-01-19,35.96,36.14,35.56,35.61,6150013
2017-01-20,35.98,36.85,35.85,36.24,8954517
2017-01-23,36.03,36.49,35.61,35.77,6846600
2017-01-24,35.97,36.37,35.88,36.08,4117791
2017-01-25,36.39,36.5,35.75,35.91,6387239
2017-01-26,36.02,36.7,35.88,36.69,7572173
2017-01-27,36.69,36.79,36.35,36.63,5956661
2017-01-30,36.45,36.53,36.0,36.47,4665115
2017-01-31,36.3,36.54,35.56,35.82,5993091
2017-02-01,36.06,36.58,35.88,36.0,5257973
2017-02-02,35.64,35.81,35.19,35.34,5637092
2017-02-03,35.95,36.74,35.65,36.51,7493442
2017-02-06,36.25,36.55,36.16,36.45,4385608
2017-02-07,36.64,36.78,35.96,36.05,5583418
2017-02-08,35.88,35.88,35.38,35.77,4228879
2017-02-09,35.83,36.6,35.68,36.49,4838572
2017-02-10,36.73,36.8,36.15,36.22,5527093
2017-02-13,36.43,36.79,36.32,36.65,7151666
2017-02-14,36.63,37.4,36.54,37.32,4626192
2017-02-15,37.33,37.75,37.17,37.28,4296926
2017-02-16,37.19,37.29,36.55,36.85,3616544
2017-02-17,36.58,36.76,36.06,36.68,5916970
2017-02-21,37.11,37.34,36.86,36.86,3842853
2017-02-22,36.59,37.03,36.54,36.78,2659873
2017-02-23,36.86,36.92,36.28,36.63,3122337
2017-02-24,36.25,36.48,36.11,36.48,4575047
2017-02-27,36.5,36.96,35.95,36.94,4196150
2017-02-28,36.77,36.85,35.75,36.24,7566944
2017-03-01,37.18,37.42,36.71,36.89,5994455
2017-03-02,36.88,36.98,35.92,35.97,6618947
2017-03-03,35.9,36.17,35.69,36.05,5091931
2017-03-06,35.8,35.81,35.32,35.58,5115870
2017-03-07,35.57,35.94,35.36,35.6,4149434
2017-03-08,35.9,36.1,35.64,35.71,3679850
2017-03-09,35.92,36.15,35.68,35.85,3208046
2017-03-10,36.08,36.2,35.78,36.01,4307316
2017-03-13,35.99,36.17,35.72,36.03,3894115
2017-03-14,35.75,35.98,35.64,35.92,3580011
2017-03-15,36.03,36.18,35.68,35.8,6428659
2017-03-16,36.01,36.08,35.7,35.83,4818372
2017-03-17,35.73,35.73,34.86,35.12,10581403
2017-03-20,35.08,35.2,34.19,34.2,9393672
2017-03-21,34.39,34.5,32.94,33.02,11892966
2017-03-22,32.9,33.53,32.48,33.08,8907135
2017-03-23,33.07,33.82,32.93,33.43,6455728
2017-03-24,33.56,33.69,33.03,33.31,4682455
2017-03-27,32.59,32.97,32.24,32.74,8790087
2017-03-28,32.81,33.9,32.6,33.66,6438023
2017-03-29,33.64,33.93,33.55,33.78,4487143
2017-03-30,33.82,34.58,33.78,34.43,5122565
2017-03-31,34.27,34.53,34.12,34.3,5031422
2017-04-03,34.45,34.54,33.28,33.76,6171290
2017-04-04,33.58,33.91,33.58,33.73,2555999
2017-04-05,34.24,34.36,33.14,33.26,5021029
2017-04-06,33.23,33.59,32.94,33.23,10510542
2017-04-07,32.96,33.42,32.87,33.16,3734693
2017-04-10,33.19,33.46,32.82,32.87,6846201
2017-04-11,32.55,33.12,32.25,33.05,6759719
2017-04-12,32.82,33.23,32.71,32.81,4596058
2017-04-13,32.67,32.99,32.37,32.37,5266471
2017-04-17,32.41,33.04,32.28,33.02,4183891
2017-04-18,32.81,33.06,32.56,32.85,4971693
2017-04-19,33.06,33.23,32.87,33.0,3358561
2017-04-20,33.32,34.01,33.27,33.85,5408973
2017-04-21,33.78,33.88,33.26,33.38,4729675
2017-04-24,34.3,34.35,33.68,33.9,4231785
2017-04-25,34.19,34.33,33.63,33.82,6164910
2017-04-26,33.73,33.8,32.65,33.23,11545874
2017-04-27,33.44,33.44,33.0,33.05,7140648
2017-04-28,27.5,29.08,27.24,27.8,46376187
2017-05-01,27.98,28.62,27.2,27.94,22971811
2017-05-02,27.96,28.93,27.68,28.87,25490551
2017-05-03,28.62,29.18,28.52,28.77,14287674
2017-05-04,28.79,28.98,28.54,28.67,9812918
2017-05-05,28.84,29.25,28.42,28.61,10945333
2017-05-08,28.58,28.7,28.35,28.38,8054572
2017-05-09,28.44,28.53,28.02,28.1,8665684
2017-05-10,28.01,28.12,27.68,27.76,11018236
2017-05-11,27.67,27.68,26.6,26.93,14155025
