Date,Open,High,Low,Close,Volume
2017-01-03,97.89,98.59,97.22,97.88,1105063
2017-01-04,98.43,99.52,98.22,99.41,1213369
2017-01-05,99.48,100.28,99.01,99.68,2072718
2017-01-06,99.67,100.21,99.32,99.79,880151
2017-01-09,99.68,99.68,97.93,98.28,1347704
2017-01-10,98.33,98.71,95.88,96.41,2558125
2017-01-11,96.49,96.95,95.61,95.67,1591202
2017-01-12,95.39,95.72,94.85,95.43,2101483
2017-01-13,96.12,97.79,95.87,97.62,1608380
2017-01-17,97.53,98.84,97.53,97.91,1339402
2017-01-18,98.0,99.22,97.93,98.2,1138538
2017-01-19,97.99,98.47,97.42,97.54,993586
2017-01-20,97.96,98.14,97.14,97.62,908163
2017-01-23,97.06,97.63,95.84,96.19,1698117
2017-01-24,96.19,97.27,94.5,96.88,2209321
2017-01-25,97.3,97.85,96.69,96.99,2238881
2017-01-26,97.09,97.44,95.93,96.04,1304976
2017-01-27,95.99,96.46,95.18,95.35,1017448
2017-01-30,95.51,95.54,94.42,95.47,1179788
2017-01-31,95.24,96.68,94.91,96.52,1299295
2017-02-01,96.35,96.98,95.66,96.42,1300455
2017-02-02,96.88,97.21,95.89,95.95,1094598
2017-02-03,96.62,97.67,96.13,97.0,1519722
2017-02-06,97.13,97.13,96.21,96.48,1904311
2017-02-07,96.4,96.62,94.51,94.89,3250780
2017-02-08,94.91,96.72,94.65,95.62,2693851
2017-02-09,95.71,96.92,95.34,96.67,1655168
2017-02-10,96.67,96.94,95.87,95.95,1562382
2017-02-13,96.39,96.56,95.67,96.21,1653209
2017-02-14,97.17,100.1,94.12,99.5,4140293
2017-02-15,99.0,99.35,98.32,99.03,2634823
2017-02-16,98.81,100.33,98.52,99.8,1864863
2017-02-17,99.92,102.14,99.63,101.59,2856531
2017-02-21,101.14,101.91,100.29,100.53,2355679
2017-02-22,100.15,100.81,99.76,100.22,1062457
2017-02-23,100.0,101.18,99.86,100.05,1036330
2017-02-24,99.8,101.17,98.92,101.02,1729522
2017-02-27,100.7,100.85,99.32,99.52,1634084
2017-02-28,99.79,100.7,99.05,100.39,1657121
2017-03-01,100.47,100.89,99.61,99.66,1325826
2017-03-02,98.97,99.54,98.41,98.49,1430743
2017-03-03,98.35,99.86,98.26,99.85,1912114
2017-03-06,99.5,99.65,98.15,98.23,987212
2017-03-07,98.23,98.37,96.78,96.99,1546043
2017-03-08,96.76,97.18,96.25,96.77,1952768
2017-03-09,96.63,97.13,96.22,96.79,1298885
2017-03-10,97.37,97.5,96.47,97.1,854361
2017-03-13,96.82,97.55,96.65,97.49,1494259
2017-03-14,97.55,98.12,97.0,97.11,735826
2017-03-15,97.14,98.33,97.0,97.9,981482
2017-03-16,97.98,98.49,97.63,98.23,980333
2017-03-17,98.75,99.37,97.02,98.38,1612338
2017-03-20,98.6,98.87,97.98,98.64,1303656
2017-03-21,98.75,99.65,97.98,98.03,1820668
2017-03-22,98.25,98.45,97.36,97.51,887145
2017-03-23,97.09,97.92,97.06,97.25,872850
2017-03-24,97.29,97.73,96.74,97.02,586677
2017-03-27,96.59,96.98,96.14,96.46,1032123
2017-03-28,96.25,96.57,95.49,96.3,1392545
2017-03-29,96.17,96.74,95.74,96.66,1115744
2017-03-30,96.21,96.56,95.5,95.57,1307644
2017-03-31,95.35,96.18,95.2,95.71,1453659
2017-04-03,95.98,96.27,95.18,95.46,1328255
2017-04-04,95.28,95.75,94.6,95.59,1538493
2017-04-05,95.46,96.24,95.11,95.46,1446521
2017-04-06,95.62,97.0,95.6,96.0,1449565
2017-04-07,95.86,96.23,95.18,95.37,995676
2017-04-10,95.26,96.1,95.06,95.89,827382
2017-04-11,95.77,95.77,94.71,95.58,1092248
2017-04-12,95.53,95.72,95.17,95.56,835178
2017-04-13,95.5,95.61,94.56,94.56,855934
2017-04-17,94.78,95.18,94.47,95.13,676050
2017-04-18,94.98,96.6,94.72,96.32,1176139
2017-04-19,96.32,96.62,95.76,96.16,1473911
2017-04-20,95.48,95.59,94.6,95.05,1607301
2017-04-21,94.98,95.2,94.58,94.86,1807561
2017-04-24,95.62,96.41,95.49,96.04,1185048
2017-04-25,96.34,96.97,96.32,96.52,1215874
2017-04-26,96.43,96.77,95.79,95.83,972039
2017-04-27,96.2,96.65,95.56,95.78,1319759
2017-04-28,95.76,96.05,95.17,95.89,958499
2017-05-01,95.94,96.45,95.23,95.26,926029
2017-05-02,95.22,95.7,94.48,95.36,1962423
2017-05-03,92.02,93.04,89.27,90.89,8211217
2017-05-04,90.73,93.35,90.39,91.73,3582399
2017-05-05,92.31,93.22,92.16,93.12,1983109
2017-05-08,93.43,94.0,93.1,93.93,2386852
2017-05-09,93.68,93.88,92.59,92.8,1274377
2017-05-10,92.67,92.87,92.24,92.82,933256
2017-05-11,92.58,93.51,92.5,93.49,1116419
2017-05-12,93.46,93.99,93.03,93.74,1307387
2017-05-15,93.5,94.28,93.5,94.08,960345
2017-05-16,94.05,94.6,93.96,94.07,968034
2017-05-17,93.71,94.5,92.81,93.03,1443131
2017-05-18,92.85,92.86,92.3,92.52,1656162
2017-05-19,92.87,94.22,92.54,94.13,1968849
2017-05-22,94.61,95.5,94.29,95.17,2202431
2017-05-23,95.31,95.52,94.31,94.85,2302385
2017-05-24,94.69,94.9,94.01,94.44,1376901
2017-05-25,94.96,95.19,94.45,94.66,1543504
2017-05-26,94.08,96.05,93.81,95.78,1733984
2017-05-30,95.41,95.8,94.78,95.28,1608991
2017-05-31,95.5,96.29,94.54,94.79,2960851
