Date,Open,High,Low,Close,Volume
2017-01-03,251.35,254.07,248.66,250.54,750329
2017-01-04,251.61,252.19,248.94,252.05,579424
2017-01-05,252.22,252.69,249.79,251.73,676570
2017-01-06,251.99,257.38,251.11,256.11,427771
2017-01-09,256.01,256.38,253.01,255.33,461718
2017-01-10,255.42,256.16,253.27,253.27,458497
2017-01-11,253.27,255.44,251.87,252.38,421724
2017-01-12,252.53,255.27,250.23,253.61,469889
2017-01-13,253.6,253.61,249.79,252.24,623906
2017-01-17,251.49,251.72,247.32,249.7,774722
2017-01-18,250.24,253.44,250.09,250.89,623085
2017-01-19,250.0,252.55,248.18,251.76,506225
2017-01-20,250.0,250.85,218.6,226.9,8692294
2017-01-23,230.0,230.36,217.35,223.8,3504962
2017-01-24,224.68,227.46,223.79,225.21,3051932
2017-01-25,225.87,227.0,221.45,221.67,1256804
2017-01-26,222.15,223.0,218.94,219.9,1566307
2017-01-27,221.75,222.42,218.28,219.0,1287101
2017-01-30,219.0,219.25,214.65,216.61,1187312
2017-01-31,216.97,219.53,215.01,216.4,1673610
2017-02-01,217.13,220.04,216.31,219.68,2135363
2017-02-02,219.41,221.86,217.01,221.77,1631893
2017-02-03,222.0,226.28,222.0,225.16,966856
2017-02-06,225.94,231.65,224.1,230.94,2076763
2017-02-07,238.98,246.16,238.2,245.88,3035139
2017-02-08,246.31,248.79,244.29,247.43,1505061
2017-02-09,248.38,253.47,247.47,251.61,968359
2017-02-10,251.48,254.16,250.4,253.12,971193
2017-02-13,253.73,254.79,251.18,252.21,1140357
2017-02-14,251.05,252.72,249.3,250.2,1201849
2017-02-15,249.64,251.8,249.56,251.01,779676
2017-02-16,250.74,252.53,249.59,252.45,586927
2017-02-17,251.57,251.57,249.07,249.74,907430
2017-02-21,249.31,254.74,248.95,254.6,894654
2017-02-22,255.14,257.07,253.54,255.46,656920
2017-02-23,255.47,256.43,252.18,254.62,757216
2017-02-24,253.22,254.12,250.28,250.99,729878
2017-02-27,250.37,255.07,248.63,253.29,909249
2017-02-28,253.05,255.57,251.19,254.2,699563
2017-03-01,254.36,259.57,253.56,253.67,924229
2017-03-02,253.47,253.71,248.02,248.61,593713
2017-03-03,247.69,249.98,246.36,248.85,559476
2017-03-06,247.62,248.44,245.13,247.19,597316
2017-03-07,247.61,248.34,233.75,242.56,2456321
2017-03-08,241.41,243.86,239.51,240.93,962369
2017-03-09,240.81,242.43,235.06,241.63,3042735
2017-03-10,239.53,240.83,229.77,231.37,3391310
2017-03-13,230.89,234.86,229.22,234.75,1841057
2017-03-14,235.73,235.73,230.2,231.72,1878971
2017-03-15,231.78,232.92,228.53,231.76,951651
2017-03-16,238.86,241.05,235.45,237.16,1478286
2017-03-17,237.25,243.1,234.45,240.05,1494900
2017-03-20,240.5,241.01,237.79,237.94,868830
2017-03-21,238.97,239.45,214.99,224.79,4355484
2017-03-22,220.4,221.3,213.87,214.85,2528392
2017-03-23,214.85,216.88,211.33,211.53,2156658
2017-03-24,211.21,213.18,203.72,210.04,1976919
2017-03-27,207.44,214.68,207.44,214.54,1488699
2017-03-28,213.81,217.84,211.02,217.56,1365190
2017-03-29,216.51,219.18,214.93,218.93,1122443
2017-03-30,218.94,223.11,218.75,220.03,1199887
2017-03-31,220.81,221.47,219.34,220.16,927291
2017-04-03,219.2,221.28,217.41,218.76,762706
2017-04-04,219.0,224.72,219.0,223.42,911416
2017-04-05,223.42,226.77,223.42,224.44,1121714
2017-04-06,224.76,227.9,224.38,226.46,832135
2017-04-07,228.0,229.39,224.29,228.71,1156615
2017-04-10,228.13,233.81,228.13,233.0,830353
2017-04-11,232.21,236.94,230.92,236.48,760596
2017-04-12,237.05,237.12,233.78,235.65,1125797
2017-04-13,234.09,236.57,233.01,233.76,769395
2017-04-17,234.56,239.41,234.12,239.23,574735
2017-04-18,238.97,240.54,229.59,236.46,1866840
2017-04-19,236.45,238.67,235.92,237.41,487556
2017-04-20,238.02,240.19,236.69,239.95,485900
2017-04-21,240.47,241.95,239.7,240.21,553784
2017-04-24,243.28,249.19,241.36,248.33,846655
2017-04-25,248.41,249.91,245.99,248.17,437761
2017-04-26,248.18,251.52,247.36,250.73,736397
2017-04-27,250.78,252.12,249.01,250.89,397139
2017-04-28,250.74,250.74,246.6,246.73,1000037
2017-05-01,247.44,250.71,246.05,249.88,490588
2017-05-02,249.9,251.02,248.76,250.84,644305
2017-05-03,250.33,250.33,245.8,247.62,1035802
2017-05-04,247.32,250.18,247.32,250.04,609260
2017-05-05,250.0,255.53,249.64,254.98,664731
2017-05-08,254.47,255.55,250.74,255.03,1042424
2017-05-09,245.48,247.5,238.32,242.42,1725315
2017-05-10,242.43,245.41,239.73,244.94,877031
2017-05-11,245.55,245.55,241.2,243.15,630339
2017-05-12,242.84,243.64,240.24,243.3,777851
2017-05-15,242.92,248.58,242.92,248.44,695018
2017-05-16,248.79,250.61,247.15,248.96,856847
2017-05-17,246.47,247.08,242.02,242.81,764929
2017-05-18,241.86,248.24,237.54,247.8,1356318
2017-05-19,249.46,258.93,247.87,255.56,2130637
2017-05-22,257.03,258.04,251.79,257.4,1749980
2017-05-23,258.61,263.86,256.97,263.28,1021968
2017-05-24,263.28,265.9,262.22,265.44,851191
2017-05-25,266.33,268.34,264.49,267.03,469207
2017-05-26,267.06,267.83,262.74,264.41,427927
2017-05-30,264.08,266.6,263.03,266.39,592977
2017-05-31,267.23,268.26,264.13,268.08,660447
2017-06-01,267.71,271.66,267.32,269.14,693319
2017-06-02,269.53,272.08,268.26,271.67,546524
2017-06-05,271.91,272.17,269.61,270.59,333745
2017-06-06,269.64,272.3,268.55,270.17,439255
2017-06-07,270.09,271.86,267.77,270.04,404499
2017-06-08,270.23,273.71,268.72,273.25,419576
2017-06-09,274.26,274.99,267.24,269.93,486555
2017-06-12,269.12,270.39,250.18,262.78,1422779
2017-06-13,262.2,269.92,262.05,269.29,537165
2017-06-14,270.0,273.69,268.94,270.59,463482
2017-06-15,268.16,272.45,267.44,271.32,445492
2017-06-16,270.89,272.29,269.69,270.26,593894
2017-06-19,271.42,272.97,269.74,271.12,440902
2017-06-20,269.41,270.66,265.86,266.0,633445
2017-06-21,267.18,270.89,265.66,267.95,443089
2017-06-22,267.98,269.79,266.96,267.5,371191
2017-06-23,267.61,270.34,266.24,268.12,588764
2017-06-26,268.5,273.24,268.04,268.25,623616
