Date,Open,High,Low,Close,Volume
2017-01-03,77.89,78.36,77.16,77.79,1132876
2017-01-04,78.18,79.69,78.0,79.26,1301216
2017-01-05,78.16,78.44,76.11,76.81,2211775
2017-01-06,76.82,77.22,76.08,77.16,1412819
2017-01-09,77.09,77.13,76.48,76.84,1569020
2017-01-10,76.72,77.48,76.48,77.14,1145480
2017-01-11,76.82,77.95,76.4,77.74,1330517
2017-01-12,78.04,81.51,78.04,80.55,3533847
2017-01-13,81.93,83.28,81.23,81.92,2879236
2017-01-17,78.86,81.3,78.57,79.9,5101381
2017-01-18,78.84,80.33,77.93,79.94,2847875
2017-01-19,79.76,80.06,78.4,79.03,2101697
2017-01-20,79.16,79.82,78.57,79.42,1059911
2017-01-23,78.97,79.27,78.6,78.74,2542400
2017-01-24,79.09,79.56,78.4,79.31,1229397
2017-01-25,79.98,80.6,79.83,80.34,698484
2017-01-26,80.36,80.75,79.88,79.91,591614
2017-01-27,80.05,80.2,78.82,79.17,1127605
2017-01-30,78.71,78.73,77.65,78.05,2410496
2017-01-31,77.56,79.01,77.15,78.72,1761502
2017-02-01,78.69,78.79,77.69,78.0,2073486
2017-02-02,77.84,78.61,77.52,78.18,1571983
2017-02-03,78.69,81.19,78.64,80.47,2431977
2017-02-06,78.08,79.48,77.66,78.49,3800565
2017-02-07,78.27,78.32,77.74,78.28,1313454
2017-02-08,78.23,79.24,77.93,79.04,998123
2017-02-09,79.18,80.64,79.18,80.43,1017207
2017-02-10,80.57,81.68,80.48,81.37,1180272
2017-02-13,81.57,82.12,81.08,81.63,1384456
2017-02-14,81.23,83.24,81.23,82.96,1284535
2017-02-15,82.96,83.49,82.78,83.23,1380439
2017-02-16,83.5,83.88,82.62,83.01,1668834
2017-02-17,83.07,86.38,83.02,86.18,2755002
2017-02-21,86.33,89.45,86.19,88.41,2776279
2017-02-22,88.04,88.86,87.25,88.3,1284334
2017-02-23,88.83,90.94,88.63,90.23,3726688
2017-02-24,90.01,92.63,89.91,91.73,3152248
2017-02-27,91.78,92.38,91.41,91.97,1550596
2017-02-28,91.41,92.3,90.84,91.87,1496125
2017-03-01,92.65,92.74,91.27,91.52,1996285
2017-03-02,90.72,91.25,89.19,90.09,4801815
2017-03-03,90.07,90.66,89.78,90.32,2483063
2017-03-06,89.95,90.17,89.35,89.91,2169145
2017-03-07,89.25,89.66,88.63,88.76,1609277
2017-03-08,88.99,89.31,88.54,89.12,2735672
2017-03-09,88.05,88.83,88.0,88.47,2162293
2017-03-10,89.12,89.31,88.39,88.71,2190291
2017-03-13,88.72,88.93,88.29,88.86,1970423
2017-03-14,88.71,89.77,88.3,89.13,2163389
2017-03-15,89.41,90.54,89.19,90.47,2003475
2017-03-16,89.8,90.61,89.76,89.98,2270875
