Date,Open,High,Low,Close,Volume
2017-01-03,36.67,36.78,35.7,35.95,1862978
2017-01-04,36.03,36.58,35.74,36.31,1815411
2017-01-05,36.13,36.49,35.6,36.43,2907433
2017-01-06,36.09,36.59,35.97,36.43,1415421
2017-01-09,36.49,36.61,36.04,36.05,1370327
2017-01-10,35.94,36.02,35.72,35.73,889553
2017-01-11,35.7,35.8,35.45,35.52,1383381
2017-01-12,35.55,35.96,35.22,35.93,1296309
2017-01-13,35.8,35.98,35.62,35.63,788934
2017-01-17,35.7,36.03,35.68,35.93,1268550
2017-01-18,35.98,36.29,35.83,36.07,813423
2017-01-19,35.9,36.03,35.61,35.71,1061835
2017-01-20,35.96,36.2,35.78,36.07,1513894
2017-01-23,36.06,36.13,35.81,36.05,1607899
2017-01-24,36.08,36.31,35.68,35.82,1647208
2017-01-25,35.78,35.89,35.24,35.26,1615609
2017-01-26,35.39,35.47,34.99,35.01,1951585
2017-01-27,35.21,35.23,34.68,34.92,1825545
2017-01-30,35.61,35.61,34.58,34.65,2128552
2017-01-31,34.83,35.74,34.83,34.95,3500275
2017-02-01,34.83,35.02,34.44,34.48,2430261
2017-02-02,34.48,35.06,34.48,34.97,2999677
2017-02-03,35.2,35.23,34.51,34.66,2388273
2017-02-06,34.63,34.86,34.41,34.76,1114867
2017-02-07,34.89,35.04,34.65,34.92,1403897
2017-02-08,34.93,35.71,34.83,35.71,2734228
2017-02-09,35.66,35.71,35.36,35.4,1062859
2017-02-10,35.28,35.75,35.18,35.7,766087
2017-02-13,35.72,35.72,34.82,35.31,1718899
2017-02-14,35.26,35.41,34.78,35.36,1212827
2017-02-15,35.21,35.4,34.76,35.26,1160198
2017-02-16,35.11,35.54,35.08,35.47,1164161
2017-02-17,35.63,35.71,35.28,35.59,1183450
2017-02-21,35.44,36.04,35.39,35.95,920765
2017-02-22,36.06,36.12,35.44,35.68,1087597
2017-02-23,35.82,36.27,35.76,36.19,1367501
2017-02-24,36.16,36.24,35.94,36.2,765929
2017-02-27,36.28,36.57,36.22,36.36,796133
2017-02-28,36.38,36.58,36.14,36.5,1577950
2017-03-01,36.21,36.64,36.0,36.44,1500333
2017-03-02,36.43,36.57,36.2,36.38,1286443
2017-03-03,36.22,36.22,35.45,35.9,1751530
2017-03-06,35.77,36.19,35.69,36.14,1189592
2017-03-07,36.1,36.23,35.81,36.23,1080856
2017-03-08,36.36,36.4,35.84,35.92,1328206
2017-03-09,35.95,36.1,35.16,35.17,1601974
2017-03-10,35.51,35.93,34.73,34.89,1416631
2017-03-13,35.01,35.28,34.93,35.14,1203122
2017-03-14,35.24,35.24,34.96,35.09,1043800
2017-03-15,35.19,36.23,34.98,36.07,1347367
2017-03-16,35.92,36.34,35.9,36.07,1505827
2017-03-17,36.07,36.33,35.95,36.17,1996048
2017-03-20,36.2,36.28,36.0,36.1,995497
2017-03-21,36.17,36.32,36.09,36.17,1139361
2017-03-22,36.34,36.34,35.82,36.11,1962763
2017-03-23,36.04,36.62,35.94,36.39,1314107
2017-03-24,36.52,36.72,36.36,36.41,981339
2017-03-27,36.32,36.49,35.82,36.08,1414232
2017-03-28,36.03,36.31,35.63,36.26,1265094
2017-03-29,36.18,36.23,35.81,36.1,1410969
2017-03-30,36.02,36.2,35.68,36.15,950197
2017-03-31,36.11,36.38,36.03,36.26,1425808
2017-04-03,36.26,36.38,35.85,36.05,890762
2017-04-04,36.0,36.59,35.9,36.19,874854
2017-04-05,36.17,36.26,35.65,36.14,1205785
2017-04-06,35.75,36.14,35.63,36.04,919056
2017-04-07,36.1,36.26,35.98,36.15,952315
2017-04-10,36.12,36.43,36.01,36.36,808637
2017-04-11,36.35,36.62,36.24,36.52,917130
2017-04-12,36.5,36.62,36.18,36.2,1315570
2017-04-13,36.2,36.3,35.99,36.03,1029510
2017-04-17,36.19,36.66,36.09,36.66,1263560
2017-04-18,36.62,36.9,36.53,36.75,824376
2017-04-19,36.72,36.81,36.46,36.52,918001
2017-04-20,36.47,36.48,36.08,36.26,1146939
2017-04-21,36.19,36.39,36.05,36.21,891535
2017-04-24,36.46,36.51,35.43,35.97,1636345
