Date,Open,High,Low,Close,Volume
2017-01-03,44.71,44.86,43.68,44.28,1799637
2017-01-04,44.37,45.02,44.27,44.92,1626226
2017-01-05,44.53,44.9,43.95,44.46,1220550
2017-01-06,44.71,45.15,44.48,44.88,1232398
2017-01-09,44.25,44.89,44.25,44.39,843651
2017-01-10,44.47,44.91,44.22,44.6,901805
2017-01-11,44.5,44.99,44.38,44.83,1084671
2017-01-12,43.69,44.68,43.69,44.59,1494100
2017-01-13,44.96,45.47,44.77,44.79,1088540
2017-01-17,44.21,44.45,43.58,43.91,1304137
2017-01-18,44.26,44.66,43.75,44.49,1465696
2017-01-19,44.6,44.78,43.94,44.43,989415
2017-01-20,44.79,45.3,44.59,45.02,1456590
2017-01-23,44.8,45.23,44.53,44.83,921675
2017-01-24,45.15,45.5,45.03,45.24,845221
2017-01-25,45.64,46.1,45.56,46.01,863453
2017-01-26,46.06,46.28,45.8,46.19,1270463
2017-01-27,46.11,46.11,45.65,45.95,813810
2017-01-30,45.79,45.79,45.1,45.63,1023863
2017-01-31,45.52,46.07,44.93,45.43,1518002
2017-02-01,45.92,46.13,45.4,45.77,1474414
2017-02-02,46.31,46.79,44.82,45.89,1535258
2017-02-03,46.81,47.24,46.53,46.86,1103219
2017-02-06,46.46,47.28,46.33,46.98,1064998
2017-02-07,47.32,47.42,46.92,47.04,957988
2017-02-08,46.63,46.85,46.44,46.82,1123405
2017-02-09,47.11,47.74,46.96,47.42,1146885
2017-02-10,47.64,47.75,47.39,47.39,1361892
2017-02-13,47.77,48.47,47.52,48.21,1309311
2017-02-14,48.15,48.7,48.09,48.5,1249442
2017-02-15,48.59,49.16,48.46,49.14,1445876
2017-02-16,49.05,49.36,48.84,49.1,1231358
2017-02-17,48.78,48.78,48.17,48.51,1898715
2017-02-21,49.0,49.2,48.49,48.56,1924256
2017-02-22,48.19,48.52,48.15,48.31,1975645
2017-02-23,48.44,48.72,47.93,48.65,1504635
2017-02-24,47.77,48.48,47.77,48.48,1431443
2017-02-27,48.48,48.96,48.33,48.8,828649
2017-02-28,48.34,49.16,48.23,48.83,2166902
2017-03-01,49.91,50.27,49.62,49.86,1902913
2017-03-02,49.94,49.94,48.6,48.63,998074
2017-03-03,48.68,49.12,48.53,49.05,1044847
2017-03-06,48.41,49.01,48.27,48.87,1046246
2017-03-07,48.8,49.01,48.4,48.71,1163568
2017-03-08,49.15,49.34,48.7,48.77,1576899
2017-03-09,48.89,49.21,48.63,48.82,985210
2017-03-10,49.02,49.22,48.39,48.81,1221521
2017-03-13,48.38,48.71,48.05,48.53,1300958
2017-03-14,48.31,48.48,47.9,48.41,1219901
2017-03-15,48.46,48.59,47.76,48.17,1634778
2017-03-16,48.38,48.52,48.02,48.32,1029166
2017-03-17,48.33,48.34,47.59,47.77,2065150
2017-03-20,47.57,48.09,47.36,47.79,983052
2017-03-21,48.14,48.16,45.85,45.94,1674128
2017-03-22,45.6,46.11,45.0,45.82,1273502
2017-03-23,45.76,46.63,45.49,46.07,1382080
2017-03-24,46.27,46.4,45.52,45.79,912888
2017-03-27,44.71,45.53,44.51,45.43,1054632
2017-03-28,45.22,46.4,45.22,46.14,1139165
2017-03-29,46.05,46.3,45.78,46.06,1821965
2017-03-30,46.08,46.95,46.07,46.82,1021907
2017-03-31,46.55,47.15,46.48,46.89,1563698
2017-04-03,47.04,47.13,45.91,46.6,903391
2017-04-04,46.42,46.66,46.28,46.48,765024
2017-04-05,47.0,47.08,45.95,46.06,862752
2017-04-06,45.94,46.7,45.66,46.52,844986
2017-04-07,46.07,46.63,45.89,46.36,788414
2017-04-10,46.26,46.61,45.9,46.27,1255728
2017-04-11,46.02,46.3,45.49,46.15,888862
2017-04-12,46.19,46.26,45.1,45.21,1289501
2017-04-13,44.91,45.51,44.64,44.66,915538
2017-04-17,44.9,45.55,44.65,45.52,1101650
2017-04-18,45.07,45.39,44.61,44.96,1506078
2017-04-19,45.41,45.64,44.91,45.04,976467
2017-04-20,45.33,45.98,45.14,45.76,1051859
2017-04-21,45.65,45.84,45.4,45.52,1334406
2017-04-24,46.7,46.94,46.34,46.77,1712721
2017-04-25,47.28,47.33,46.74,47.14,1470912
2017-04-26,46.93,47.14,46.66,46.93,1633066
2017-04-27,47.4,47.56,46.42,46.85,2116345
2017-04-28,46.41,46.99,46.31,46.33,1217137
2017-05-01,46.57,46.75,46.08,46.61,1369426
2017-05-02,46.62,46.73,46.15,46.43,1536219
2017-05-03,46.18,46.6,46.09,46.52,1154906
2017-05-04,47.0,47.26,46.54,46.67,1302564
2017-05-05,46.71,46.74,46.23,46.58,677384
2017-05-08,46.68,46.82,46.49,46.76,1041303
2017-05-09,46.84,47.06,46.24,46.39,1218869
2017-05-10,46.19,46.54,46.09,46.38,883435
2017-05-11,46.22,46.36,45.67,46.2,874608
2017-05-12,45.81,46.06,45.59,45.78,1035694
2017-05-15,45.95,46.42,45.95,46.31,1115510
2017-05-16,46.41,46.67,46.26,46.57,1081836
2017-05-17,45.45,45.87,44.71,44.91,1767236
2017-05-18,44.85,45.74,44.7,45.26,1373689
2017-05-19,45.31,45.76,45.1,45.49,1067844
2017-05-22,45.72,45.77,45.15,45.34,1101305
2017-05-23,45.36,45.92,45.13,45.7,954478
2017-05-24,45.89,45.89,45.21,45.39,894080
2017-05-25,45.59,45.81,45.35,45.4,1273188
2017-05-26,45.16,45.28,44.97,45.05,1668026
2017-05-30,44.85,45.19,44.76,45.01,1406637
2017-05-31,45.08,45.08,44.42,44.98,1717346
2017-06-01,45.27,45.77,44.97,45.6,1815664
2017-06-02,45.23,45.46,44.91,45.22,1150156
2017-06-05,45.24,45.29,44.72,44.79,1243800
2017-06-06,44.35,44.5,43.57,43.8,1542953
2017-06-07,43.85,44.3,43.55,44.08,1530695
2017-06-08,44.15,45.5,44.07,45.1,1675995
2017-06-09,45.43,46.54,45.2,46.49,1516124
2017-06-12,46.5,47.2,46.35,46.81,1914392
2017-06-13,46.99,47.32,46.79,47.16,1607939
2017-06-14,46.7,47.2,46.08,47.1,1337464
2017-06-15,46.81,47.39,46.77,47.25,842901
2017-06-16,47.29,47.51,46.96,47.5,1487449
2017-06-19,47.67,47.96,47.42,47.9,1238639
2017-06-20,47.66,47.8,46.99,47.02,948638
2017-06-21,47.11,47.11,45.72,45.83,1283379
2017-06-22,45.64,45.7,45.03,45.35,1210493
2017-06-23,45.47,45.57,44.95,45.11,1681646
2017-06-26,45.26,45.69,44.81,45.37,896312
2017-06-27,45.51,45.93,45.29,45.57,861729
2017-06-28,46.02,46.54,46.02,46.44,689946
2017-06-29,47.3,47.6,46.2,46.57,953876
2017-06-30,46.84,46.87,46.25,46.63,1140885
2017-07-03,47.05,47.9,46.87,47.23,720122
2017-07-05,47.3,47.39,46.79,47.11,1182294
2017-07-06,47.12,47.98,46.94,47.32,1195493
2017-07-07,47.44,47.72,47.09,47.54,831804
2017-07-10,47.48,47.93,47.46,47.64,919721
2017-07-11,47.69,47.79,47.34,47.46,749518
2017-07-12,47.42,47.67,47.16,47.41,854271
2017-07-13,47.43,48.2,47.36,48.15,848965
