Date,Open,High,Low,Close,Volume
2017-01-03,53.63,54.23,53.08,53.4,3831027
2017-01-04,53.73,54.07,53.34,53.72,4001490
2017-01-05,53.22,53.26,52.35,53.24,3196026
2017-01-06,53.1,53.33,52.72,53.18,2801345
2017-01-09,53.2,53.33,52.8,52.93,2159633
2017-01-10,53.1,53.85,53.05,53.24,2771954
2017-01-11,53.24,53.24,52.05,52.52,3670226
2017-01-12,51.57,52.09,51.34,51.83,4183926
2017-01-13,52.0,52.28,51.08,51.33,2967289
2017-01-17,51.58,52.74,51.56,52.14,4254992
2017-01-18,52.35,52.38,50.49,50.9,5713145
2017-01-19,51.31,51.98,51.13,51.49,5713136
2017-01-20,51.62,52.09,51.56,51.85,3182687
2017-01-23,51.77,52.32,51.33,52.1,4080687
2017-01-24,52.04,52.94,52.0,52.68,2753567
2017-01-25,52.97,53.18,52.57,52.61,3134110
2017-01-26,52.7,52.83,51.82,52.01,2705249
2017-01-27,52.13,52.15,50.48,50.77,4443121
2017-01-30,50.74,51.41,50.37,51.35,3723651
2017-01-31,50.17,51.5,49.65,51.48,6358455
2017-02-01,50.75,51.41,50.47,50.61,5220640
2017-02-02,50.17,51.29,49.82,50.7,4999769
2017-02-03,50.35,50.35,49.02,49.56,7584569
2017-02-06,49.46,49.98,49.23,49.36,4005417
2017-02-07,49.42,49.51,48.18,48.32,6616972
2017-02-08,48.45,49.24,48.05,49.09,4375181
2017-02-09,49.14,49.86,49.06,49.47,3070564
2017-02-10,49.75,50.7,49.65,50.32,4266517
2017-02-13,50.53,50.91,50.26,50.39,4671296
2017-02-14,50.09,50.99,49.93,50.87,3672263
2017-02-15,50.58,50.67,50.07,50.52,5715346
2017-02-16,50.95,51.24,50.15,50.37,7015040
2017-02-17,51.27,52.87,50.34,52.68,8838068
2017-02-21,52.84,53.11,52.26,52.42,5527816
2017-02-22,52.9,53.94,52.9,53.5,5479808
2017-02-23,53.63,53.95,52.48,52.55,4857113
2017-02-24,52.84,53.65,52.32,53.06,4573276
