Date,Open,High,Low,Close,Volume
2017-01-03,35.5,36.11,35.5,35.9,4696627
2017-01-04,35.92,37.04,35.85,36.6,5208353
2017-01-05,36.94,37.83,36.76,37.48,5433241
2017-01-06,37.98,38.1,37.22,37.79,4167326
2017-01-09,38.08,38.94,38.01,38.34,5021063
2017-01-10,38.54,39.02,38.1,38.4,4369066
2017-01-11,38.55,39.34,38.28,38.9,7388492
2017-01-12,38.77,39.02,38.37,38.53,3140673
2017-01-13,38.54,38.88,38.17,38.7,3001769
2017-01-17,38.54,38.87,38.48,38.69,3414910
2017-01-18,38.9,39.84,38.79,39.76,5689258
2017-01-19,39.73,40.21,38.94,39.8,5876377
2017-01-20,40.02,40.43,39.56,40.23,6330731
2017-01-23,40.2,40.41,39.8,40.32,3902575
2017-01-24,40.46,41.17,40.18,41.11,3661727
2017-01-25,41.29,41.65,40.78,40.99,3411171
2017-01-26,41.02,42.06,40.96,41.85,4514906
2017-01-27,41.96,42.21,41.58,41.97,3432715
2017-01-30,42.25,42.5,41.8,42.46,4507022
2017-01-31,42.4,42.58,41.81,42.14,4849765
2017-02-01,42.18,42.5,41.41,41.65,3164620
2017-02-02,41.54,41.74,41.38,41.58,2523001
2017-02-03,41.58,42.08,41.58,41.9,2601233
2017-02-06,41.68,42.3,41.58,41.82,2951189
2017-02-07,41.94,42.1,41.53,41.67,2593252
2017-02-08,41.67,42.24,41.4,42.07,4087979
2017-02-09,44.65,45.0,42.99,43.89,14598275
2017-02-10,43.86,44.25,43.22,43.65,6258805
2017-02-13,43.66,43.75,43.26,43.45,4105522
2017-02-14,43.37,44.42,43.02,44.25,6119258
2017-02-15,44.06,44.71,44.06,44.66,4021106
2017-02-16,44.75,44.8,43.91,44.16,3283384
2017-02-17,44.09,44.28,43.46,43.99,3286468
2017-02-21,43.91,44.76,43.75,44.7,3423451
2017-02-22,44.35,44.75,44.27,44.51,3338751
2017-02-23,44.54,44.69,43.56,43.86,3341514
2017-02-24,43.84,44.05,43.1,43.89,2690414
2017-02-27,43.92,43.96,43.4,43.5,2778126
2017-02-28,43.7,43.78,43.33,43.45,3077908
2017-03-01,43.79,44.0,43.25,43.76,3329457
2017-03-02,43.84,43.84,42.1,42.12,6928189
2017-03-03,42.14,42.62,41.73,42.31,3672165
2017-03-06,42.09,42.43,41.8,42.19,2735245
2017-03-07,42.13,43.15,42.07,42.93,5958200
2017-03-08,43.19,44.03,43.15,44.0,6047520
2017-03-09,43.89,44.47,43.62,44.44,5638202
2017-03-10,44.26,44.5,43.44,43.73,4597720
2017-03-13,43.72,43.89,43.1,43.15,3497055
2017-03-14,43.15,43.55,42.87,43.36,2369287
2017-03-15,43.57,44.08,43.25,43.96,3685393
2017-03-16,43.96,44.15,43.78,44.04,2823406
2017-03-17,44.1,44.12,43.34,43.4,5573065
2017-03-20,42.98,43.42,42.59,42.87,3344922
