Date,Open,High,Low,Close,Volume
2017-01-03,74.43,74.99,73.34,74.89,1761887
2017-01-04,75.22,78.09,74.87,77.05,1667701
2017-01-05,77.15,79.61,76.15,79.06,2354722
2017-01-06,78.94,79.7,77.56,79.39,1669750
2017-01-09,79.8,83.62,77.09,82.86,4522498
2017-01-10,82.6,83.47,81.69,82.93,2110457
2017-01-11,83.17,85.37,80.38,81.93,2785209
2017-01-12,81.61,82.68,80.5,82.39,1351806
2017-01-13,82.4,84.41,81.71,83.17,1518581
2017-01-17,82.35,82.54,79.78,81.55,1501513
2017-01-18,81.88,82.87,81.58,82.52,1620727
2017-01-19,82.55,82.72,80.51,80.91,1653002
2017-01-20,81.47,82.46,80.89,81.37,1105561
2017-01-23,81.09,81.75,80.06,81.4,1124756
2017-01-24,81.42,82.6,80.55,82.24,1366588
2017-01-25,82.55,85.62,82.35,85.19,2854597
2017-01-26,85.75,87.91,84.05,85.33,2531671
2017-01-27,85.62,87.5,85.1,87.37,1861301
2017-01-30,87.07,87.07,83.78,84.38,1805728
2017-01-31,83.77,85.95,82.66,85.87,2418422
2017-02-01,85.98,86.43,84.33,86.24,1754741
2017-02-02,85.99,86.9,85.16,86.72,1290809
2017-02-03,87.1,87.27,85.77,86.73,1227304
2017-02-06,86.22,87.98,85.73,87.42,1423781
2017-02-07,87.29,88.12,86.07,86.84,1285437
2017-02-08,86.27,87.8,85.79,87.72,1310129
2017-02-09,88.09,89.42,87.7,89.27,1520037
2017-02-10,89.21,89.64,87.89,88.15,1633837
2017-02-13,88.39,88.64,87.25,87.72,1123459
2017-02-14,87.89,89.26,87.34,88.91,2321559
2017-02-15,88.69,89.46,88.34,89.37,1329771
2017-02-16,89.62,89.94,87.05,87.7,1322193
2017-02-17,87.69,88.98,86.9,88.33,1429046
2017-02-21,88.34,89.0,86.01,86.55,1665274
2017-02-22,86.55,87.32,85.72,85.79,1263166
2017-02-23,86.2,86.63,84.39,85.73,890750
2017-02-24,85.73,86.11,84.62,86.07,1406789
2017-02-27,86.19,88.95,85.84,88.9,2073654
2017-02-28,89.17,91.95,88.79,90.62,2401894
2017-03-01,91.8,92.26,89.83,90.31,2089382
2017-03-02,89.94,91.06,89.57,89.89,1060890
2017-03-03,89.54,90.39,88.95,90.19,1422569
2017-03-06,89.75,91.68,88.87,90.91,1587733
2017-03-07,90.14,91.7,89.77,91.32,1960731
