Date,Open,High,Low,Close,Volume
2017-01-03,62.29,62.33,61.53,62.13,2400008
2017-01-04,62.17,62.72,62.15,62.61,2172869
2017-01-05,62.37,63.47,61.78,63.17,2516727
2017-01-06,63.06,63.37,62.82,63.05,1934261
2017-01-09,63.24,63.7,62.8,63.45,1533404
2017-01-10,62.78,62.78,60.81,61.16,2859883
2017-01-11,61.32,62.06,60.89,61.42,1879413
2017-01-12,61.32,61.65,60.5,61.48,1691647
2017-01-13,61.36,61.69,61.13,61.6,1391464
2017-01-17,61.89,62.57,61.52,62.03,1500560
2017-01-18,62.07,62.72,62.05,62.22,1747943
2017-01-19,61.91,62.0,61.03,61.3,1310229
2017-01-20,61.39,62.11,61.24,61.9,1415505
2017-01-23,61.91,62.24,61.61,61.93,1855987
2017-01-24,61.93,62.48,61.69,61.99,1765326
2017-01-25,61.87,62.39,61.11,61.27,1183374
2017-01-26,61.29,61.62,60.91,60.97,1023358
2017-01-27,61.25,61.54,60.81,61.08,1371227
2017-01-30,61.18,61.67,60.56,61.43,1536157
2017-01-31,61.47,62.38,61.44,61.67,2535241
2017-02-01,61.61,61.98,60.6,60.64,1316360
2017-02-02,60.65,61.94,60.6,61.72,1682017
2017-02-03,62.22,62.41,61.42,61.65,2007610
2017-02-06,61.64,62.04,61.34,61.99,1093993
2017-02-07,61.99,62.27,61.65,61.81,1552630
2017-02-08,62.06,62.45,61.81,62.25,1343406
2017-02-09,62.2,62.43,61.5,61.8,2206860
2017-02-10,61.8,62.05,61.04,61.77,2049891
2017-02-13,61.86,62.9,61.66,62.8,1700927
2017-02-14,62.8,62.8,61.5,61.64,1668825
2017-02-15,61.41,61.87,60.8,61.68,1263503
2017-02-16,61.97,63.0,61.83,62.57,1722183
2017-02-17,62.7,62.78,61.61,62.16,2153137
2017-02-21,62.25,62.99,61.79,62.8,1925947
2017-02-22,63.01,63.8,62.48,62.72,1975048
2017-02-23,63.17,63.69,62.99,63.5,2186052
2017-02-24,63.57,65.0,63.11,64.98,2316472
2017-02-27,65.02,65.89,64.95,65.41,1748935
2017-02-28,65.41,65.68,64.94,65.05,2108863
2017-03-01,64.62,64.9,63.9,64.21,2111529
2017-03-02,64.22,64.94,63.54,64.9,2746733
2017-03-03,63.8,63.8,62.79,63.66,1571777
2017-03-06,63.36,63.49,62.61,62.71,1825363
2017-03-07,62.67,62.8,62.23,62.67,1745502
2017-03-08,62.35,62.5,61.03,61.11,1658401
2017-03-09,61.17,61.36,59.87,60.07,2694151
2017-03-10,60.46,60.99,59.88,60.5,1937182
2017-03-13,60.63,60.93,59.43,59.73,2374527
2017-03-14,59.63,59.77,59.05,59.36,2174032
2017-03-15,59.03,60.55,58.96,60.2,2884922
2017-03-16,60.13,60.66,59.95,60.46,1337927
2017-03-17,60.49,61.21,60.2,60.51,2448026
2017-03-20,60.68,61.19,60.45,60.53,1271744
2017-03-21,60.69,61.05,60.44,60.77,2513393
2017-03-22,61.06,62.68,61.01,62.45,3785664
2017-03-23,62.35,63.67,62.24,63.21,3484058
2017-03-24,63.3,63.94,63.05,63.83,2825782
2017-03-27,63.84,64.61,63.8,64.08,2374971
2017-03-28,64.08,64.81,63.84,64.69,2971200
2017-03-29,64.56,64.82,64.35,64.66,1737691
2017-03-30,64.44,64.6,63.84,64.5,2211359
2017-03-31,64.32,65.11,63.89,65.04,2530460
2017-04-03,65.07,65.18,64.64,65.1,1530199
2017-04-04,65.04,65.23,64.17,64.19,2206712
2017-04-05,64.3,65.07,64.1,64.58,1452285
2017-04-06,64.56,64.92,64.1,64.71,1602461
2017-04-07,64.66,65.38,64.66,64.87,2199220
2017-04-10,64.92,65.28,64.7,65.16,1607322
2017-04-11,65.21,65.64,64.95,65.47,1228392
2017-04-12,65.47,65.79,65.22,65.64,1162904
2017-04-13,65.43,65.8,64.99,65.06,1107393
2017-04-17,65.32,65.84,65.1,65.84,1274000
2017-04-18,65.84,66.95,65.67,66.79,2227171
2017-04-19,66.74,66.89,66.09,66.41,2293571
2017-04-20,66.37,66.4,65.63,65.95,2695604
2017-04-21,65.82,66.29,65.75,65.78,1655488
2017-04-24,66.12,66.2,63.67,64.63,2790789
2017-04-25,64.75,64.95,64.42,64.68,1897099
2017-04-26,64.57,64.63,63.98,64.01,1853828
2017-04-27,64.13,64.76,63.94,64.12,1331795
2017-04-28,64.14,64.77,62.83,64.01,2503395
2017-05-01,64.23,64.56,63.54,63.97,1699228
2017-05-02,63.99,64.18,63.46,63.67,1685248
2017-05-03,63.83,63.93,62.45,62.79,2132818
2017-05-04,62.5,62.74,61.49,62.65,2160604
2017-05-05,62.77,63.76,62.73,63.75,1448022
2017-05-08,63.93,63.95,63.32,63.53,1973715
2017-05-09,63.45,63.52,62.25,62.63,1683141
2017-05-10,62.68,64.17,62.58,64.02,1947924
2017-05-11,63.68,65.05,63.36,64.97,2091418
2017-05-12,65.13,65.69,64.97,65.67,1981260
2017-05-15,65.7,66.39,65.19,65.23,1647314
2017-05-16,65.31,65.48,64.74,65.02,1179316
2017-05-17,65.09,67.12,64.92,66.32,2740775
2017-05-18,66.41,67.57,66.0,67.43,2314656
2017-05-19,67.44,67.48,66.62,67.14,2104193
2017-05-22,67.14,67.38,66.77,67.25,2212079
2017-05-23,67.4,67.95,67.06,67.5,1333885
2017-05-24,67.52,68.0,67.52,67.78,1022048
2017-05-25,67.89,67.9,67.23,67.24,1262855
2017-05-26,67.24,67.58,66.27,66.58,1573067
2017-05-30,66.56,66.87,66.21,66.54,1107859
2017-05-31,66.54,67.04,66.47,66.49,2804082
2017-06-01,66.55,66.98,65.88,66.87,1656357
2017-06-02,66.44,67.23,66.33,67.1,1480355
2017-06-05,66.91,67.05,66.3,66.95,816175
2017-06-06,67.04,67.12,66.52,66.57,779094
2017-06-07,66.58,66.93,66.36,66.74,1489402
2017-06-08,66.93,66.93,65.78,66.58,1070143
2017-06-09,66.46,67.11,66.13,66.87,1190244
2017-06-12,66.87,68.23,66.78,68.17,2373380
2017-06-13,67.99,68.32,67.71,68.26,1837320
2017-06-14,68.85,69.62,68.55,68.7,2097476
2017-06-15,68.34,69.47,68.18,69.04,2394680
2017-06-16,69.22,69.95,68.76,69.52,2982083
2017-06-19,69.65,69.76,69.03,69.75,1885357
2017-06-20,69.78,70.4,69.44,70.34,2118951
2017-06-21,70.4,70.76,70.02,70.74,2420026
2017-06-22,70.61,71.5,70.3,71.18,1746926
2017-06-23,70.9,71.95,70.8,71.72,3820473
2017-06-26,71.73,72.19,71.51,71.93,1626649
2017-06-27,71.95,72.36,71.13,71.17,1696293
2017-06-28,71.12,71.56,70.63,71.1,1786036
2017-06-29,70.35,70.7,69.1,69.21,1929347
2017-06-30,69.37,69.9,69.25,69.48,1339944
2017-07-03,69.67,70.18,69.11,69.98,1032817
2017-07-05,69.89,70.0,68.69,69.18,1912292
2017-07-06,68.89,68.91,67.53,67.61,1667965
2017-07-07,67.61,67.69,66.77,67.47,1403028
2017-07-10,67.5,67.66,66.92,66.94,1058659
2017-07-11,67.06,67.21,66.42,66.92,1094562
2017-07-12,67.32,68.35,67.32,67.8,1179514
2017-07-13,67.79,67.97,67.46,67.52,763385
