Date,Open,High,Low,Close,Volume
2017-01-03,71.0,71.28,70.19,70.52,1743978
2017-01-04,70.75,71.18,70.32,70.32,1606324
2017-01-05,70.37,71.1,70.29,70.59,2464180
2017-01-06,70.41,70.8,70.18,70.19,1570683
2017-01-09,70.35,70.48,69.66,69.78,2262522
2017-01-10,69.58,69.98,69.18,69.49,2089923
2017-01-11,69.46,70.27,69.35,70.13,1731907
2017-01-12,69.96,70.11,69.39,69.89,1337763
2017-01-13,70.11,70.29,69.72,69.79,1611451
2017-01-17,69.54,69.72,69.38,69.48,1795012
2017-01-18,69.43,69.67,69.43,69.59,1423055
2017-01-19,69.37,69.69,69.25,69.57,1162073
2017-01-20,69.72,69.83,69.45,69.66,1331271
2017-01-23,69.69,69.87,69.23,69.34,1005048
2017-01-24,69.35,69.62,69.0,69.56,1090857
2017-01-25,69.56,69.98,69.56,69.67,1931793
2017-01-26,69.69,69.85,69.6,69.73,1137098
2017-01-27,69.85,69.85,69.54,69.64,1134767
2017-01-30,69.69,69.69,69.37,69.6,1146193
2017-01-31,69.71,69.98,69.34,69.5,1374112
2017-02-01,69.32,69.61,69.0,69.18,1718970
2017-02-02,69.15,69.7,69.06,69.64,1613202
2017-02-03,69.78,69.99,69.58,69.65,1351963
2017-02-06,69.81,69.93,69.31,69.42,1006173
2017-02-07,69.48,70.09,69.46,69.9,1554793
2017-02-08,69.85,70.13,69.75,70.01,1604552
2017-02-09,69.89,70.3,69.74,70.25,1512116
2017-02-10,70.16,70.83,70.04,70.54,1617277
2017-02-13,70.59,70.99,70.51,70.84,1548833
2017-02-14,70.79,71.05,70.72,70.86,1230156
2017-02-15,70.64,71.44,70.5,71.35,1499012
2017-02-16,69.64,71.23,69.55,71.18,2252560
2017-02-17,71.17,72.47,71.15,72.45,2436710
2017-02-21,72.35,73.2,72.21,72.82,1717039
2017-02-22,72.85,73.21,72.57,73.01,1319229
2017-02-23,73.14,73.3,72.59,72.91,1490226
2017-02-24,72.98,73.15,72.76,73.15,1150636
2017-02-27,73.07,73.45,73.0,73.24,1144251
2017-02-28,73.21,73.53,73.13,73.32,2115271
2017-03-01,73.35,73.65,72.85,73.37,1746832
2017-03-02,73.15,73.55,73.06,73.28,1108206
2017-03-03,73.27,73.29,72.68,72.83,2133808
2017-03-06,72.58,73.08,72.43,73.01,1994603
2017-03-07,72.85,73.26,72.68,72.7,1762511
2017-03-08,72.21,72.58,72.01,72.19,1517431
2017-03-09,72.21,72.4,71.94,72.3,1568252
2017-03-10,72.54,73.1,72.51,73.0,1638927
2017-03-13,72.87,73.15,72.67,73.1,1359607
2017-03-14,73.09,73.22,72.72,72.98,1070110
2017-03-15,73.03,73.86,72.86,73.78,1575566
2017-03-16,73.65,73.9,72.94,73.11,1462395
2017-03-17,73.36,73.79,73.17,73.54,3203339
2017-03-20,73.58,73.61,73.06,73.11,1444768
2017-03-21,73.35,73.37,72.41,72.52,2194418
2017-03-22,72.78,72.95,72.54,72.65,1399219
2017-03-23,72.56,72.89,72.46,72.56,1213824
2017-03-24,72.6,72.87,72.15,72.32,1577953
2017-03-27,72.18,72.18,71.56,71.88,1624514
2017-03-28,71.62,72.46,71.53,72.34,1619799
2017-03-29,71.85,72.43,71.82,72.15,1768501
2017-03-30,72.19,72.94,72.15,72.93,1352056
2017-03-31,72.72,73.14,72.68,72.92,1330977
2017-04-03,73.08,73.09,72.5,72.59,1528701
2017-04-04,72.67,72.92,72.43,72.53,2316324
2017-04-05,72.78,73.73,72.78,73.27,1559183
2017-04-06,73.15,73.26,72.74,73.09,1257094
2017-04-07,73.19,73.52,73.05,73.21,1175032
2017-04-10,73.11,73.24,72.76,72.89,1226932
2017-04-11,72.88,72.97,72.51,72.87,1212117
2017-04-12,72.71,72.82,72.15,72.3,1551509
2017-04-13,72.12,72.38,71.91,72.02,1927456
2017-04-17,72.22,72.71,72.22,72.5,1241108
2017-04-18,72.4,72.55,72.23,72.45,1322130
2017-04-19,72.61,72.85,72.49,72.71,1430411
2017-04-20,72.87,72.97,72.7,72.84,1138327
2017-04-21,72.9,73.57,72.85,73.38,1356143
2017-04-24,73.82,74.2,73.72,74.1,1407814
2017-04-25,74.2,74.58,74.12,74.23,1616207
2017-04-26,74.08,74.27,72.16,72.3,2914740
2017-04-27,72.84,73.62,72.61,72.84,1663419
2017-04-28,72.78,73.1,72.56,72.78,1501037
2017-05-01,73.08,73.11,72.26,73.01,1720997
2017-05-02,73.21,73.29,72.56,72.86,1256340
2017-05-03,72.83,72.95,72.5,72.88,1351566
2017-05-04,73.05,73.13,72.63,72.95,1367350
2017-05-05,73.03,73.43,72.93,73.39,903992
2017-05-08,73.44,73.62,73.11,73.26,1210469
2017-05-09,73.11,73.44,72.53,72.76,1316485
2017-05-10,72.63,73.24,72.53,73.09,1457831
2017-05-11,72.85,72.91,72.41,72.55,1429139
2017-05-12,72.77,72.77,71.87,71.96,1223846
2017-05-15,71.85,72.27,71.58,72.17,1334723
2017-05-16,72.18,72.3,71.16,71.25,1898183
2017-05-17,71.0,71.23,70.68,70.73,1644709
2017-05-18,70.66,71.19,70.25,70.96,2235724
2017-05-19,70.88,70.99,70.08,70.5,3271872
2017-05-22,70.68,71.1,70.62,70.97,2345507
2017-05-23,71.13,71.5,70.72,71.02,1603256
2017-05-24,71.3,71.47,71.1,71.38,1521637
2017-05-25,71.49,71.74,71.34,71.57,1292050
2017-05-26,71.37,71.92,71.28,71.84,1076744
2017-05-30,71.78,72.25,71.62,72.14,1365824
2017-05-31,72.15,72.99,72.11,72.91,2364243
2017-06-01,72.96,73.5,72.72,73.46,1629965
2017-06-02,73.71,74.42,73.59,74.25,1857581
2017-06-05,74.03,74.5,73.73,73.91,1523934
2017-06-06,73.96,74.09,73.25,73.41,1774983
2017-06-07,73.2,73.5,73.12,73.33,1633784
2017-06-08,73.31,73.52,72.31,72.54,2232589
2017-06-09,72.47,72.77,72.24,72.65,2025020
2017-06-12,72.65,73.0,72.5,72.88,1961521
2017-06-13,72.88,73.62,72.76,73.37,1431971
2017-06-14,73.63,73.88,73.27,73.42,1492560
2017-06-15,73.15,74.17,73.15,74.05,2523346
2017-06-16,74.2,74.48,73.94,74.14,2601593
2017-06-19,74.19,74.52,73.91,74.18,2244560
2017-06-20,74.07,74.44,73.76,73.77,1275318
2017-06-21,73.77,74.03,73.12,73.4,2568121
2017-06-22,73.34,73.56,73.02,73.36,1063553
2017-06-23,73.27,73.59,73.2,73.43,1649222
2017-06-26,73.6,73.8,73.33,73.46,1233948
2017-06-27,73.23,73.54,73.11,73.11,1033961
2017-06-28,73.53,74.15,73.45,73.52,1289889
2017-06-29,73.49,73.7,72.58,73.02,2280887
2017-06-30,73.38,73.65,73.22,73.35,1460868
2017-07-03,73.44,73.84,73.32,73.4,758209
2017-07-05,73.8,73.85,73.4,73.72,1413883
2017-07-06,73.41,73.58,73.18,73.39,1552173
2017-07-07,73.55,74.19,73.49,73.99,1468317
2017-07-10,73.97,74.29,73.76,73.98,1399317
2017-07-11,73.98,74.2,73.74,73.86,1202870
2017-07-12,74.22,74.53,74.16,74.17,1167254
2017-07-13,74.17,74.22,73.73,73.99,1013244
