Date,Open,High,Low,Close,Volume
2017-01-03,69.24,69.24,68.05,68.66,10473162
2017-01-04,68.66,69.63,68.6,69.06,7917952
2017-01-05,68.43,69.33,68.12,69.21,7099170
2017-01-06,68.41,68.5,68.01,68.26,9491115
2017-01-09,68.33,68.8,68.32,68.71,8685232
2017-01-10,68.64,69.27,68.22,68.23,10256492
2017-01-11,68.2,68.62,68.19,68.53,6697593
2017-01-12,68.36,68.56,67.92,67.97,6544856
2017-01-13,67.98,68.02,67.08,67.13,10012519
2017-01-17,68.09,69.29,68.06,68.42,13167509
2017-01-18,67.88,68.11,67.54,68.11,7321456
2017-01-19,68.13,68.19,67.48,67.62,6821078
2017-01-20,67.74,67.83,67.02,67.18,12054682
2017-01-23,67.01,67.18,66.56,66.65,7951427
2017-01-24,66.89,67.41,66.66,67.4,10710616
2017-01-25,67.52,67.73,66.79,66.89,8722855
2017-01-26,67.13,67.22,66.62,66.73,6504073
2017-01-27,66.86,66.97,65.28,65.66,13433629
2017-01-30,65.63,66.48,65.63,66.42,8641511
2017-01-31,66.21,66.89,65.88,66.74,9320880
2017-02-01,66.46,66.71,66.04,66.23,9049972
2017-02-02,66.34,67.14,66.34,66.7,8998739
2017-02-03,66.82,66.93,66.44,66.5,7625330
2017-02-06,66.37,66.86,66.37,66.4,9097238
2017-02-07,66.56,67.0,66.51,66.89,5805722
2017-02-08,66.89,67.82,66.89,67.81,7660755
2017-02-09,67.8,69.14,67.75,69.08,11080479
2017-02-10,68.25,68.6,67.76,68.02,12445633
2017-02-13,68.32,68.65,67.56,67.77,8374307
2017-02-14,67.88,68.68,67.71,68.66,8462328
2017-02-15,67.8,68.71,67.76,68.69,8563295
2017-02-16,68.67,69.24,68.61,68.87,8413787
2017-02-17,68.83,69.78,68.7,69.37,12837447
2017-02-21,71.21,72.28,70.7,71.45,22412893
2017-02-22,72.25,72.37,71.48,71.71,15242674
2017-02-23,72.0,72.5,71.16,71.31,12799700
2017-02-24,71.34,72.8,71.3,72.39,13889852
2017-02-27,72.28,72.42,71.52,71.74,9254685
2017-02-28,70.87,71.0,70.0,70.93,15952573
2017-03-01,70.97,71.08,70.15,70.45,13522717
2017-03-02,70.42,70.9,70.17,70.76,8916264
2017-03-03,70.81,71.02,69.88,70.03,9303591
2017-03-06,70.0,70.44,69.78,69.88,9182575
2017-03-07,69.9,70.21,69.86,69.87,7282861
2017-03-08,69.69,70.03,69.54,69.8,7979841
2017-03-09,69.75,70.04,69.56,69.86,7564480
2017-03-10,70.0,70.36,69.8,70.1,7098829
2017-03-13,69.99,70.45,69.71,69.95,6802511
2017-03-14,70.82,71.2,70.72,70.72,9958370
2017-03-15,70.5,70.7,70.02,70.58,8813794
2017-03-16,70.11,70.7,70.07,70.44,7060977
2017-03-17,70.58,70.75,69.81,69.89,14078353
2017-03-20,70.14,70.45,69.71,69.98,7466226
2017-03-21,70.17,70.4,69.69,69.9,8746812
2017-03-22,70.03,70.34,69.72,70.25,6455594
2017-03-23,70.2,70.31,69.74,69.86,6898774
2017-03-24,69.99,70.17,69.53,69.61,5858968
2017-03-27,69.52,70.07,69.36,69.66,5792586
2017-03-28,69.33,70.37,69.33,70.32,7252189
2017-03-29,70.35,71.18,70.31,70.74,6991046
2017-03-30,70.69,71.72,70.64,71.59,8141535
2017-03-31,71.32,72.56,71.23,72.08,9939780
2017-04-03,72.08,72.53,71.78,71.83,8291283
2017-04-04,71.74,72.06,71.53,72.01,5567317
2017-04-05,71.64,72.31,71.56,71.65,6354492
2017-04-06,71.7,72.1,71.38,71.43,5941103
2017-04-07,72.1,72.99,71.8,72.9,10768016
2017-04-10,72.99,73.48,72.73,73.06,7495948
2017-04-11,73.0,73.45,72.93,73.43,5810458
2017-04-12,73.55,73.83,73.25,73.44,6627297
2017-04-13,73.37,73.66,73.15,73.15,5336428
2017-04-17,73.16,73.58,73.15,73.49,5465408
2017-04-18,73.54,74.1,73.48,73.89,6627986
2017-04-19,74.1,74.38,73.86,74.07,5940609
2017-04-20,74.14,75.11,74.11,74.8,7681252
2017-04-21,74.74,75.11,74.6,74.94,5755691
2017-04-24,75.08,75.4,74.42,74.78,7812524
2017-04-25,74.97,75.17,74.86,75.05,5720364
2017-04-26,75.27,75.77,75.17,75.43,6948460
2017-04-27,75.54,75.7,75.02,75.44,6052219
2017-04-28,75.24,75.44,74.93,75.18,7330420
2017-05-01,75.09,75.72,75.09,75.23,6165912
2017-05-02,75.3,75.71,75.25,75.52,7318362
2017-05-03,75.4,75.88,75.18,75.76,5523624
2017-05-04,75.93,76.4,75.83,76.34,5500802
2017-05-05,76.42,76.6,76.18,76.5,5597759
2017-05-08,76.5,76.52,76.07,76.12,6512180
2017-05-09,76.44,77.05,76.33,76.72,8255282
2017-05-10,76.33,76.78,76.19,76.7,7511921
