Date,Open,High,Low,Close,Volume
2017-01-03,21.88,22.1,21.75,21.97,5085678
2017-01-04,22.02,22.47,21.99,22.41,4106553
2017-01-05,22.41,22.67,22.19,22.31,3856689
2017-01-06,22.35,22.59,22.18,22.57,3296303
2017-01-09,22.6,22.7,22.49,22.55,3242362
2017-01-10,22.52,22.53,22.2,22.23,5102782
2017-01-11,22.2,22.34,22.12,22.32,5508894
2017-01-12,22.15,22.25,21.98,22.12,4452397
2017-01-13,22.11,22.23,22.03,22.17,3919434
2017-01-17,22.12,22.17,21.94,22.01,2401916
2017-01-18,22.1,22.18,21.8,21.85,5704926
2017-01-19,21.93,22.15,20.44,21.13,15154315
2017-01-20,20.86,21.04,20.63,20.98,9698696
2017-01-23,20.87,20.9,20.59,20.72,6576843
2017-01-24,20.69,20.69,20.31,20.42,9922869
2017-01-25,20.48,20.56,20.03,20.08,10725180
2017-01-26,19.71,19.82,19.25,19.59,17041165
2017-01-27,19.55,19.62,19.44,19.59,5022982
2017-01-30,19.54,19.62,19.4,19.61,5965007
2017-01-31,19.6,19.63,19.47,19.58,5454895
2017-02-01,19.64,19.73,19.37,19.54,5718597
2017-02-02,19.51,19.81,19.46,19.73,6008966
2017-02-03,19.9,20.1,19.85,19.97,6532202
2017-02-06,19.99,19.99,19.79,19.83,3651629
2017-02-07,19.83,19.9,19.72,19.84,2369973
2017-02-08,19.79,20.08,19.79,19.91,7612336
2017-02-09,19.98,20.41,19.93,20.38,8871055
2017-02-10,19.74,20.1,19.3,19.74,14984449
2017-02-13,19.79,19.89,19.41,19.53,12411714
2017-02-14,19.44,19.78,19.42,19.68,6146578
2017-02-15,19.65,19.7,19.54,19.59,5105131
2017-02-16,19.59,19.62,19.47,19.55,5949424
2017-02-17,19.5,19.83,19.49,19.82,5810318
2017-02-21,19.78,20.0,19.72,19.81,4782876
2017-02-22,19.78,20.14,19.75,19.99,6090045
2017-02-23,20.03,20.05,19.87,19.92,6016221
2017-02-24,19.86,20.33,19.8,20.17,5241423
2017-02-27,20.14,20.2,20.01,20.13,4913043
2017-02-28,20.16,20.19,19.59,19.64,12166633
2017-03-01,19.77,20.11,19.76,19.91,8837710
2017-03-02,19.89,19.96,19.68,19.93,8967100
2017-03-03,19.94,20.06,19.86,19.96,4269923
2017-03-06,19.89,19.97,19.72,19.9,3421011
2017-03-07,19.87,20.03,19.83,19.9,4738206
2017-03-08,19.97,19.98,19.69,19.83,4579103
2017-03-09,19.81,19.85,19.63,19.67,3091590
2017-03-10,19.74,19.88,19.63,19.67,3621605
2017-03-13,19.65,19.73,19.53,19.58,6241048
2017-03-14,19.75,20.58,19.75,20.27,11973027
2017-03-15,20.21,20.32,20.07,20.18,5422604
2017-03-16,20.25,20.33,20.18,20.21,3986615
2017-03-17,20.23,20.48,20.17,20.4,5068845
2017-03-20,20.41,20.46,20.15,20.21,3526249
2017-03-21,20.23,20.31,20.07,20.09,4349665
2017-03-22,20.11,20.19,19.95,20.13,3076227
2017-03-23,20.11,20.28,20.09,20.13,3674680
2017-03-24,20.18,20.4,20.1,20.25,3417558
2017-03-27,20.01,20.1,19.89,20.03,3593332
2017-03-28,19.97,20.24,19.95,20.15,4049725
2017-03-29,19.99,20.26,19.95,20.25,3240323
2017-03-30,20.22,20.53,20.22,20.49,3928105
2017-03-31,20.46,20.46,20.26,20.35,5600251
2017-04-03,20.34,20.35,19.66,19.77,5805248
2017-04-04,19.76,19.79,19.6,19.71,3722324
2017-04-05,19.81,19.96,19.66,19.66,3579260
2017-04-06,19.7,19.74,19.56,19.59,4535597
2017-04-07,19.6,19.6,19.26,19.36,8901387
2017-04-10,19.36,19.54,19.31,19.42,7146276
2017-04-11,19.42,19.52,19.28,19.52,7094208
2017-04-12,19.51,19.55,19.37,19.42,4760136
2017-04-13,19.37,19.51,19.32,19.35,3462554
2017-04-17,19.4,19.51,19.38,19.49,2534169
2017-04-18,19.45,19.76,19.38,19.67,4696799
2017-04-19,19.71,19.98,19.71,19.78,4227430
2017-04-20,19.85,20.03,19.82,19.99,3356349
2017-04-21,19.98,20.0,19.68,19.76,3808080
2017-04-24,19.93,20.14,19.93,20.08,4244286
2017-04-25,20.17,20.27,20.12,20.12,3283417
2017-04-26,20.05,20.2,19.88,20.1,4863794
2017-04-27,20.17,20.2,19.89,19.98,3729632
2017-04-28,19.97,19.97,19.74,19.86,3784010
2017-05-01,19.91,20.1,19.86,19.97,3256861
2017-05-02,19.97,20.23,19.89,20.13,4248369
2017-05-03,20.11,20.11,19.09,19.26,10452114
2017-05-04,19.33,19.49,19.3,19.4,3873935
2017-05-05,19.41,19.43,19.31,19.39,2407037
2017-05-08,19.38,19.62,19.36,19.56,3353395
2017-05-09,19.52,19.6,19.43,19.49,4161476
2017-05-10,19.43,19.69,19.42,19.64,3131020
2017-05-11,19.55,19.6,19.37,19.46,4095473
2017-05-12,19.41,19.53,19.25,19.28,2478061
2017-05-15,19.26,19.43,19.26,19.41,2844974
2017-05-16,19.39,19.42,19.08,19.15,4167823
2017-05-17,19.0,19.13,18.89,18.9,3871996
2017-05-18,18.82,18.95,18.79,18.85,3484626
2017-05-19,18.87,19.08,18.87,19.01,2709116
2017-05-22,19.0,19.14,18.91,19.12,2441390
2017-05-23,19.13,19.19,18.8,18.82,4700280
2017-05-24,18.82,19.46,18.81,19.27,4580241
2017-05-25,19.28,19.41,19.26,19.31,2211806
2017-05-26,19.27,19.34,19.05,19.07,2213461
2017-05-30,19.02,19.21,18.93,19.18,3450067
2017-05-31,19.18,19.28,18.88,19.02,7722784
2017-06-01,19.09,19.52,19.07,19.44,5124638
2017-06-02,19.41,19.44,19.18,19.28,3296626
2017-06-05,19.29,19.44,19.25,19.4,2744525
2017-06-06,19.32,19.36,19.21,19.22,2591425
2017-06-07,19.23,19.26,19.12,19.13,2569255
2017-06-08,19.11,19.18,18.83,18.94,3479641
2017-06-09,18.92,19.15,18.78,19.01,3359649
2017-06-12,18.91,19.53,18.91,19.26,5476280
2017-06-13,19.29,19.51,19.27,19.45,5166329
2017-06-14,19.33,19.45,19.17,19.23,3377296
2017-06-15,19.07,19.18,18.86,18.99,4468160
2017-06-16,18.91,19.13,18.76,19.08,7644295
2017-06-19,19.17,19.17,18.87,19.1,3375049
2017-06-20,19.03,19.06,18.93,18.95,3544120
2017-06-21,19.02,19.03,18.83,18.84,2056371
2017-06-22,18.8,18.93,18.52,18.78,4597180
2017-06-23,18.83,19.17,18.8,19.17,4797678
2017-06-26,19.18,19.34,18.94,19.01,2640404
2017-06-27,19.18,19.21,18.87,18.88,2104774
2017-06-28,18.88,19.0,18.76,18.97,3926550
2017-06-29,18.98,19.09,18.74,18.86,4246552
2017-06-30,18.87,19.14,18.84,19.05,4475598
2017-07-03,19.12,19.26,19.11,19.15,1805510
2017-07-05,19.18,19.22,18.6,18.69,5171643
2017-07-06,18.6,18.63,18.42,18.47,3997145
2017-07-07,18.56,18.73,18.5,18.65,3080656
2017-07-10,18.63,18.84,18.59,18.7,2527186
2017-07-11,18.69,18.84,18.62,18.79,3097464
2017-07-12,18.9,19.07,18.87,19.01,3144132
2017-07-13,19.05,19.08,18.94,18.94,1740770
