Date,Open,High,Low,Close,Volume
2017-01-03,30.23,30.55,30.11,30.36,2650158
2017-01-04,30.49,30.88,30.39,30.63,3678492
2017-01-05,30.49,30.98,30.46,30.95,3547962
2017-01-06,30.89,31.05,30.67,30.85,2679335
2017-01-09,31.1,31.5,30.87,30.97,4017580
2017-01-10,30.96,31.09,30.58,30.73,3687543
2017-01-11,30.74,31.04,30.53,30.96,2322862
2017-01-12,30.78,30.79,30.41,30.57,3959095
2017-01-13,30.52,30.82,30.51,30.64,3611037
2017-01-17,30.65,30.84,30.46,30.6,2118169
2017-01-18,30.58,30.78,30.44,30.5,2613544
2017-01-19,30.57,30.72,30.05,30.21,4006536
2017-01-20,30.27,30.45,29.88,30.23,6518949
2017-01-23,30.24,30.6,30.17,30.43,3615938
2017-01-24,30.58,31.14,30.55,31.13,5071852
2017-01-25,31.34,32.31,31.34,32.19,6386913
2017-01-26,32.08,32.27,31.71,31.8,9357155
2017-01-27,31.8,31.85,31.08,31.24,4277937
2017-01-30,31.13,31.25,30.86,31.16,3849409
2017-01-31,31.2,31.51,31.06,31.33,4425312
2017-02-01,31.33,31.49,30.75,31.11,3624554
2017-02-02,30.98,31.5,30.79,31.44,5669423
2017-02-03,31.07,32.22,30.94,32.11,5458896
2017-02-06,31.84,32.05,31.03,31.42,5825104
2017-02-07,31.56,32.18,31.3,32.05,5699380
2017-02-08,32.14,32.71,32.1,32.41,5467719
2017-02-09,32.42,33.17,32.4,33.17,7199103
2017-02-10,33.09,33.32,32.86,33.16,4083899
2017-02-13,33.23,34.0,33.15,33.79,7372383
2017-02-14,33.52,33.57,32.97,33.29,4172587
2017-02-15,33.3,33.7,32.98,33.66,4667902
2017-02-16,33.71,33.78,33.35,33.52,3402205
2017-02-17,33.47,33.62,33.34,33.52,2754674
2017-02-21,33.51,34.1,33.44,33.98,3641122
2017-02-22,33.95,34.0,33.52,33.76,2360342
2017-02-23,33.88,33.94,33.56,33.66,3555112
2017-02-24,33.53,33.73,33.26,33.47,4561503
