Date,Open,High,Low,Close,Volume
2017-01-03,87.2,87.89,86.2,87.46,2704248
2017-01-04,87.71,90.46,87.71,90.28,2598815
2017-01-05,90.8,92.33,90.64,91.44,2507510
2017-01-06,91.08,92.63,90.81,92.43,1858477
2017-01-09,93.88,95.0,92.62,92.75,2776249
2017-01-10,93.67,95.47,93.36,94.83,3056006
2017-01-11,94.32,94.76,92.03,92.93,2207316
2017-01-12,92.63,92.8,90.22,91.94,1904095
2017-01-13,92.5,92.5,90.5,90.53,1527135
2017-01-17,90.5,93.2,89.6,92.34,2008589
2017-01-18,92.88,92.88,91.35,91.98,1202451
2017-01-19,91.84,92.35,90.51,90.93,1144071
2017-01-20,91.31,92.21,90.78,90.82,955216
2017-01-23,90.89,93.63,90.89,92.64,2323334
2017-01-24,92.87,94.44,92.51,94.03,1775754
2017-01-25,94.6,97.24,94.6,96.42,2881460
2017-01-26,96.0,99.35,95.2,95.5,5216124
2017-01-27,102.0,104.05,101.0,103.08,7967416
2017-01-30,102.72,104.39,102.1,102.55,2483369
2017-01-31,102.15,102.45,100.89,101.43,1827534
2017-02-01,99.56,100.09,97.77,97.86,3025417
2017-02-02,97.33,98.08,96.56,97.38,1698709
2017-02-03,97.68,98.5,96.7,96.92,1888810
2017-02-06,98.25,99.3,95.99,97.02,2828753
2017-02-07,96.87,97.29,96.53,97.01,1903166
2017-02-08,96.98,97.23,96.33,97.18,1061765
2017-02-09,97.56,99.17,97.3,98.88,1764328
2017-02-10,99.03,100.2,98.52,98.9,2314945
2017-02-13,98.88,99.42,98.2,98.97,1621225
2017-02-14,100.51,100.66,97.6,97.68,1876153
2017-02-15,97.44,100.29,96.91,99.79,1924887
2017-02-16,99.59,99.6,96.57,96.72,2812990
2017-02-17,96.21,96.34,95.02,95.91,1989132
2017-02-21,96.2,96.38,95.05,95.97,1551028
2017-02-22,95.89,95.97,94.31,94.75,1975149
2017-02-23,95.16,95.28,93.6,93.84,2079355
2017-02-24,93.25,94.06,92.67,94.01,1935303
2017-02-27,94.44,96.24,94.28,95.51,1694362
2017-02-28,95.22,97.75,94.81,96.15,2094135
2017-03-01,99.9,103.71,99.62,102.71,6088520
2017-03-02,102.67,102.67,99.74,100.15,2754098
2017-03-03,100.02,101.52,99.08,101.04,1783573
2017-03-06,100.78,101.14,99.52,100.37,1206049
2017-03-07,99.78,100.17,98.25,99.46,2462419
2017-03-08,99.38,100.31,98.76,99.23,1205891
2017-03-09,98.82,99.74,98.41,98.99,1081649
2017-03-10,99.17,100.52,98.82,99.55,1485803
2017-03-13,101.95,104.71,101.5,104.3,3454131
2017-03-14,104.2,105.83,103.75,104.7,2777068
2017-03-15,104.82,104.98,103.13,104.75,2129438
2017-03-16,105.0,108.6,103.78,106.17,4709989
2017-03-17,107.27,110.31,106.7,110.19,3913548
2017-03-20,110.0,113.85,110.0,111.64,5013333
2017-03-21,112.99,113.95,110.55,111.75,4163683
2017-03-22,111.86,113.52,111.3,113.35,2473009
2017-03-23,113.29,114.08,111.78,112.32,2302579
2017-03-24,112.75,113.26,110.89,111.92,1666343
2017-03-27,110.81,115.77,110.18,114.65,3487176
2017-03-28,114.98,116.19,113.89,115.18,2147973
2017-03-29,114.87,115.99,114.55,115.49,1213306
2017-03-30,115.29,115.73,113.8,114.3,1686358
2017-03-31,113.34,114.93,112.7,114.61,1979622
2017-04-03,117.82,119.8,115.87,116.34,3477240
2017-04-04,116.0,116.86,115.27,116.74,1668147
2017-04-05,118.27,119.43,116.51,116.68,3103612
2017-04-06,116.18,118.57,116.08,117.85,1953882
2017-04-07,117.77,117.95,116.3,116.83,1582839
2017-04-10,116.3,117.56,115.32,116.18,1293244
2017-04-11,116.41,116.75,113.86,116.23,1934890
2017-04-12,116.63,117.07,114.74,115.39,1654623
2017-04-13,115.05,115.34,112.91,113.47,2553386
2017-04-17,113.77,115.2,113.69,114.64,3059290
2017-04-18,114.0,116.06,113.82,115.89,1753083
2017-04-19,115.75,116.6,114.74,114.94,1207565
2017-04-20,116.18,116.7,115.4,116.15,2107813
2017-04-21,116.25,116.37,114.4,115.9,4250160
2017-04-24,116.98,117.0,115.22,115.57,2350248
2017-04-25,115.73,118.34,115.73,118.22,4245472
2017-04-26,123.3,127.2,121.57,125.19,6282743
2017-04-27,125.22,125.96,124.0,124.5,2448277
2017-04-28,125.04,125.04,122.97,123.01,1522802
2017-05-01,123.99,126.99,123.25,125.92,2138706
2017-05-02,126.51,126.57,124.86,125.3,1497498
2017-05-03,125.24,126.17,124.54,125.85,1322795
2017-05-04,126.12,126.45,123.88,124.32,1423263
2017-05-05,123.48,123.83,119.84,122.14,3086107
2017-05-08,120.79,121.62,119.17,120.2,2901946
2017-05-09,120.44,123.9,120.23,123.46,2917392
2017-05-10,122.55,123.38,121.68,123.27,1236345
2017-05-11,123.36,123.36,121.71,122.23,1051336
2017-05-12,124.68,127.14,124.18,125.29,2374865
2017-05-15,124.79,126.47,124.26,125.69,1396356
2017-05-16,126.43,129.03,126.05,127.91,2408092
2017-05-17,126.23,126.65,122.39,122.62,2715980
2017-05-18,120.55,123.75,120.52,122.42,1652610
2017-05-19,123.03,124.94,120.47,121.73,3181985
2017-05-22,123.56,125.82,123.0,125.16,1979767
2017-05-23,125.84,127.58,123.89,124.15,1908411
2017-05-24,124.19,124.68,123.32,124.0,1102732
2017-05-25,124.03,124.84,123.67,124.44,1000290
2017-05-26,124.45,127.32,124.45,125.73,1354115
2017-05-30,125.73,127.59,125.36,126.58,1617255
2017-05-31,126.86,128.83,125.5,128.7,1697071
2017-06-01,131.8,135.26,130.75,133.59,4059335
2017-06-02,134.45,134.93,133.19,134.68,2293563
2017-06-05,134.35,134.8,132.5,133.28,1423684
2017-06-06,133.51,134.34,132.29,132.6,1892399
2017-06-07,133.27,133.27,131.17,132.31,2371847
2017-06-08,133.44,134.96,132.5,134.73,2609640
2017-06-09,134.53,135.09,127.6,129.59,3109725
2017-06-12,128.67,132.35,128.03,130.25,1921240
2017-06-13,132.46,134.6,132.07,134.16,1665861
2017-06-14,134.41,135.26,132.59,133.49,1235916
2017-06-15,131.46,134.35,130.85,134.04,1257091
2017-06-16,134.41,136.98,133.91,134.46,1806881
2017-06-19,136.6,138.79,136.11,138.42,1824783
2017-06-20,138.1,138.52,136.32,137.13,1359731
2017-06-21,137.03,138.44,136.59,137.46,897205
2017-06-22,137.37,137.96,135.98,137.05,1126918
2017-06-23,136.59,138.4,136.05,138.32,1455918
2017-06-26,138.5,139.67,136.75,137.15,1174513
2017-06-27,137.0,138.75,135.33,135.63,1729826
2017-06-28,135.98,136.68,134.01,135.94,1268380
2017-06-29,135.8,135.82,131.08,132.76,1779554
2017-06-30,133.14,135.06,131.7,134.12,1455011
2017-07-03,132.8,132.9,128.82,131.01,2005726
2017-07-05,131.6,132.89,130.03,132.42,1212958
2017-07-06,132.04,132.82,130.83,130.91,1276881
2017-07-07,130.8,133.44,129.5,132.46,1334840
2017-07-10,132.7,135.15,132.42,134.95,1119774
