Date,Open,High,Low,Close,Volume
2017-01-03,49.95,50.25,49.21,49.65,1596877
2017-01-04,49.71,50.45,49.71,50.39,1703035
2017-01-05,50.18,50.5,49.68,49.93,1845990
2017-01-06,50.01,50.13,49.56,49.58,1561643
2017-01-09,49.55,49.6,49.16,49.37,1090516
2017-01-10,49.31,49.51,49.07,49.14,1642488
2017-01-11,49.25,49.5,49.01,49.4,1974591
2017-01-12,49.26,49.37,47.97,48.3,1784568
2017-01-13,48.17,49.15,48.07,48.76,2811321
2017-01-17,48.7,48.7,47.92,48.2,1228913
2017-01-18,48.27,48.66,48.11,48.43,1438906
2017-01-19,48.67,49.22,48.67,49.05,1966411
2017-01-20,49.2,49.38,48.87,49.06,867657
2017-01-23,49.02,49.11,48.28,48.5,660264
2017-01-24,48.65,49.27,48.59,49.07,2637935
2017-01-25,49.4,50.55,49.39,50.15,2139386
2017-01-26,50.11,50.51,49.83,50.09,1067441
2017-01-27,50.29,50.66,49.94,50.05,1321902
2017-01-30,49.87,49.98,49.09,49.5,1114832
2017-01-31,49.21,49.36,48.5,49.31,1421747
2017-02-01,49.05,49.66,48.45,49.15,2180342
2017-02-02,49.15,50.16,48.52,48.8,2547345
2017-02-03,49.37,49.55,48.82,49.25,2139034
2017-02-06,49.05,49.05,46.67,47.18,3267733
2017-02-07,47.27,47.84,46.78,47.22,1841515
2017-02-08,47.16,47.22,46.86,47.0,1608642
2017-02-09,47.02,47.75,46.86,47.62,1606081
2017-02-10,47.81,48.28,47.48,47.88,1409875
2017-02-13,48.15,48.47,47.76,48.28,1606068
2017-02-14,48.02,48.22,47.32,47.65,1747781
2017-02-15,47.52,47.94,47.37,47.67,1303240
2017-02-16,47.7,47.93,47.46,47.75,1182971
2017-02-17,47.55,47.81,47.17,47.8,2819403
2017-02-21,47.82,48.46,47.55,48.33,1450547
2017-02-22,47.59,48.31,47.59,48.25,2005150
2017-02-23,48.63,48.85,47.19,47.52,1227124
2017-02-24,46.95,48.13,46.95,47.9,1744418
2017-02-27,47.81,48.96,47.81,48.95,2046271
2017-02-28,48.76,49.08,48.1,48.12,1711696
2017-03-01,48.7,49.7,48.65,49.55,1657065
2017-03-02,49.5,49.55,48.76,48.89,1856458
2017-03-03,48.91,49.12,48.55,48.73,1658874
2017-03-06,48.29,48.89,48.26,48.53,1300684
2017-03-07,48.45,49.01,48.32,48.78,1614867
2017-03-08,48.71,48.91,47.5,47.55,2220914
2017-03-09,47.48,48.1,47.37,47.67,1026261
2017-03-10,48.13,48.47,47.75,48.26,1910982
2017-03-13,48.27,48.72,48.26,48.52,1333841
2017-03-14,48.3,48.43,47.73,48.05,920017
2017-03-15,48.32,48.9,48.27,48.56,1532192
2017-03-16,48.72,48.87,48.19,48.75,1187326
2017-03-17,48.88,49.3,48.64,49.16,1855921
2017-03-20,49.25,49.27,48.8,48.83,951807
2017-03-21,49.03,49.21,47.95,48.06,1611411
2017-03-22,48.16,49.37,47.92,49.28,1719773
2017-03-23,49.3,49.39,48.7,48.89,1142235
2017-03-24,49.14,49.61,48.97,49.22,1336237
2017-03-27,48.48,49.26,48.13,49.1,878893
2017-03-28,49.0,49.95,48.77,49.67,995152
2017-03-29,49.55,49.79,49.29,49.39,1047188
2017-03-30,49.43,50.11,49.18,49.9,969373
2017-03-31,49.79,50.5,49.77,50.22,1230084
2017-04-03,50.22,50.33,49.17,49.45,2097617
2017-04-04,50.01,50.86,50.0,50.37,2379805
2017-04-05,50.73,51.33,50.36,50.43,2417570
2017-04-06,50.53,51.4,50.37,50.92,1288430
2017-04-07,50.88,51.25,50.68,50.83,1355726
2017-04-10,50.8,51.24,50.4,50.74,1099277
